reviewerID,asin
AQI50T24FILS,B000GLRREU
AQI50T24FILS,B000FOI48G
A2Q3TMGCVERJZI,B004BC62MI
A2Q3TMGCVERJZI,B00M3YPBZU
A2HAQXPAVUEW3A,B000GLRREU
A2HAQXPAVUEW3A,B000FOI48G
ATY6NWO62G1AR,B000GLRREU
ATY6NWO62G1AR,B000FOI48G
A20NJCISIKAO0J,B000GLRREU
A20NJCISIKAO0J,B000FOI48G
ABCIDPOKCXJOB,B00006L9LC
ABCIDPOKCXJOB,B000URXP6E
ABCIDPOKCXJOB,B0012Y0ZG2
ABCIDPOKCXJOB,B001OHV1H4
A3UUTETYPWLY0U,B00028LYO6
A3UUTETYPWLY0U,B0070Z6Y2G
A2KCIRZS82D755,B000GLRREU
A2KCIRZS82D755,B000FOI48G
A3HIZXPNV5KYOX,B004EMKRE4
A3HIZXPNV5KYOX,B0052YPJ7S
A1IM48SKOGU7G6,B0013NB7DW
A1IM48SKOGU7G6,B019809F9Y
AFMOYISJT9GF7,B00YQTQ9I8
AFMOYISJT9GF7,B00OXRIJMM
A28ETU4J2PG09N,B003M6WYW6
A28ETU4J2PG09N,B004A7VFHG
A11M9X7C20X9M6,B00VF344X0
A11M9X7C20X9M6,B01C8COKI0
A3UO41QQJPO3EY,B000GLRREU
A3UO41QQJPO3EY,B000FOI48G
A29T45CKQS3A7S,B00NV6A3P2
A29T45CKQS3A7S,B012YLE74M
A1DUUVEWMQGXS0,B001T88N0G
A1DUUVEWMQGXS0,B001U1YTDC
A2S3ZODBPE4XI5,B0017TZD7S
A2S3ZODBPE4XI5,B004MBJL58
A13IIHXY0QX4Y4,B002B4VBV0
A13IIHXY0QX4Y4,B00CUG25FU
A202NL3HS4FRL4,B0006M56BK
A202NL3HS4FRL4,B001T8UGAG
A1TFQS56OLK0SH,B01FT6TMQM
A1TFQS56OLK0SH,B00IIAK9RI
A1TFQS56OLK0SH,B00IIAK94Q
A1TFQS56OLK0SH,B00IIAJXF2
A2TS036UJ3SV8P,B000GLRREU
A2TS036UJ3SV8P,B000FOI48G
A1ICOK5OIUKTM5,B000GLRREU
A1ICOK5OIUKTM5,B000FOI48G
AUQIVKSLL49PE,B01CTLTOHM
AUQIVKSLL49PE,B00H86AHHK
A3ACLPR8WOTVV4,B00NV702XO
A3ACLPR8WOTVV4,B00OPZI48Q
AHZEL9WKQ5TGS,B000GLRREU
AHZEL9WKQ5TGS,B000FOI48G
A97SC5LJZEORV,B000IQSU0I
A97SC5LJZEORV,B00W259T7G
A1LACH6MLQWZ,B001EWEP9A
