h_entity,t_entity,relation
2341,822,0
3993,100,0
4601,671,0
5296,1125,0
4975,757,0
3896,270,0
4013,1321,0
2566,599,0
3316,1388,0
4698,1258,0
2500,151,0
3133,728,0
3260,309,0
3411,991,0
3709,1299,0
1872,577,0
3154,875,0
3922,1449,0
4112,1299,0
3836,695,0
4707,581,0
1720,168,0
2351,130,0
2205,505,0
2918,111,0
1619,671,0
4893,427,0
4877,221,0
2079,1402,0
3853,1357,0
3355,840,0
4164,1314,0
2514,427,0
2015,1415,0
4671,1456,0
2454,1357,0
4134,1273,0
2610,771,0
3961,1118,0
5369,313,0
2371,1114,0
2269,194,0
3358,486,0
3042,704,0
2689,621,0
2421,218,0
4018,504,0
3780,470,0
2437,1195,0
4227,592,0
3291,1299,0
1903,678,0
1904,771,0
4567,1504,0
1847,1317,0
2822,1198,0
2769,1539,0
1905,1478,0
4549,339,0
4978,1357,0
1823,784,0
4549,1277,0
3747,771,0
2777,857,0
2550,869,0
1705,618,0
4740,100,0
1706,1528,0
3450,495,0
3635,95,0
4170,906,0
2678,599,0
4985,427,0
3711,813,0
5284,763,0
4745,573,0
3731,816,0
4811,866,0
2383,193,0
5111,860,0
3580,451,0
3849,1292,0
2725,866,0
5372,999,0
1798,688,0
4410,1443,0
4078,185,0
2733,906,0
2728,157,0
4405,1273,0
4334,415,0
3767,935,0
4408,427,0
3805,148,0
2190,973,0
3318,345,0
2877,1183,0
4181,476,0
2905,37,0
2336,1394,0
3810,505,0
3293,1357,0
4298,1243,0
2969,179,0
3157,1053,0
4171,423,0
3009,1389,0
3044,101,0
5210,463,0
4194,1274,0
1975,630,0
2800,427,0
4051,745,0
3182,100,0
1868,618,0
2194,928,0
4985,427,0
3680,1268,0
3259,843,0
2743,100,0
4180,505,0
1997,658,0
4906,618,0
1789,1199,0
2708,240,0
1730,311,0
2770,449,0
5276,1570,0
2479,1530,0
2244,427,0
3989,1059,0
2148,1520,0
3452,1269,0
4033,1025,0
2373,611,0
2642,695,0
4779,1566,0
4265,600,0
1934,1301,0
3889,1023,0
3757,276,0
2135,582,0
1980,943,0
5061,40,0
4070,1484,0
4088,167,0
2792,639,0
2324,1268,0
3843,906,0
2127,111,0
5319,101,0
4425,618,0
1885,1117,0
4376,197,0
4838,101,0
2371,1161,0
1883,1261,0
2393,164,0
5232,1159,0
2320,1152,0
2047,148,0
3101,1298,0
2909,1313,0
1843,239,0
2142,866,0
1640,956,0
3742,1023,0
1953,578,0
3034,1574,0
3611,1494,0
3767,324,0
3228,961,0
2588,244,0
4181,1014,0
2609,427,0
1593,1578,0
4404,154,0
4849,194,0
1767,101,0
4436,572,0
2973,508,0
1990,1449,0
4646,599,0
3908,618,0
4387,694,0
3675,1045,0
2635,626,0
2005,1247,0
4970,1361,0
2416,1479,0
2012,1449,0
4369,130,0
2950,427,0
1934,1301,0
3215,375,0
5065,1113,0
3898,1335,0
1820,311,0
3456,164,0
3705,937,0
2547,553,0
4181,69,0
4166,442,0
2129,687,0
3077,771,0
3169,101,0
4441,866,0
1734,440,0
2514,427,0
3816,1449,0
5314,1520,0
1887,832,0
3264,1504,0
4217,1058,0
5246,470,0
3755,1299,0
3986,1357,0
4609,816,0
5031,311,0
4529,300,0
3791,1107,0
2356,757,0
2444,620,0
2173,164,0
2005,1274,0
4405,1125,0
3706,197,0
2558,100,0
4349,771,0
1648,863,0
1991,599,0
4812,565,0
2307,863,0
5064,100,0
2219,505,0
1895,1370,0
3425,494,0
1640,592,0
3933,863,0
5182,426,0
2324,1247,0
3501,851,0
3592,470,0
4920,878,0
2514,427,0
3135,810,0
4497,541,0
4223,607,0
4463,1378,0
5114,586,0
5081,633,0
2589,419,0
2514,427,0
2244,427,0
5344,18,0
3311,541,0
1617,395,0
3707,239,0
4811,138,0
2584,866,0
4223,739,0
3797,100,0
3139,200,0
4408,427,0
2358,765,0
5251,1172,0
4136,1032,0
3476,302,0
2336,1298,0
3575,1348,0
3032,1401,0
4268,681,0
2677,37,0
1913,369,0
1991,599,0
2138,547,0
3540,311,0
