,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_embedding_dim,params_lr,params_lr_decay_rate,params_weight_decay,state
0,0,-0.19560195131970806,2020-07-12 12:46:19.996358,2020-07-12 13:20:14.305804,0 days 00:33:54.309446000,1.2813207172278707e-06,256,64.0,0.0014192196909130076,0.792112679511876,0.00043439078444804205,COMPLETE
1,1,-0.20659995276499052,2020-07-12 13:20:14.306512,2020-07-12 13:46:09.450343,0 days 00:25:55.143831000,5.09954781053788e-05,384,32.0,0.0029723350299069146,0.8481985013162452,0.0001211715334291737,COMPLETE
2,2,-0.24265391648569737,2020-07-12 13:46:09.450964,2020-07-12 14:07:30.010160,0 days 00:21:20.559196000,0.0005228011611838587,512,80.0,0.004010296103794012,0.7852730111606439,1.5940366257511776e-05,COMPLETE
3,3,-0.20047356534870997,2020-07-12 14:07:30.010705,2020-07-12 15:03:23.887909,0 days 00:55:53.877204000,7.2929959053656906e-06,128,128.0,0.000592342795146659,0.7097206370279475,0.0026023822123211293,COMPLETE
4,4,-0.20387762197016093,2020-07-12 15:03:23.888490,2020-07-12 15:24:59.256912,0 days 00:21:35.368422000,3.537387800218911e-05,512,112.0,0.008799299067717826,0.9041147654422405,0.0010817514465908413,COMPLETE
5,5,-0.14635014434055602,2020-07-12 15:24:59.257524,2020-07-12 15:51:17.093524,0 days 00:26:17.836000000,0.00085749921306692,384,96.0,0.00012591438698195004,0.7756053870213608,1.939004540547018e-05,COMPLETE
6,6,-0.20964978075770307,2020-07-12 15:51:17.094234,2020-07-12 16:12:55.218269,0 days 00:21:38.124035000,1.4561945664493346e-05,512,64.0,0.0049511452664792914,0.8757491997697857,0.0003765629699669613,COMPLETE
7,7,-0.23607338925952595,2020-07-12 16:12:55.218853,2020-07-12 16:46:16.500736,0 days 00:33:21.281883000,0.0006293016944799843,256,128.0,0.00018149249746698406,0.9621305606141856,2.2145618263947226e-05,COMPLETE
8,8,-0.21221572465348096,2020-07-12 16:46:16.501346,2020-07-12 17:42:22.831801,0 days 00:56:06.330455000,4.498822821310915e-06,128,32.0,0.0007508217997079594,0.7949003828341614,0.00028671802315547714,COMPLETE
9,9,-0.23137389491749,2020-07-12 17:42:22.832411,2020-07-12 18:38:38.748218,0 days 00:56:15.915807000,0.00014549497571325666,128,32.0,0.00024544058965934607,0.8528885623357674,0.0002195102210219449,COMPLETE
10,10,-0.2943697409988567,2020-07-12 18:38:38.748799,2020-07-12 18:59:34.484493,0 days 00:20:55.735694000,0.008490741645545929,512,80.0,0.009831997216228116,0.5412977094691598,1.0561841352311789e-06,COMPLETE
11,11,-0.2950685678966616,2020-07-12 18:59:34.485140,2020-07-12 19:20:18.433200,0 days 00:20:43.948060000,0.0074644790502590205,512,80.0,0.008641222298141725,0.5292654887367101,1.3059207876171156e-06,COMPLETE
12,12,-0.28690734475827434,2020-07-12 19:20:18.433801,2020-07-12 19:48:41.761517,0 days 00:28:23.327716000,0.00955991813818977,384,80.0,0.00848597064987304,0.5114699858099616,1.6002386740175681e-06,COMPLETE
13,13,-0.295683560990179,2020-07-12 19:48:41.762131,2020-07-12 20:11:48.733296,0 days 00:23:06.971165000,0.009241048047365738,512,96.0,0.009894001297528378,0.5031590584381305,1.8452026716873145e-06,COMPLETE
14,14,-0.2779664960343514,2020-07-12 20:11:48.733901,2020-07-12 20:32:56.930330,0 days 00:21:08.196429000,0.0026950433333251967,512,96.0,0.0022877280028487977,0.6174041165039444,4.632588985477596e-06,COMPLETE
15,15,-0.2500889118700529,2020-07-12 20:32:56.930914,2020-07-12 20:59:31.585990,0 days 00:26:34.655076000,0.002608562908228196,384,48.0,0.0057091735331498885,0.617608158912603,2.782426800539117e-06,COMPLETE
16,16,-0.29826512600477145,2020-07-12 20:59:31.586591,2020-07-12 21:21:30.289590,0 days 00:21:58.702999000,0.004121975473811734,512,112.0,0.0016750383562453008,0.5897624525535057,5.702630690456925e-06,COMPLETE
17,17,-0.2797862258914679,2020-07-12 21:21:30.290236,2020-07-12 21:46:36.916111,0 days 00:25:06.625875000,0.0030463995600118537,384,112.0,0.00040129039580401673,0.6055292437272041,7.357018800531639e-06,COMPLETE
18,18,-0.23721855021885774,2020-07-12 21:46:36.916704,2020-07-12 22:19:10.351656,0 days 00:32:33.434952000,0.0002623895527933107,256,112.0,0.0014355362285316017,0.6643652083093853,9.386153171299e-06,COMPLETE
19,19,-0.2756014334870442,2020-07-12 22:19:10.352264,2020-07-12 22:40:43.234257,0 days 00:21:32.881993000,0.0016454008720057365,512,96.0,0.0016456978558611218,0.566622553780064,4.7296371508573575e-05,COMPLETE
