h_entity,t_entity,relation
1797,2462,0
627,1944,0
2612,4994,0
3081,4939,0
4351,4494,0
1578,2170,0
1319,2577,0
5161,1848,0
1119,1136,0
3463,2361,0
4020,2408,0
393,4750,0
803,1240,0
288,34,0
1891,3153,0
4534,395,0
455,2252,0
3435,4015,0
3132,3844,0
5108,129,0
830,626,0
1157,3728,0
5292,1744,0
864,4643,0
4141,222,0
1605,4882,0
2169,1953,0
990,1033,0
222,742,0
1914,4999,0
4366,3902,0
1898,225,0
4459,4591,0
5318,5073,0
783,1895,0
1858,2288,0
1674,507,0
1627,3859,0
3295,5041,0
2004,2028,0
766,1917,0
3667,1114,0
5149,3339,0
4068,2133,0
3219,2087,0
1639,2740,0
4274,4179,0
4076,442,0
4258,3939,0
4038,3966,0
1766,3700,0
1330,4141,0
2817,4571,0
2070,274,0
5220,990,0
4587,1288,0
2481,1556,0
1949,1203,0
4388,4684,0
1392,242,0
1332,5082,0
2793,3238,0
3008,1943,0
2829,1389,0
5045,2596,0
5,4763,0
74,130,0
4043,40,0
1084,1209,0
1076,4429,0
3057,994,0
4533,3773,0
1632,2016,0
4192,1837,0
3893,4081,0
470,2737,0
109,1820,0
574,1720,0
4187,1281,0
4994,748,0
4647,4017,0
1389,1804,0
2917,3063,0
2973,2377,0
215,1935,0
2792,1501,0
1673,819,0
432,5138,0
3760,2331,0
973,457,0
4042,509,0
4712,1506,0
3955,4781,0
2817,2472,0
2530,784,0
5252,3341,0
562,2670,0
2860,535,0
1153,1970,0
2943,4520,0
4416,2057,0
5349,3555,0
4630,3076,0
2243,4588,0
3951,2301,0
2408,4493,0
1742,4566,0
1565,1764,0
3408,922,0
1858,227,0
1443,413,0
4346,1394,0
198,2084,0
2825,1426,0
3199,4539,0
4632,4675,0
3500,4955,0
1304,3558,0
2472,4536,0
4984,4294,0
5252,903,0
1618,1017,0
5296,1942,0
2237,5363,0
1410,407,0
1864,2301,0
5203,1307,0
2729,3812,0
755,5300,0
171,3893,0
2451,2688,0
3398,4453,0
1255,4511,0
215,4840,0
1758,4357,0
4267,3357,0
1354,4004,0
4786,1415,0
2173,1667,0
3839,3566,0
3955,4728,0
1330,394,0
4299,2752,0
5219,1114,0
3825,3815,0
1676,1095,0
5401,3404,0
5151,2770,0
118,1758,0
5058,4746,0
4391,4934,0
1950,963,0
656,2558,0
2094,3525,0
4522,943,0
1214,2142,0
393,451,0
4285,1395,0
3303,1573,0
485,4941,0
5291,4145,0
3393,4360,0
1844,3721,0
5073,3913,0
4129,1559,0
2815,3215,0
2492,2512,0
1035,4793,0
1997,4067,0
4868,548,0
1913,4394,0
787,2375,0
1629,3541,0
4685,4980,0
1877,4706,0
4939,2317,0
736,3740,0
847,3542,0
490,3946,0
1630,835,0
941,5010,0
540,4420,0
1781,2776,0
907,34,0
4611,4129,0
4542,4090,0
1857,1527,0
1051,4434,0
570,667,0
515,3683,0
1371,711,0
2803,3831,0
960,2559,0
2238,309,0
5054,5144,0
3565,1523,0
4549,1727,0
3418,529,0
2742,4828,0
1633,5196,0
92,2295,0
2452,549,0
4430,3986,0
2300,2472,0
1242,1641,0
3128,4170,0
1749,3711,0
1572,3072,0
4828,264,0
4268,2963,0
5332,3382,0
421,3228,0
157,3437,0
4281,1530,0
4751,4617,0
3994,5345,0
3556,3830,0
416,1958,0
4790,518,0
394,4985,0
2615,4932,0
3309,3681,0
388,3863,0
391,2531,0
2388,435,0
4522,3551,0
2882,904,0
2357,355,0
1398,1559,0
3511,4960,0
4830,3858,0
3993,1064,0
4045,5372,0
1479,3588,0
2820,5383,0
3238,2053,0
2355,5065,0
3785,1999,0
904,4589,0
3512,4042,0
4007,244,0
4349,1995,0
3139,4426,0
2149,821,0
4148,2551,0
1028,5065,0
671,4241,0
3292,1966,0
2773,779,0
1034,5110,0
5403,1341,0
1735,1314,0
4133,1453,0
2822,155,0
4779,1475,0
3601,2875,0
1528,3229,0
693,2582,0
2326,444,0
3265,2441,0
1761,2140,0
754,3531,0
3731,1436,0
4090,694,0
5204,297,0
1166,5097,0
54,634,0
1978,5160,0
1391,3409,0
4764,2514,0
87,1867,0
2506,535,0
3375,4932,0
5002,4599,0
3560,3578,0
2432,1662,0
1387,1330,0
3010,2034,0
2091,3703,0
4728,3032,0
4907,2246,0
3230,3582,0
3781,2735,0
2350,4917,0
1670,858,0
541,580,0
1000,120,0
4689,4491,0
1190,3989,0
2719,5062,0
832,1020,0
4534,810,0
4457,1888,0
910,4157,0
408,1617,0
748,1061,0
3795,5131,0
4271,1328,0
1614,106,0
4436,3630,0
954,3988,0
1819,130,0
3768,4795,0
3396,1355,0
4643,2769,0
44,4797,0
2293,3825,0
509,1796,0
2371,754,0
4630,5056,0
2651,1894,0
2987,2768,0
1281,2679,0
4482,2530,0
519,1279,0
3259,1262,0
1648,3261,0
3485,1331,0
1295,2170,0
4060,1120,0
1562,1679,0
5184,1718,0
1970,5364,0
5109,3746,0
710,2482,0
2093,2285,0
203,62,0
2730,1333,0
3972,2760,0
293,4671,0
681,61,0
2678,4226,0
385,4252,0
2068,4968,0
1677,1379,0
2070,1799,0
2838,3903,0
3615,5309,0
4273,3966,0
2847,3922,0
4402,2033,0
1907,1677,0
4087,4546,0
2079,446,0
2986,73,0
5322,2882,0
2580,201,0
5392,1553,0
2020,1525,0
5025,1619,0
4305,1096,0
835,3245,0
5399,4337,0
1886,4836,0
175,5040,0
1818,684,0
3096,3940,0
564,4514,0
1239,2275,0
1505,4833,0
3910,313,0
1551,2119,0
2428,888,0
4572,1924,0
747,714,0
2877,2349,0
1288,2819,0
1184,3897,0
5000,4251,0
3859,4623,0
576,2405,0
166,638,0
1747,1243,0
1600,4346,0
302,3465,0
621,1921,0
1276,5044,0
295,1117,0
3203,1055,0
95,2314,0
2815,4289,0
1438,707,0
4736,426,0
4078,3052,0
1012,2971,0
868,2967,0
1798,3901,0
356,331,0
2656,4722,0
5135,4967,0
4220,5385,0
3582,1115,0
3377,2155,0
5196,145,0
383,2601,0
1676,3627,0
3066,167,0
621,2418,0
397,1392,0
305,641,0
511,4502,0
4750,422,0
555,375,0
1194,1392,0
1944,4511,0
1622,4096,0
4962,3036,0
3247,3112,0
18,4512,0
1038,2972,0
2237,122,0
347,373,0
1671,2678,0
2736,1269,0
3433,5215,0
4715,1137,0
4468,4567,0
2702,2779,0
4502,1462,0
2766,3354,0
586,2215,0
4798,2989,0
4725,2192,0
1569,3751,0
1722,4300,0
1133,741,0
4120,3521,0
1694,629,0
2513,4225,0
3559,3538,0
3010,4299,0
2964,4207,0
920,2642,0
2126,2297,0
367,740,0
4912,3145,0
3305,4400,0
2096,2667,0
3304,4581,0
2499,513,0
2391,4203,0
1824,3345,0
3130,1704,0
3376,4545,0
4095,790,0
1879,898,0
793,1020,0
2066,3469,0
3776,1805,0
3674,533,0
5085,5387,0
4320,1221,0
3741,3735,0
2509,1193,0
2107,1588,0
870,797,0
5317,4873,0
548,216,0
1161,3313,0
3138,4306,0
511,5240,0
580,4690,0
2479,2445,0
1512,4607,0
3970,1094,0
5333,4010,0
4426,343,0
141,4378,0
3217,1328,0
193,772,0
2198,3556,0
3139,2159,0
296,4298,0
4773,2091,0
4016,1857,0
1696,760,0
158,1222,0
4643,2785,0
333,4562,0
3956,5202,0
2316,3219,0
4152,4734,0
4651,5330,0
1749,922,0
1548,58,0
2422,3867,0
3644,1650,0
405,1900,0
2614,2102,0
1808,1513,0
3260,1854,0
3682,2294,0
5136,3335,0
3579,5406,0
2203,1137,0
3917,1280,0
5173,1860,0
1628,2387,0
2746,1859,0
4939,2600,0
2947,22,0
754,3538,0
1550,3766,0
2638,1051,0
4552,3686,0
2522,1092,0
178,5302,0
1611,2362,0
5337,4733,0
4847,3845,0
4344,3640,0
3946,3239,0
3334,2154,0
867,441,0
2636,126,0
3673,1633,0
2234,4633,0
257,3876,0
4973,1287,0
4369,365,0
5221,45,0
2127,2398,0
2792,1312,0
5112,2303,0
1308,1974,0
1286,2608,0
3149,2682,0
3882,4326,0
101,209,0
3653,960,0
3807,114,0
2645,1886,0
3138,5246,0
1868,1770,0
2861,720,0
343,5224,0
1785,4802,0
1736,498,0
4560,3947,0
5178,1549,0
2649,1005,0
4398,3130,0
1124,517,0
3789,2124,0
2888,2713,0
1609,2024,0
3085,4610,0
1267,2739,0
1721,3543,0
4281,1214,0
4390,1250,0
1932,2372,0
2087,4473,0
3870,2853,0
2729,2380,0
233,4830,0
975,3421,0
4715,1834,0
17,346,0
4366,5282,0
4449,455,0
74,209,0
1865,258,0
4761,3419,0
3197,3406,0
4120,1589,0
4547,2359,0
1865,3347,0
3677,1740,0
1238,368,0
1466,4085,0
4209,3699,0
4609,5154,0
598,1606,0
3160,5123,0
2878,5092,0
3393,2543,0
4823,5120,0
4858,3345,0
2602,1637,0
3575,4003,0
4762,72,0
1912,4274,0
180,2943,0
3437,1271,0
3750,4729,0
1470,1275,0
4716,2789,0
1390,4498,0
4708,1179,0
1461,3372,0
1872,1918,0
1770,966,0
3002,1917,0
4524,2475,0
2872,5146,0
2613,2511,0
1787,1937,0
2951,529,0
3901,2455,0
3865,80,0
1605,4760,0
4709,2128,0
3651,3640,0
2230,3467,0
929,1393,0
3956,4580,0
1414,136,0
4917,4645,0
2770,2464,0
2032,3812,0
5253,2229,0
2067,2968,0
4037,8,0
4576,2033,0
4973,1687,0
4002,5109,0
3642,2837,0
1861,3331,0
913,316,0
3561,3127,0
3765,1961,0
1565,2607,0
5002,3835,0
5082,4287,0
1370,5004,0
3061,3499,0
4131,3047,0
889,1345,0
443,2807,0
3636,4210,0
932,1190,0
2221,1755,0
3461,4843,0
3280,4193,0
3421,385,0
1970,1626,0
4209,1526,0
2671,5082,0
138,2091,0
1846,2176,0
1292,3596,0
686,2202,0
2916,3987,0
476,5099,0
840,144,0
2490,3433,0
722,938,0
5144,3045,0
2481,2629,0
4136,1699,0
747,3347,0
4702,1816,0
2625,1031,0
370,636,0
2664,1828,0
249,730,0
480,4885,0
2445,1751,0
2944,3679,0
5308,1181,0
3356,2683,0
4309,2259,0
4961,2852,0
4012,3866,0
2303,2861,0
1212,1317,0
1446,4775,0
520,932,0
3792,2554,0
2275,1636,0
4825,2816,0
3028,2780,0
41,1853,0
4981,2615,0
3141,18,0
4131,997,0
1755,5060,0
4195,2204,0
1764,2527,0
2210,3305,0
1158,4715,0
3085,1621,0
5238,3932,0
1895,845,0
532,1666,0
4688,768,0
2376,5112,0
1423,3899,0
1117,3977,0
363,1354,0
3527,4657,0
3446,554,0
962,2943,0
1654,3480,0
5078,2998,0
1979,3776,0
1229,5176,0
2444,59,0
4524,5389,0
1765,3513,0
822,921,0
1120,3397,0
3642,411,0
4460,4919,0
4912,4687,0
1471,3032,0
3577,3539,0
