h_entity,t_entity,relation
3263,70,0
4855,1056,0
4899,1083,0
5246,239,0
4320,987,0
2633,686,0
2330,1172,0
4023,24,0
2394,687,0
2618,800,0
3276,544,0
2024,908,0
1712,1388,0
2834,947,0
5254,850,0
2840,380,0
2699,262,0
1767,544,0
5193,23,0
3688,1520,0
2955,842,0
4349,741,0
4479,621,0
4576,1504,0
4320,770,0
3697,582,0
4150,506,0
3523,584,0
2924,648,0
2448,1294,0
2147,215,0
2085,1328,0
4401,24,0
5270,585,0
2132,1295,0
5186,271,0
4459,438,0
3490,805,0
3896,987,0
4329,659,0
2676,1153,0
2183,737,0
2519,826,0
4731,1117,0
2928,209,0
2313,23,0
4018,723,0
5169,158,0
5041,323,0
2019,1118,0
2357,649,0
1732,196,0
3806,1321,0
3091,756,0
4624,63,0
3624,1445,0
3985,655,0
2761,918,0
4372,831,0
3582,23,0
1967,475,0
3545,941,0
2707,613,0
4693,697,0
1737,681,0
2825,820,0
3924,292,0
3396,1506,0
2576,204,0
2330,168,0
1756,158,0
4781,470,0
5266,239,0
3148,1265,0
2691,1342,0
3955,1242,0
3611,133,0
4290,843,0
1928,1179,0
4024,881,0
4823,702,0
2999,673,0
5198,1350,0
2617,482,0
4484,1338,0
5398,648,0
4532,403,0
5008,134,0
3620,661,0
3091,1065,0
5390,842,0
2955,842,0
4934,515,0
2672,686,0
5240,842,0
4615,889,0
2040,670,0
1982,770,0
2603,801,0
2590,636,0
2099,930,0
3830,1056,0
3777,1001,0
1885,239,0
4040,239,0
4801,358,0
3282,632,0
2220,366,0
5280,356,0
3084,731,0
2867,1464,0
3511,593,0
3003,1515,0
2590,638,0
3525,228,0
2531,351,0
1627,659,0
4084,649,0
2305,102,0
3286,142,0
1787,562,0
1869,1089,0
2450,23,0
3755,145,0
5242,496,0
2929,15,0
2398,1306,0
4222,13,0
3166,192,0
2894,508,0
4782,1516,0
4255,1056,0
4618,719,0
5090,1095,0
4097,800,0
3159,410,0
3796,795,0
4329,659,0
5365,1234,0
2081,649,0
5311,266,0
4339,63,0
4308,782,0
3996,831,0
5054,640,0
4143,636,0
4815,1261,0
3806,167,0
4663,693,0
3691,541,0
3810,1384,0
1846,615,0
2394,483,0
3724,520,0
3644,998,0
4026,1016,0
4952,686,0
1677,860,0
2144,1509,0
3158,338,0
2098,1056,0
2406,837,0
4540,239,0
4005,1207,0
3474,51,0
1832,557,0
4503,650,0
3278,842,0
2303,1479,0
5035,286,0
4774,1094,0
4148,1223,0
2708,1336,0
4726,564,0
3883,741,0
2955,842,0
1832,886,0
5251,760,0
4952,987,0
4586,756,0
3980,701,0
2894,61,0
1893,593,0
3771,173,0
4219,116,0
2368,688,0
3729,453,0
4901,265,0
5245,582,0
3985,502,0
3542,746,0
4656,496,0
3337,649,0
2920,770,0
5336,1345,0
2880,482,0
2074,438,0
5185,1039,0
5059,915,0
3488,628,0
3582,46,0
2312,158,0
3584,230,0
3011,1395,0
2039,649,0
2910,167,0
4593,1424,0
2817,602,0
5218,1274,0
3502,1155,0
3649,348,0
2455,1497,0
3017,686,0
5154,831,0
4606,1158,0
1998,654,0
2411,310,0
3335,1275,0
3336,1023,0
4922,1094,0
4102,1555,0
5059,1221,0
4891,986,0
2069,842,0
3966,770,0
4631,163,0
2710,1435,0
2121,1056,0
5240,842,0
4615,941,0
4525,400,0
3236,632,0
4809,585,0
3327,831,0
3847,399,0
5253,551,0
2877,416,0
2447,374,0
5147,24,0
2817,1092,0
2241,649,0
4987,1428,0
4725,399,0
3735,211,0
2548,484,0
4586,756,0
3445,1036,0
4341,686,0
2071,158,0
3828,930,0
3989,663,0
2736,1468,0
3197,1118,0
1682,1056,0
2659,741,0
5098,1217,0
3484,630,0
3042,94,0
3715,1068,0
2501,184,0
1728,1334,0
4548,628,0
2824,1097,0
1665,752,0
4791,197,0
5149,482,0
3229,23,0
2794,661,0
1974,239,0
2708,714,0
3218,66,0
1766,1507,0
3340,1231,0
2010,952,0
3695,705,0
3325,23,0
2375,698,0
4701,477,0
3733,1398,0
3108,649,0
1813,174,0
2217,63,0
2517,874,0
3881,358,0
4269,686,0
2850,1084,0
3103,917,0
5044,1392,0
4630,770,0
4792,1509,0
3270,611,0
3222,124,0
2470,266,0
2655,439,0
2383,1308,0
2148,59,0
2016,1009,0
3573,482,0
2456,987,0
2925,239,0
5271,1094,0
2363,1423,0
3222,1059,0
2261,11,0
3542,718,0
5299,894,0
3408,1094,0
2638,705,0
1657,860,0
3578,414,0
2319,1094,0
2783,645,0
3777,646,0
4792,798,0
4663,1330,0
3053,681,0
3816,179,0
3634,568,0
3995,786,0
5341,198,0
2232,987,0
1627,23,0
1583,164,0
2137,1005,0
2131,582,0
2918,11,0
2189,1539,0
3278,842,0
1881,146,0
3082,1481,0
2415,1256,0
1921,23,0
1919,1291,0
5114,234,0
3653,1184,0
4806,1377,0
2210,407,0
3099,431,0
4826,152,0
4762,756,0
1674,148,0
2840,557,0
5340,14,0
3082,1054,0
3507,1485,0
2069,842,0
2137,988,0
2979,985,0
5199,961,0
1753,973,0
4922,697,0
3213,632,0
2763,1285,0
4250,738,0
2902,829,0
2356,1237,0
3847,708,0
4137,164,0
3558,46,0
2308,1231,0
2478,91,0
3474,1129,0
4801,1250,0
2394,389,0
2232,770,0
2522,1267,0
5240,842,0
3722,987,0
1613,60,0
1736,632,0
3369,60,0
2457,557,0
4285,1397,0
5250,644,0
2247,1407,0
4219,116,0
4433,741,0
3043,228,0
1878,749,0
1669,697,0
3187,723,0
3389,426,0
3311,1334,0
2115,457,0
2565,1047,0
2281,159,0
2898,1071,0
2628,1123,0
2391,1056,0
1840,1334,0
3501,187,0
2992,844,0
4840,631,0
3516,697,0
2790,7,0
2778,1466,0
4084,649,0
2463,239,0
3717,923,0
4981,1123,0
2125,73,0
3909,516,0
4094,1044,0
2534,99,0
2460,987,0
4150,202,0
4823,1518,0
5369,692,0
3017,697,0
3243,1435,0
3806,502,0
3935,1257,0
4730,1255,0
5287,686,0
4009,266,0
4317,1283,0
1748,526,0
4564,217,0
3800,860,0
4430,1056,0
4282,559,0
2536,1493,0
2717,872,0
2976,120,0
4374,892,0
2537,1417,0
5025,182,0
2753,649,0
4628,826,0
4222,1130,0
4724,158,0
4189,607,0
5168,568,0
3719,1267,0
4097,37,0
4272,198,0
2227,1123,0
4652,1360,0
2394,1304,0
4058,770,0
2842,239,0
4880,1286,0
5236,1094,0
3519,88,0
4452,1345,0
5267,158,0
5148,976,0
4497,1324,0
5299,1432,0
5182,186,0
3902,897,0
4519,1113,0
2069,842,0
4744,920,0
3394,632,0
4771,843,0
2993,1330,0
4637,1159,0
2152,244,0
3211,649,0
3167,24,0
3468,363,0
1811,16,0
2430,889,0
2610,844,0
5279,35,0
2916,112,0
4275,856,0
2459,178,0
4147,63,0
2101,842,0
5138,1138,0
3703,341,0
4210,987,0
1912,714,0
2955,842,0
5065,23,0
2372,756,0
1722,699,0
4859,987,0
3273,110,0
2909,1100,0
1806,937,0
3621,584,0
2786,117,0
4246,23,0
2200,576,0
2214,1056,0
4392,23,0
3430,1276,0
3742,23,0
3994,350,0
2731,987,0
4963,649,0
2407,1068,0
2224,628,0
4974,987,0
1940,939,0
4707,1156,0
5044,1136,0
2306,159,0
4920,1283,0
4620,365,0
3985,699,0
3248,987,0
3043,1001,0
3278,842,0
2037,1042,0
1738,418,0
3931,1202,0
3790,1230,0
3905,649,0
3399,1408,0
3623,966,0
2643,1336,0
5244,477,0
2123,158,0
4266,603,0
4564,114,0
3483,23,0
1945,284,0
3489,383,0
3513,644,0
5337,324,0
4718,622,0
5367,1133,0
5045,1352,0
4603,393,0
2170,1292,0
4937,1334,0
2223,543,0
4511,271,0
4754,1370,0
3527,921,0
4321,801,0
3621,131,0
4104,697,0
3650,987,0
3950,1064,0
4102,1555,0
5302,842,0
1660,1306,0
2621,644,0
3745,239,0
2543,279,0
1842,1394,0
3760,649,0
4019,570,0
4506,1301,0
3736,1148,0
1811,1147,0
3683,44,0
4991,1123,0
3344,23,0
3661,1225,0
1795,1310,0
4679,1345,0
2278,918,0
3854,486,0
3107,811,0
4134,1056,0
4964,1056,0
4957,1056,0
2896,403,0
2839,195,0
2950,1573,0
5193,239,0
3684,83,0
3723,1333,0
2324,271,0
2761,44,0
5074,23,0
3758,158,0
4563,538,0
2621,889,0
5096,579,0
4804,148,0
1946,265,0
4211,942,0
2676,239,0
3285,700,0
4415,1334,0
3704,267,0
1582,47,0
2544,1334,0
1623,770,0
3049,49,0
5251,716,0
5371,163,0
2287,1224,0
2541,714,0
2105,1146,0
