h_entity,t_entity,relation
5179,4103,0
1762,4429,0
3390,1325,0
1551,1458,0
4346,1004,0
2567,1108,0
4746,2663,0
613,5288,0
1419,2897,0
3553,4421,0
92,3060,0
4185,2928,0
4631,3023,0
2390,3173,0
3201,349,0
3605,5217,0
2702,1834,0
3485,2694,0
2320,314,0
246,3382,0
3519,4318,0
1541,3107,0
5021,142,0
4650,3143,0
726,3363,0
389,2176,0
3174,3200,0
4268,3273,0
2349,1200,0
3304,2620,0
82,1019,0
3607,4749,0
4459,4555,0
2044,4193,0
4375,3898,0
3548,3733,0
3222,2052,0
22,1697,0
5194,1038,0
2074,1485,0
4726,1510,0
3059,1155,0
5310,1724,0
2823,1095,0
2553,1357,0
2717,1051,0
4498,1190,0
68,1441,0
949,1499,0
3843,4898,0
4836,3991,0
3503,1654,0
1194,4021,0
1954,2052,0
292,2568,0
2181,4915,0
4627,1651,0
3037,2321,0
883,1762,0
2722,3579,0
1628,1227,0
4574,2931,0
1361,3703,0
4657,953,0
2080,1957,0
2717,3407,0
2884,317,0
2322,4048,0
455,2778,0
4498,2779,0
3042,4018,0
973,1228,0
4863,2505,0
5147,38,0
3459,982,0
668,3715,0
1411,2932,0
1423,2337,0
3444,4525,0
3368,1818,0
1622,5071,0
212,5105,0
562,580,0
5231,618,0
3523,2223,0
1011,1815,0
3077,2770,0
2755,3209,0
5005,1033,0
4528,4033,0
3923,1914,0
2925,2595,0
1947,11,0
4493,2964,0
5003,2144,0
1159,3081,0
233,4083,0
1109,4665,0
4476,3132,0
4892,2436,0
1694,22,0
2897,3702,0
3847,5095,0
2869,668,0
3510,2859,0
2351,1068,0
2316,1148,0
2653,4786,0
1089,775,0
1387,1589,0
259,5014,0
5142,2331,0
1465,3212,0
357,911,0
4903,2813,0
4303,3422,0
544,895,0
4969,3967,0
4998,376,0
4346,1747,0
861,5143,0
4380,3338,0
1825,2305,0
1119,1709,0
4055,609,0
4812,1670,0
3916,19,0
714,1487,0
1058,4047,0
3400,2843,0
949,2145,0
3092,1566,0
4074,4614,0
11,1743,0
4524,2384,0
4328,2755,0
3232,2047,0
124,4913,0
3725,2464,0
4540,1318,0
3131,2113,0
2847,555,0
1722,4786,0
380,4944,0
4710,1368,0
802,1494,0
466,1738,0
1722,998,0
3058,1686,0
3417,992,0
1738,4725,0
2624,1364,0
1252,366,0
3307,2073,0
2918,793,0
5222,273,0
5243,4850,0
3766,406,0
578,1369,0
1488,912,0
4825,3240,0
4828,4832,0
3338,2989,0
3226,2754,0
1925,1636,0
4352,2492,0
1885,5230,0
4567,872,0
5354,4074,0
1414,2959,0
2449,885,0
3923,4876,0
3368,2400,0
1046,2548,0
2291,768,0
1361,2833,0
1339,1600,0
1899,5294,0
4069,1152,0
2927,816,0
985,201,0
1315,2865,0
2565,1199,0
4015,3511,0
4038,2696,0
58,3031,0
1984,3029,0
567,4288,0
3557,2322,0
2484,3034,0
3363,5160,0
334,3913,0
4206,3828,0
2763,4121,0
3786,714,0
3449,1247,0
2269,4635,0
4702,4396,0
2766,715,0
1074,1204,0
1127,2550,0
2318,3906,0
1717,117,0
329,3460,0
3404,2647,0
2837,2371,0
963,3400,0
3006,2205,0
415,5149,0
3596,2396,0
1387,3635,0
4362,1744,0
89,220,0
1067,5062,0
4594,1155,0
4954,3336,0
4600,2810,0
2287,1981,0
2756,2458,0
2461,1974,0
662,1114,0
1276,1247,0
1386,1017,0
4947,1641,0
166,2496,0
1927,2765,0
4508,3760,0
4667,4117,0
2004,2007,0
1272,508,0
3577,4497,0
4215,2053,0
4445,4872,0
4243,2880,0
4121,3627,0
604,4883,0
3980,3148,0
1329,1358,0
2621,2003,0
169,4052,0
4318,4827,0
1572,2391,0
1258,2983,0
3813,4670,0
4508,4004,0
2175,1448,0
4881,2560,0
4936,2279,0
4422,4959,0
5078,4337,0
4676,4971,0
732,1825,0
5186,3767,0
3227,2412,0
2298,1357,0
3156,1103,0
5165,2443,0
283,3034,0
423,887,0
201,478,0
2831,4918,0
4717,996,0
4312,1447,0
905,5173,0
4028,806,0
2295,3837,0
416,4924,0
1879,2027,0
4907,3096,0
4643,2849,0
3455,1743,0
4477,5231,0
2133,4183,0
5027,1633,0
421,3728,0
2338,1842,0
1994,172,0
2153,1776,0
645,2055,0
1249,1374,0
1632,4190,0
4986,176,0
2309,324,0
685,1391,0
4743,2231,0
3059,3193,0
1912,2183,0
1954,5294,0
2518,2028,0
2346,3475,0
2456,5288,0
2305,406,0
1075,2270,0
4388,2931,0
1683,557,0
947,2493,0
2508,4613,0
2487,1210,0
1597,539,0
321,2091,0
244,700,0
4144,3690,0
2113,1826,0
5080,356,0
3601,4270,0
3002,538,0
3299,3319,0
3330,2514,0
3294,4476,0
493,3149,0
1322,4572,0
631,2602,0
5010,3631,0
2414,1753,0
4742,601,0
472,136,0
3342,2657,0
418,4109,0
284,5146,0
4356,4205,0
3352,3835,0
4239,198,0
5384,4424,0
2270,1537,0
2950,2362,0
2176,218,0
4442,2717,0
1673,4212,0
1973,4825,0
3154,59,0
2701,4081,0
1271,2577,0
1030,1898,0
1549,4206,0
2420,2330,0
1588,4545,0
5034,4815,0
486,4171,0
4648,91,0
2074,4395,0
1880,4238,0
1912,4359,0
5066,3666,0
4228,574,0
962,1311,0
3044,4352,0
3133,1952,0
3362,4082,0
2103,915,0
1026,3576,0
5123,3558,0
3760,3122,0
582,2982,0
4179,3949,0
2728,4812,0
5311,4604,0
437,4539,0
3473,4125,0
3087,1254,0
4362,4256,0
1146,1113,0
4712,3245,0
5061,4407,0
3331,2929,0
222,592,0
605,1174,0
2282,1062,0
4768,5133,0
1370,1177,0
54,2980,0
5102,1919,0
3519,469,0
588,4078,0
2265,2195,0
4824,980,0
4290,1245,0
3405,338,0
5311,1968,0
2915,1026,0
4514,292,0
596,1320,0
5263,163,0
2951,117,0
2061,4175,0
4254,2315,0
1452,4410,0
2254,2946,0
1995,1492,0
1149,3104,0
3446,2290,0
3488,4508,0
3863,932,0
1985,4901,0
4098,2753,0
1084,3937,0
510,2689,0
2248,479,0
4512,4117,0
4954,3954,0
438,302,0
2874,893,0
2000,3182,0
3915,2562,0
1983,4898,0
1002,319,0
4930,564,0
2998,4645,0
774,2138,0
3475,3029,0
4957,1494,0
4659,1741,0
3661,3974,0
477,2425,0
1997,2691,0
272,166,0
453,555,0
5403,2377,0
1240,2553,0
1018,1036,0
1385,4689,0
3980,2634,0
2372,4073,0
1399,3129,0
4994,4049,0
1951,4834,0
2472,2675,0
355,5174,0
695,4243,0
5272,1181,0
2042,1355,0
4889,2710,0
5046,3135,0
3864,1899,0
1732,5332,0
2810,2828,0
505,1475,0
1765,4882,0
657,2559,0
4727,4333,0
1516,629,0
4267,2399,0
4090,3568,0
4418,3067,0
4033,3218,0
2659,1715,0
5280,472,0
2738,4712,0
5340,2811,0
60,1156,0
827,4476,0
3092,1234,0
3924,2296,0
5074,1532,0
3877,4864,0
487,4578,0
4167,1014,0
1220,4092,0
4924,4040,0
665,3014,0
4089,44,0
1266,3122,0
300,4314,0
4394,917,0
3880,5240,0
1393,655,0
1205,343,0
2265,5030,0
4913,3104,0
2558,3625,0
4275,1531,0
1985,2309,0
436,5037,0
2769,2590,0
758,2655,0
5264,2707,0
3680,2103,0
3323,1553,0
1710,673,0
3660,1502,0
2273,4222,0
3146,4127,0
2466,4698,0
5241,300,0
4674,499,0
4996,3906,0
3672,1598,0
1456,2740,0
606,2555,0
4913,947,0
1701,1113,0
3333,1140,0
138,4901,0
3662,1143,0
923,5273,0
1522,2484,0
5334,4779,0
1861,1106,0
4603,366,0
4176,2404,0
4431,1299,0
3475,2237,0
156,3802,0
3376,3871,0
4688,897,0
4382,3303,0
4531,1701,0
4322,1983,0
278,2189,0
1250,360,0
5374,3504,0
5303,4261,0
177,5216,0
5164,5164,0
2720,2866,0
4901,1794,0
4456,5262,0
356,2441,0
4198,3926,0
4291,1822,0
4439,4521,0
2481,3142,0
593,2048,0
54,2313,0
3222,3434,0
