,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_embedding_dim,params_lr,params_lr_decay_rate,params_weight_decay,state
0,0,-0.24480049152441094,2020-07-11 11:41:33.606007,2020-07-11 12:04:50.033875,0 days 00:23:16.427868000,512,112.0,0.002590233456500681,0.7043271484624178,4.7821063834743e-06,COMPLETE
1,1,-0.1933800480202917,2020-07-11 12:04:50.034578,2020-07-11 13:15:54.396687,0 days 01:11:04.362109000,128,128.0,0.0027053071514954565,0.5738878925534805,0.0005690531056728623,COMPLETE
2,2,-0.22573304334772848,2020-07-11 13:15:54.397629,2020-07-11 13:53:40.891370,0 days 00:37:46.493741000,384,80.0,0.0033295132697274132,0.6125040600933944,1.3584893199749204e-05,COMPLETE
3,3,-0.2017235730542853,2020-07-11 13:53:40.891998,2020-07-11 15:15:56.110334,0 days 01:22:15.218336000,128,80.0,0.001264133823913063,0.560506459510383,0.0013957637537859078,COMPLETE
4,4,-0.28882604557062186,2020-07-11 15:15:56.111166,2020-07-11 15:48:58.660033,0 days 00:33:02.548867000,384,80.0,0.0003695856652987854,0.9441988801260728,0.0008889134492614734,COMPLETE
5,5,-0.006509228335177649,2020-07-11 15:48:58.660635,2020-07-11 17:01:22.302879,0 days 01:12:23.642244000,128,112.0,0.001461760743669328,0.9772820315953419,3.0008582499479967e-05,COMPLETE
6,6,-0.22752330457991987,2020-07-11 17:01:22.303443,2020-07-11 17:41:05.214476,0 days 00:39:42.911033000,256,128.0,0.006482706457641998,0.8478148309365259,2.103290028610364e-06,COMPLETE
7,7,-0.28726392198275674,2020-07-11 17:41:05.215062,2020-07-11 18:10:49.985393,0 days 00:29:44.770331000,384,128.0,0.00031955138661998814,0.9357406851495291,0.00046618734488602145,COMPLETE
8,8,-0.13357296776667096,2020-07-11 18:10:49.985986,2020-07-11 18:48:01.076454,0 days 00:37:11.090468000,256,48.0,0.00016010103658232103,0.5275747430346953,2.515649887263719e-06,COMPLETE
9,9,-0.22293063724827897,2020-07-11 18:48:01.077067,2020-07-11 19:11:19.525431,0 days 00:23:18.448364000,512,112.0,0.006566805197996834,0.6336359392642033,4.627538899951119e-06,COMPLETE
10,10,-0.2139321549280044,2020-07-11 19:11:19.526008,2020-07-11 19:40:01.170491,0 days 00:28:41.644483000,384,16.0,0.00039611112675254064,0.8378240370453357,0.0045501658787598515,COMPLETE
11,11,-0.20765654934295025,2020-07-11 19:40:01.171055,2020-07-11 20:07:44.184419,0 days 00:27:43.013364000,384,48.0,0.0003364580323263542,0.9982567693279141,0.00024179350187185367,COMPLETE
12,12,-0.26128931811239375,2020-07-11 20:07:44.185034,2020-07-11 20:36:22.319502,0 days 00:28:38.134468000,384,64.0,0.00043915806224113194,0.9115927480216182,0.004024622911429848,COMPLETE
13,13,-0.03360014064686729,2020-07-11 20:36:22.320155,2020-07-11 20:59:09.623904,0 days 00:22:47.303749000,512,16.0,0.0001420151090513459,0.9127596616802734,0.00011180752651901042,COMPLETE
14,14,-0.23415812624545637,2020-07-11 20:59:09.624456,2020-07-11 21:38:11.533606,0 days 00:39:01.909150000,256,96.0,0.0005812297293386277,0.7932624602539781,0.0010007163511778626,COMPLETE
15,15,-0.24424724320817964,2020-07-11 21:38:11.534220,2020-07-11 22:08:48.544774,0 days 00:30:37.010554000,384,48.0,0.00022809133774478235,0.9496355953289216,0.008774460434757884,COMPLETE
16,16,-0.23602231104013505,2020-07-11 22:08:48.545389,2020-07-11 22:47:34.407739,0 days 00:38:45.862350000,256,64.0,0.0007740814030869421,0.7299368288113937,0.00028809309484046877,COMPLETE
17,17,-0.11174535729700984,2020-07-11 22:47:34.408358,2020-07-11 23:11:19.227194,0 days 00:23:44.818836000,512,96.0,0.00010224299843764535,0.8689655745021402,5.825112017543863e-05,COMPLETE
18,18,-0.19010853838548203,2020-07-11 23:11:19.227759,2020-07-11 23:37:37.538177,0 days 00:26:18.310418000,384,96.0,0.00024823448896985143,0.9987577094283718,0.002638537921363267,COMPLETE
19,19,-0.23476624617882383,2020-07-11 23:37:37.538744,2020-07-12 00:11:05.603192,0 days 00:33:28.064448000,256,32.0,0.00081023487881582,0.7830721562847772,0.0004136851268246676,COMPLETE
