,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_embedding_dim,params_lr,params_lr_decay_rate,params_weight_decay,state
0,0,-0.17446841857553905,2020-07-12 02:31:42.752223,2020-07-12 03:34:02.404173,0 days 01:02:19.651950000,128,64.0,0.00013513433000055818,0.6285458579507297,1.4628696903261552e-05,COMPLETE
1,1,-0.2152345454048864,2020-07-12 03:34:02.404786,2020-07-12 04:04:11.167959,0 days 00:30:08.763173000,384,112.0,0.0038468467036312367,0.6918915701275448,2.8894617240024325e-05,COMPLETE
2,2,-0.22164513056703744,2020-07-12 04:04:11.168682,2020-07-12 04:29:19.596151,0 days 00:25:08.427469000,512,64.0,0.004572799040857474,0.9951332841554165,2.4045124454589613e-05,COMPLETE
3,3,-0.23424033654828394,2020-07-12 04:29:19.597103,2020-07-12 05:06:39.670851,0 days 00:37:20.073748000,256,64.0,0.004261251751711857,0.631073658708182,0.002548064120921541,COMPLETE
4,4,-0.034625690134372236,2020-07-12 05:06:39.671469,2020-07-12 05:45:08.791444,0 days 00:38:29.119975000,256,16.0,0.0001610341998760941,0.5921672018216451,3.5541220372559977e-06,COMPLETE
5,5,-0.2261884229021449,2020-07-12 05:45:08.792477,2020-07-12 06:23:04.301207,0 days 00:37:55.508730000,256,96.0,0.007426599866565563,0.8941950058099005,0.002586186530386835,COMPLETE
6,6,-0.1988663423764321,2020-07-12 06:23:04.302123,2020-07-12 07:00:38.757581,0 days 00:37:34.455458000,256,64.0,0.003131756878660206,0.6686858282763025,0.00028770361048304025,COMPLETE
7,7,-0.22222360255884926,2020-07-12 07:00:38.758142,2020-07-12 07:34:40.617740,0 days 00:34:01.859598000,256,64.0,0.0013056696677565913,0.8340843166021815,0.00040251493243256717,COMPLETE
8,8,-0.2512618080108268,2020-07-12 07:34:40.618294,2020-07-12 07:56:33.755698,0 days 00:21:53.137404000,512,80.0,0.0017243820077594938,0.8758805166164281,0.0013171766224748566,COMPLETE
9,9,-0.10838694575675,2020-07-12 07:56:33.756302,2020-07-12 08:27:39.190806,0 days 00:31:05.434504000,256,48.0,0.00010284365757635775,0.521463532826818,0.009172270797235094,COMPLETE
10,10,-0.31070079759008074,2020-07-12 08:27:39.191419,2020-07-12 08:48:59.590569,0 days 00:21:20.399150000,512,128.0,0.00041668368727423025,0.9649713087569032,0.009133388434946727,COMPLETE
11,11,-0.27896639935884593,2020-07-12 08:48:59.591130,2020-07-12 09:10:45.070982,0 days 00:21:45.479852000,512,128.0,0.0004415765681087643,0.9996960664641312,0.009145532701393436,COMPLETE
12,12,-0.30590001725397575,2020-07-12 09:10:45.071614,2020-07-12 09:33:19.070154,0 days 00:22:33.998540000,512,128.0,0.0003979180475129252,0.9846365510743481,0.009553175025177519,COMPLETE
13,13,-0.28997644142125567,2020-07-12 09:33:19.070721,2020-07-12 10:01:23.068809,0 days 00:28:03.998088000,384,128.0,0.00042706709241837563,0.9469182101324626,0.006730320490563328,COMPLETE
14,14,-0.281569733819072,2020-07-12 10:01:23.069488,2020-07-12 10:23:53.871038,0 days 00:22:30.801550000,512,112.0,0.0004084659254744083,0.7753250948569801,0.0006749944888564465,COMPLETE
15,15,-0.28256768220675854,2020-07-12 10:23:53.871615,2020-07-12 10:51:11.959656,0 days 00:27:18.088041000,384,128.0,0.0002352713021801274,0.9466053890762219,0.004123137388801731,COMPLETE
16,16,-0.22366713890361756,2020-07-12 10:51:11.960279,2020-07-12 11:13:14.947077,0 days 00:22:02.986798000,512,96.0,0.0007554997665858598,0.9978648936400882,9.789903395046693e-05,COMPLETE
17,17,-0.3013443244930875,2020-07-12 11:13:14.947685,2020-07-12 11:40:35.000237,0 days 00:27:20.052552000,384,112.0,0.000796834757537557,0.7953545048712959,1.675315274554823e-06,COMPLETE
18,18,-0.05536319214768807,2020-07-12 11:40:35.000874,2020-07-12 12:01:27.352323,0 days 00:20:52.351449000,512,16.0,0.00024914619792491897,0.9155214203177621,0.0011930428938816725,COMPLETE
19,19,-0.2309823992876697,2020-07-12 12:01:27.352887,2020-07-12 12:25:44.737846,0 days 00:24:17.384959000,384,96.0,0.00027122866501624323,0.8414785641310121,9.975861949061807e-05,COMPLETE
