,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_embedding_dim,params_lr,params_lr_decay_rate,params_weight_decay,state
0,0,-0.20929779451816483,2020-07-12 12:46:14.005060,2020-07-12 13:42:55.884220,0 days 00:56:41.879160000,9.681602468501047e-05,128,48.0,0.003153767694923355,0.5064636087877195,0.0038747994033212696,COMPLETE
1,1,-0.20133831296114407,2020-07-12 13:42:55.884792,2020-07-12 14:35:24.380689,0 days 00:52:28.495897000,2.3126546098428527e-06,128,112.0,0.003774337875922352,0.5520850847909184,0.000899745097835616,COMPLETE
2,2,-0.23236943459137685,2020-07-12 14:35:24.381260,2020-07-12 14:55:46.748082,0 days 00:20:22.366822000,0.0006329257032287647,512,80.0,0.009094093464525907,0.8264204606401092,0.00012190143293862908,COMPLETE
3,3,-0.20801626514234028,2020-07-12 14:55:46.748667,2020-07-12 15:28:32.292520,0 days 00:32:45.543853000,2.772809486552533e-05,256,96.0,0.0034104468937856012,0.7571620977370979,3.6008810199541413e-05,COMPLETE
4,4,-0.005461468855839186,2020-07-12 15:28:32.293073,2020-07-12 16:22:08.754467,0 days 00:53:36.461394000,0.0006895778772053595,128,112.0,0.0011663949795396296,0.9308079953574762,0.0074188019452297565,COMPLETE
5,5,-0.28381245132153693,2020-07-12 16:22:08.755035,2020-07-12 17:16:33.546736,0 days 00:54:24.791701000,7.509104879472579e-06,128,64.0,0.00035330572770357637,0.730080792875752,1.1583042414000035e-06,COMPLETE
6,6,-0.17559591470658376,2020-07-12 17:16:33.547327,2020-07-12 17:40:41.833667,0 days 00:24:08.286340000,0.00806176623032894,384,80.0,0.00017835684046136295,0.8502194999130436,0.00013926137606402728,COMPLETE
7,7,-0.19036466751748052,2020-07-12 17:40:41.834312,2020-07-12 18:04:54.052731,0 days 00:24:12.218419000,1.1403444949075805e-06,384,32.0,0.00042215761315432044,0.8369736504244483,6.033546524644444e-06,COMPLETE
8,8,-0.2717754973551997,2020-07-12 18:04:54.053324,2020-07-12 18:29:00.290790,0 days 00:24:06.237466000,5.825554212054343e-05,384,96.0,0.0003302802008836666,0.9860519345626968,3.6777852339466426e-06,COMPLETE
9,9,-0.18616991865326218,2020-07-12 18:29:00.291387,2020-07-12 18:54:22.415505,0 days 00:25:22.124118000,0.0005517830574920892,384,16.0,0.0005555292189251442,0.758296181845107,5.261036795930126e-06,COMPLETE
10,10,-0.11876742178589655,2020-07-12 18:54:22.416121,2020-07-12 19:31:10.660512,0 days 00:36:48.244391000,5.393662719543734e-06,256,48.0,0.00010560114027713844,0.622291906359775,1.3609063687407985e-06,COMPLETE
11,11,-0.2987661665191,2020-07-12 19:31:10.661091,2020-07-12 19:52:36.023755,0 days 00:21:25.362664000,9.676926685832753e-06,512,128.0,0.0002587391012930538,0.9968326174874722,1.0722449773827529e-06,COMPLETE
12,12,-0.15356665288283103,2020-07-12 19:52:36.024340,2020-07-12 20:14:23.166754,0 days 00:21:47.142414000,6.652016215477637e-06,512,128.0,0.00017496972562924324,0.6490871520691357,1.3400574171704115e-06,COMPLETE
13,13,-0.2579516618147275,2020-07-12 20:14:23.167355,2020-07-12 20:48:57.046439,0 days 00:34:33.879084000,1.3723860345206331e-05,256,64.0,0.0008912371762554917,0.6779868664555868,1.847702313096826e-05,COMPLETE
14,14,-0.14993444448195303,2020-07-12 20:48:57.047089,2020-07-12 21:09:25.566532,0 days 00:20:28.519443000,1.246002462924755e-06,512,64.0,0.0002082645895684937,0.7062957144507499,1.1247131848944604e-06,COMPLETE
15,15,-0.2620417429512189,2020-07-12 21:09:25.567119,2020-07-12 21:40:16.690312,0 days 00:30:51.123193000,4.639422509189169e-06,256,128.0,0.0008337576195926275,0.931296116985211,1.7126386854218647e-05,COMPLETE
16,16,-0.13509031535797067,2020-07-12 21:40:16.690890,2020-07-12 22:34:42.718841,0 days 00:54:26.027951000,1.9743343368262684e-05,128,48.0,0.00010019427281445073,0.7819923141995513,0.0004470374895488766,COMPLETE
17,17,-0.04387633585813408,2020-07-12 22:34:42.719460,2020-07-12 22:54:20.053593,0 days 00:19:37.334133000,0.00019697459999169125,512,16.0,0.0002634841817414567,0.6135544852472256,2.8305990307822825e-06,COMPLETE
18,18,-0.28845678779061057,2020-07-12 22:54:20.054213,2020-07-12 23:16:56.814957,0 days 00:22:36.760744000,4.6144443171710806e-05,384,96.0,0.0005823075954194022,0.9068693302808842,1.4147379833084795e-05,COMPLETE
19,19,-0.20490582296860668,2020-07-12 23:16:56.815585,2020-07-12 23:39:23.463422,0 days 00:22:26.647837000,0.00023731761950963762,384,112.0,0.0016052362502076744,0.9983313132053528,3.356082799070547e-05,COMPLETE
