,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_embedding_dim,params_lr,params_lr_decay_rate,params_weight_decay,state
0,0,-0.006385476260829588,2020-09-04 04:26:23.539586,2020-09-04 05:34:19.923768,0 days 01:07:56.384182000,256,112.0,0.0003598486422936914,0.9934194627238772,0.001270359447914579,COMPLETE
1,1,-0.011922816003089441,2020-09-04 05:34:19.924222,2020-09-04 06:42:20.761255,0 days 01:08:00.837033000,128,48.0,0.00033006239149631177,0.5499645477396046,0.000764049480502886,COMPLETE
2,2,-0.007429568357078751,2020-09-04 06:42:20.761676,2020-09-04 07:49:40.484729,0 days 01:07:19.723053000,128,48.0,0.003271187931730943,0.6785679773839421,0.00228130875118674,COMPLETE
3,3,-0.006188093771559398,2020-09-04 07:49:40.485151,2020-09-04 08:57:25.890877,0 days 01:07:45.405726000,384,96.0,0.0005282848616409772,0.8380891537032658,0.0014182889476587193,COMPLETE
4,4,-0.10516698957182441,2020-09-04 08:57:25.891303,2020-09-04 10:04:54.313739,0 days 01:07:28.422436000,256,80.0,0.0017953740337851298,0.7095409368419499,2.8936511561220446e-05,COMPLETE
5,5,-0.0038110815635287467,2020-09-04 10:04:54.314166,2020-09-04 11:12:57.688951,0 days 01:08:03.374785000,384,16.0,0.0002526550580330797,0.527133815839094,0.0006195437173706321,COMPLETE
6,6,-0.08532384331507069,2020-09-04 11:12:57.689374,2020-09-04 12:20:25.431480,0 days 01:07:27.742106000,512,96.0,0.009491266468053984,0.8037631286151167,4.1649385850427286e-05,COMPLETE
7,7,-0.006531072989134704,2020-09-04 12:20:25.431926,2020-09-04 13:27:36.389895,0 days 01:07:10.957969000,256,64.0,0.0030267829382878116,0.5917262116098396,0.0018003281150501685,COMPLETE
8,8,-0.06562739006204124,2020-09-04 13:27:36.390321,2020-09-04 14:35:05.834244,0 days 01:07:29.443923000,384,112.0,0.006142529293636909,0.8579382203491979,1.526024595733434e-06,COMPLETE
9,9,-0.09651196358594655,2020-09-04 14:35:05.834664,2020-09-04 15:43:04.981866,0 days 01:07:59.147202000,512,96.0,0.0010518382887687407,0.9496812445144651,3.3881616325286224e-06,COMPLETE
10,10,-0.012677519791838236,2020-09-04 15:43:04.982315,2020-09-04 16:51:42.127691,0 days 01:08:37.145376000,256,16.0,0.00011450432486136952,0.6504787069987858,2.4813226343373146e-05,COMPLETE
11,11,-0.09234598043341402,2020-09-04 16:51:42.128131,2020-09-04 17:59:31.419170,0 days 01:07:49.291039000,512,80.0,0.0013889419685374248,0.988540167437833,3.054005269699576e-06,COMPLETE
12,12,-0.10385601804860939,2020-09-04 17:59:31.419599,2020-09-04 19:07:44.793370,0 days 01:08:13.373771000,512,128.0,0.001367333910576759,0.7376308915537396,6.809361361353881e-06,COMPLETE
13,13,-0.10099003389052075,2020-09-04 19:07:44.793812,2020-09-04 20:15:25.506747,0 days 01:07:40.712935000,256,128.0,0.001761740824608584,0.7119821972854342,1.2370823004914395e-05,COMPLETE
