,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_embedding_dim,params_lr,params_lr_decay_rate,params_weight_decay,state
0,0,-0.047913918631928176,2020-09-04 04:24:17.624025,2020-09-04 05:31:44.046686,0 days 01:07:26.422661000,0.003344079982917353,256,64.0,0.002326649732748175,0.7786858829305734,0.0002725742508981356,COMPLETE
1,1,-0.04634560789141205,2020-09-04 05:31:44.047179,2020-09-04 06:39:37.457174,0 days 01:07:53.409995000,5.381702524757851e-05,512,16.0,0.00025953473785365774,0.5919774748725801,4.983173660641008e-06,COMPLETE
2,2,-0.1918962635774072,2020-09-04 06:39:37.457632,2020-09-04 07:46:56.896500,0 days 01:07:19.438868000,1.8764614688284975e-05,128,64.0,0.0012101198454950257,0.8858699191326762,1.803881904879052e-05,COMPLETE
3,3,-0.24459618212645687,2020-09-04 07:46:56.896957,2020-09-04 08:54:49.797678,0 days 01:07:52.900721000,1.7759806576181296e-05,128,80.0,0.0003558445815761195,0.9099334411485718,7.304112344013991e-05,COMPLETE
4,4,-0.044183427381090976,2020-09-04 08:54:49.798141,2020-09-04 10:02:43.933590,0 days 01:07:54.135449000,2.9431805056005516e-05,128,96.0,0.0005745400339931153,0.5822835889595275,0.008133941442388862,COMPLETE
5,5,-0.15088240154250554,2020-09-04 10:02:43.934049,2020-09-04 11:09:54.303479,0 days 01:07:10.369430000,1.1429814967070543e-05,512,128.0,0.001797589616422259,0.86502612543305,7.950324899996682e-06,COMPLETE
6,6,-0.059398206372354594,2020-09-04 11:09:54.303946,2020-09-04 12:18:34.628132,0 days 01:08:40.324186000,0.005788854621951981,256,128.0,0.00029541879090275375,0.8279375070793523,0.0043398373405798855,COMPLETE
7,7,-0.21842867452520506,2020-09-04 12:18:34.628597,2020-09-04 13:26:22.013561,0 days 01:07:47.384964000,2.872882341163619e-06,256,112.0,0.00031465586823649046,0.9830031270350663,1.0534272472752736e-06,COMPLETE
8,8,-0.0431009765000273,2020-09-04 13:26:22.014029,2020-09-04 14:35:08.143462,0 days 01:08:46.129433000,0.006253407737132714,384,16.0,0.0001171811107716833,0.5895687824628618,1.8590059876967826e-06,COMPLETE
9,9,-0.052172590929155015,2020-09-04 14:35:08.143924,2020-09-04 15:42:43.077338,0 days 01:07:34.933414000,9.09366946703103e-06,384,96.0,0.00213545606352915,0.8937462449769114,5.818356896783478e-05,COMPLETE
10,10,-0.05551963740511055,2020-09-04 15:42:43.077815,2020-09-04 16:50:06.173341,0 days 01:07:23.095526000,0.0003201640029442342,128,48.0,0.008501801191285399,0.9775442675948302,0.0005249533509469732,COMPLETE
11,11,-0.21417619974589083,2020-09-04 16:50:06.173804,2020-09-04 17:59:20.653827,0 days 01:09:14.480023000,1.5302963285597168e-06,256,96.0,0.0001593434016896409,0.9848734635038202,1.080395927357829e-06,COMPLETE
12,12,-0.05305539090011109,2020-09-04 17:59:20.654296,2020-09-04 19:08:07.536854,0 days 01:08:46.882558000,1.0541329762945116e-06,128,112.0,0.0005665219673094366,0.9735462805398984,0.0010515166861376339,COMPLETE
13,13,-0.2108264456512977,2020-09-04 19:08:07.537328,2020-09-04 20:15:44.658064,0 days 01:07:37.120736000,3.277199063457385e-06,256,80.0,0.00048727517461757985,0.6888766160227625,0.0001100851176028843,COMPLETE
14,14,-0.1879880244371388,2020-09-04 20:15:44.658533,2020-09-04 21:23:59.417304,0 days 01:08:14.758771000,0.0002899741075856944,384,48.0,0.00022474034851712612,0.9262000324015564,2.3605682046745008e-05,COMPLETE
15,15,-0.05206863399115109,2020-09-04 21:23:59.417775,2020-09-04 22:32:38.797071,0 days 01:08:39.379296000,3.5439975945977904e-06,128,112.0,0.00040164565939777315,0.7506758865435086,0.0018177544236369397,COMPLETE
16,16,-0.22985737550944604,2020-09-04 22:32:38.797526,2020-09-04 23:41:22.535738,0 days 01:08:43.738212000,0.0001530912405105383,256,80.0,0.0001054809920121452,0.9432440652097857,2.633841766435312e-06,COMPLETE
17,17,-0.23721164374204332,2020-09-04 23:41:22.536210,2020-09-05 00:50:07.868271,0 days 01:08:45.332061000,0.00023304122848364508,256,80.0,0.00012101174738496038,0.8317656972354821,3.210886438561579e-06,COMPLETE
18,18,-0.23926789854564157,2020-09-05 00:50:07.868768,2020-09-05 01:57:33.840792,0 days 01:07:25.972024000,0.001617206289202165,128,48.0,0.00017431373279096029,0.6902081100241151,9.733653479892046e-05,COMPLETE
19,19,-0.1272235894615007,2020-09-05 01:57:33.841246,2020-09-05 03:04:08.962882,0 days 01:06:35.121636000,0.0011541819695141606,128,32.0,0.0007620449102813425,0.6730447554613272,0.0001272517291677493,COMPLETE
20,20,-0.2284639871090139,2020-09-05 03:04:08.963339,2020-09-05 04:11:21.015958,0 days 01:07:12.052619000,0.0011512714641463636,128,48.0,0.000185858035666856,0.5134984851631886,3.8736335808485575e-05,COMPLETE
21,21,-0.2409630025218074,2020-09-05 04:11:21.016446,2020-09-05 05:19:48.387507,0 days 01:08:27.371061000,0.0009370539671339889,128,64.0,0.0001054627484559201,0.8223094032686293,0.00024949515485678356,COMPLETE
22,22,-0.2452656821418922,2020-09-05 05:19:48.387969,2020-09-05 06:28:02.115706,0 days 01:08:13.727737000,0.0009288338115490339,128,64.0,0.00010075830235102617,0.6935103041450664,0.0002944113767786241,COMPLETE
23,23,-0.24612144234957567,2020-09-05 06:28:02.116214,2020-09-05 07:36:18.696928,0 days 01:08:16.580714000,0.0005684139381689683,128,64.0,0.00010534628484544904,0.8012353874780311,0.00027521858772890144,COMPLETE
24,24,-0.052508725401253745,2020-09-05 07:36:18.697388,2020-09-05 08:42:53.528798,0 days 01:06:34.831410000,9.204895388067383e-05,128,64.0,0.004873407361773958,0.7754116580250301,0.0003994277439265683,COMPLETE
25,25,-0.17964701211084544,2020-09-05 08:42:53.529259,2020-09-05 09:50:56.645835,0 days 01:08:03.116576000,0.00043986727770136747,128,32.0,0.00010100052029439051,0.6463968298001349,0.0009713505924110152,COMPLETE
26,26,-0.25056222222512403,2020-09-05 09:50:56.646291,2020-09-05 10:58:53.017477,0 days 01:07:56.371186000,0.0005568115893788657,128,80.0,0.00014819680994429318,0.7165142529887432,0.00018150185298623813,COMPLETE
27,27,-0.1457513263030167,2020-09-05 10:58:53.018060,2020-09-05 12:07:03.082323,0 days 01:08:10.064263000,0.0006259476429082422,256,32.0,0.00015007232188396047,0.738337098649867,0.00021726077283906885,COMPLETE
28,28,-0.06880843090221594,2020-09-05 12:07:03.082780,2020-09-05 13:15:45.478828,0 days 01:08:42.396048000,0.002040813985339169,128,64.0,0.0002219336686716904,0.7249471569169644,0.0007249045475706586,COMPLETE
29,29,-0.18103285609686529,2020-09-05 13:15:45.479292,2020-09-05 14:24:09.126464,0 days 01:08:23.647172000,0.003291988744638512,256,80.0,0.00013031311746371376,0.6436817940291626,0.0027978109966522125,COMPLETE
