,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_embedding_dim,params_lr,params_lr_decay_rate,params_weight_decay,state
0,0,-0.0572713302388749,2020-09-03 12:51:17.314433,2020-09-03 13:56:18.736454,0 days 01:05:01.422021000,512,80.0,0.00743186159699469,0.8157513475919473,0.0028758404719962894,COMPLETE
1,1,-0.05786093661620505,2020-09-03 13:56:18.736904,2020-09-03 15:01:20.986814,0 days 01:05:02.249910000,128,80.0,0.008450491489991396,0.6714863144746566,0.00011943311915040691,COMPLETE
2,2,-0.057234179044902564,2020-09-03 15:01:20.987227,2020-09-03 16:07:24.212770,0 days 01:06:03.225543000,128,128.0,0.0003493543149776058,0.6489334463834655,0.008118833403831014,COMPLETE
3,3,-0.1648520455084304,2020-09-03 16:07:24.213183,2020-09-03 17:13:30.661761,0 days 01:06:06.448578000,256,32.0,0.00011248409886328276,0.6659792259791012,5.662187985028457e-05,COMPLETE
4,4,-0.11071405473262666,2020-09-03 17:13:30.662207,2020-09-03 18:20:11.689722,0 days 01:06:41.027515000,256,128.0,0.00019257762594848292,0.6686053470023241,0.0011397089782295502,COMPLETE
5,5,-0.031885083604971845,2020-09-03 18:20:11.690186,2020-09-03 19:25:12.918784,0 days 01:05:01.228598000,512,16.0,0.008600976546646693,0.6002063710514502,0.00863111422610127,COMPLETE
6,6,-0.02971470587729284,2020-09-03 19:25:12.919199,2020-09-03 20:30:11.661824,0 days 01:04:58.742625000,512,32.0,0.005146185920671332,0.6543512811499586,1.3301940317805881e-06,COMPLETE
7,7,-0.060043361727532135,2020-09-03 20:30:11.662242,2020-09-03 21:35:39.357970,0 days 01:05:27.695728000,512,80.0,0.000919666192659212,0.5915923777820072,0.00021407578706685777,COMPLETE
8,8,-0.026843550651598512,2020-09-03 21:35:39.358392,2020-09-03 22:40:40.871858,0 days 01:05:01.513466000,384,16.0,0.0006215674391804464,0.8594028194879172,6.7081596688638595e-06,COMPLETE
9,9,-0.23151016993534282,2020-09-03 22:40:40.872272,2020-09-03 23:46:08.755983,0 days 01:05:27.883711000,256,64.0,0.0003220206019492908,0.6341875575336005,4.251600259576656e-06,COMPLETE
10,10,-0.08515007435735195,2020-09-03 23:46:08.756419,2020-09-04 00:51:13.703323,0 days 01:05:04.946904000,384,48.0,0.00222639642285952,0.9688774628553135,1.4933877952619962e-06,COMPLETE
11,11,-0.21120519671641652,2020-09-04 00:51:13.703741,2020-09-04 01:57:30.353564,0 days 01:06:16.649823000,256,48.0,0.00011093904393268593,0.5121540655034584,1.4537855290186253e-05,COMPLETE
