,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_embedding_dim,params_lr,params_lr_decay_rate,params_weight_decay,state
0,0,-0.1618779896999105,2020-07-11 11:41:51.979843,2020-07-11 12:11:11.261878,0 days 00:29:19.282035000,256,16.0,0.00040008599954403316,0.6018936340741247,2.3449740938517293e-05,COMPLETE
1,1,-0.2206232564769993,2020-07-11 12:11:11.262497,2020-07-11 12:33:44.704683,0 days 00:22:33.442186000,512,80.0,0.005176241687611399,0.6400540240634229,4.4217249238198705e-06,COMPLETE
2,2,-0.27520823806103967,2020-07-11 12:33:44.705228,2020-07-11 12:58:51.031659,0 days 00:25:06.326431000,512,96.0,0.0005652509378642739,0.8710835074013266,1.4273886092116e-05,COMPLETE
3,3,-0.1671212150700277,2020-07-11 12:58:51.032239,2020-07-11 13:26:33.603196,0 days 00:27:42.570957000,512,112.0,0.00018629331817859794,0.8461976607622598,3.865977873000706e-05,COMPLETE
4,4,-0.005461468855839186,2020-07-11 13:26:33.603819,2020-07-11 14:27:24.871669,0 days 01:00:51.267850000,128,16.0,0.006346078185453034,0.9902507947095556,6.473962915059049e-06,COMPLETE
5,5,-0.27708008954168406,2020-07-11 14:27:24.872319,2020-07-11 14:58:42.340790,0 days 00:31:17.468471000,384,112.0,0.00039402097345318863,0.8007560729744537,0.00028793020213536394,COMPLETE
6,6,-0.19992146108954212,2020-07-11 14:58:42.341426,2020-07-11 15:28:22.150684,0 days 00:29:39.809258000,384,128.0,0.00020595074520227642,0.5427209333931888,1.9484749327123884e-06,COMPLETE
7,7,-0.19824910785014502,2020-07-11 15:28:22.151305,2020-07-11 16:21:11.489700,0 days 00:52:49.338395000,128,64.0,0.003978958204193004,0.695231857052463,0.000172980645696868,COMPLETE
8,8,-0.27538913466938336,2020-07-11 16:21:11.490357,2020-07-11 16:47:40.208663,0 days 00:26:28.718306000,384,64.0,0.0009313756194697062,0.72318010826028,3.830016246338799e-06,COMPLETE
9,9,-0.005461468855839186,2020-07-11 16:47:40.209290,2020-07-11 17:35:26.263279,0 days 00:47:46.053989000,128,64.0,0.0003372250572707799,0.8999982812490962,1.687874460020705e-06,COMPLETE
10,10,-0.17921174770482748,2020-07-11 17:35:26.263827,2020-07-11 18:04:13.261371,0 days 00:28:46.997544000,256,128.0,0.0019483629741524884,0.7833888330556196,0.0046999440283755954,COMPLETE
11,11,-0.2344313867253953,2020-07-11 18:04:13.262034,2020-07-11 18:28:22.558752,0 days 00:24:09.296718000,384,48.0,0.0011085384583177501,0.747977992496309,0.00044699687246867946,COMPLETE
12,12,-0.22747979001256957,2020-07-11 18:28:22.559320,2020-07-11 18:52:03.368491,0 days 00:23:40.809171000,384,48.0,0.0010754938266108465,0.7702807242040483,0.0007650844676678354,COMPLETE
13,13,-0.2165876098787154,2020-07-11 18:52:03.369045,2020-07-11 19:16:22.189245,0 days 00:24:18.820200000,384,96.0,0.0019718516694133313,0.6942360962141858,0.0019229623844385349,COMPLETE
14,14,-0.1312414353863394,2020-07-11 19:16:22.189808,2020-07-11 19:44:08.713938,0 days 00:27:46.524130000,256,48.0,0.00010590203126392032,0.9772870706309343,9.751670288144961e-05,COMPLETE
15,15,-0.22993753957024657,2020-07-11 19:44:08.714488,2020-07-11 20:09:09.170091,0 days 00:25:00.455603000,384,80.0,0.0005925269837898095,0.821237304444191,0.009625887481674747,COMPLETE
16,16,-0.2155902233599316,2020-07-11 20:09:09.170626,2020-07-11 20:40:48.263517,0 days 00:31:39.092891000,256,112.0,0.0016953581862966401,0.9245984219202863,0.00011380005024926937,COMPLETE
17,17,-0.07373048622385789,2020-07-11 20:40:48.264127,2020-07-11 21:00:14.752202,0 days 00:19:26.488075000,512,32.0,0.00011323432435315145,0.7080514196388583,0.00041804061197151627,COMPLETE
18,18,-0.24595020106656917,2020-07-11 21:00:14.752751,2020-07-11 21:25:17.166760,0 days 00:25:02.414009000,384,96.0,0.000659945447338219,0.6307707154458135,0.0016238484628104419,COMPLETE
19,19,-0.23848187500456688,2020-07-11 21:25:17.167323,2020-07-11 21:56:20.697734,0 days 00:31:03.530411000,256,112.0,0.00022786054829975117,0.5159993757121877,4.295559351668712e-05,COMPLETE
