,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_embedding_dim,params_lr,params_lr_decay_rate,params_warmup,params_weight_decay,state
0,0,-0.0060108787679110185,2020-08-07 13:02:20.282839,2020-08-07 13:27:17.944864,0 days 00:24:57.662025000,512,80.0,0.00010398087984030523,0.8135280124609474,49,7.363811331261703e-06,COMPLETE
1,1,-0.09021897908652451,2020-08-07 13:27:17.945363,2020-08-07 14:38:38.519200,0 days 01:11:20.573837000,128,112.0,0.005902206909586083,0.8412124977237708,46,0.00010822747368743977,COMPLETE
2,2,-0.005110685675656399,2020-08-07 14:38:38.519706,2020-08-07 15:04:56.042976,0 days 00:26:17.523270000,384,96.0,0.0008766374257568579,0.8431024959137416,83,0.005611064391471653,COMPLETE
3,3,-0.0852169122485999,2020-08-07 15:04:56.043462,2020-08-07 15:25:50.015070,0 days 00:20:53.971608000,512,32.0,0.005531128825858448,0.8230748086027928,93,2.333160996291373e-05,COMPLETE
4,4,-0.006832852399563931,2020-08-07 15:25:50.015543,2020-08-07 15:52:32.105913,0 days 00:26:42.090370000,384,128.0,0.0002004247820387882,0.8217382254789222,29,0.0041222781921960525,COMPLETE
5,5,-0.005110685675656399,2020-08-07 15:52:32.106409,2020-08-07 16:14:10.549479,0 days 00:21:38.443070000,512,112.0,0.001888220993834695,0.8085685178950309,74,0.004165697511576033,COMPLETE
6,6,-0.012900643922062572,2020-08-07 16:14:10.549956,2020-08-07 16:39:18.968260,0 days 00:25:08.418304000,384,32.0,0.00036258210700527337,0.5815794236480076,51,0.000513012261081173,COMPLETE
7,7,-0.06442316916396476,2020-08-07 16:39:18.968747,2020-08-07 17:45:06.440510,0 days 01:05:47.471763000,128,128.0,0.00010808270524043063,0.9890105659126184,43,4.0350943624037786e-05,COMPLETE
8,8,-0.008485093043984822,2020-08-07 17:45:06.441006,2020-08-07 18:48:04.415629,0 days 01:02:57.974623000,128,80.0,0.00011353766043309284,0.6871746474102847,18,0.0017766924836047663,COMPLETE
9,9,-0.09479968886466308,2020-08-07 18:48:04.416119,2020-08-07 19:49:36.962393,0 days 01:01:32.546274000,128,96.0,0.0019883627537165254,0.5606374174922879,22,0.00010777728201806862,COMPLETE
10,10,-0.015364468061853008,2020-08-07 19:49:36.962883,2020-08-07 20:22:10.536263,0 days 00:32:33.573380000,256,48.0,0.0017365202024890575,0.5015771637533852,12,1.6203282171228428e-06,COMPLETE
11,11,-0.0918679322486587,2020-08-07 20:22:10.536750,2020-08-07 21:22:52.639707,0 days 01:00:42.102957000,128,112.0,0.008833721420532754,0.9569762509783895,31,0.0003257951934942262,COMPLETE
12,12,-0.10726452551715926,2020-08-07 21:22:52.640191,2020-08-07 21:56:12.699082,0 days 00:33:20.058891000,256,96.0,0.007968121593069987,0.9957635631257779,28,0.0003470820954280217,COMPLETE
13,13,-0.10532964990820183,2020-08-07 21:56:12.699554,2020-08-07 22:27:51.025870,0 days 00:31:38.326316000,256,64.0,0.0030481345469918603,0.6600065458758114,26,0.0003327698931061161,COMPLETE
14,14,-0.09904911770769555,2020-08-07 22:27:51.026331,2020-08-07 22:59:54.391112,0 days 00:32:03.364781000,256,64.0,0.0038173553555156904,0.6810116336673372,67,0.000724511608483367,COMPLETE
15,15,-0.09253383983525147,2020-08-07 22:59:54.391573,2020-08-07 23:31:35.229100,0 days 00:31:40.837527000,256,64.0,0.009732109294041356,0.6875424167699679,34,0.0003444190988630492,COMPLETE
16,16,-0.006480835501611609,2020-08-07 23:31:35.229564,2020-08-08 00:03:57.146480,0 days 00:32:21.916916000,256,48.0,0.0034069470966392235,0.9123313420953835,13,0.0018727916202269956,COMPLETE
17,17,-0.042371988935263796,2020-08-08 00:03:57.146933,2020-08-08 00:36:34.409793,0 days 00:32:37.262860000,256,16.0,0.000690800361723114,0.603866865430494,37,4.61868884356734e-05,COMPLETE
18,18,-0.09368645665139938,2020-08-08 00:36:34.410257,2020-08-08 00:59:57.615033,0 days 00:23:23.204776000,384,96.0,0.003206209464441063,0.7478286684598449,61,0.00016365793724615156,COMPLETE
19,19,-0.007831752534517044,2020-08-08 00:59:57.615491,2020-08-08 01:31:35.271644,0 days 00:31:37.656153000,256,80.0,0.00698330828769592,0.6255376746999162,24,0.0011757217737413457,COMPLETE
20,20,-0.007594906686217183,2020-08-08 01:31:35.272201,2020-08-08 01:54:04.751804,0 days 00:22:29.479603000,384,48.0,0.0012233973236827804,0.5211160831070265,10,1.1750098902574863e-05,COMPLETE
21,21,-0.04022614012246081,2020-08-08 01:54:04.752267,2020-08-08 02:27:27.090044,0 days 00:33:22.337777000,256,64.0,0.003886426394328114,0.6778366763197872,62,0.0008607779165462017,COMPLETE
22,22,-0.09277247959974885,2020-08-08 02:27:27.090502,2020-08-08 02:59:24.638873,0 days 00:31:57.548371000,256,64.0,0.00405700303876675,0.7299732125144763,70,0.00024284523811124293,COMPLETE
23,23,-0.028777230288881343,2020-08-08 02:59:24.639330,2020-08-08 03:32:20.118662,0 days 00:32:55.479332000,256,80.0,0.0026276164853411017,0.6425615077140752,58,0.0008796701247593151,COMPLETE
24,24,-0.10243966348411865,2020-08-08 03:32:20.119113,2020-08-08 04:04:22.947206,0 days 00:32:02.828093000,256,64.0,0.009592091576106975,0.7122516994611962,71,0.0006462866704129301,COMPLETE
25,25,-0.08664675526874252,2020-08-08 04:04:22.947659,2020-08-08 04:35:38.205139,0 days 00:31:15.257480000,256,96.0,0.009960894453522676,0.766982993814055,81,6.567946017821814e-05,COMPLETE
26,26,-0.09044568398416714,2020-08-08 04:35:38.205595,2020-08-08 04:57:44.410798,0 days 00:22:06.205203000,384,48.0,0.007459124259681343,0.9121019245416455,99,0.0001915147728342034,COMPLETE
27,27,-0.005110685675656399,2020-08-08 04:57:44.411254,2020-08-08 05:55:34.682476,0 days 00:57:50.271222000,128,32.0,0.005117905584659835,0.7204085331455403,41,0.0026914261428953555,COMPLETE
28,28,-0.12228070329849923,2020-08-08 05:55:34.682938,2020-08-08 06:27:02.214513,0 days 00:31:27.531575000,256,80.0,0.0023060429722653146,0.7787653593631738,78,0.00042501981636441146,COMPLETE
29,29,-0.14691875911419955,2020-08-08 06:27:02.214973,2020-08-08 06:59:14.030025,0 days 00:32:11.815052000,256,80.0,0.0013558806254863566,0.7771510142305653,51,3.3959101425798297e-06,COMPLETE
30,30,-0.01927423857605247,2020-08-08 06:59:14.030480,2020-08-08 07:22:30.359979,0 days 00:23:16.329499000,384,96.0,0.0004827637760162245,0.885256794396556,51,1.140370767896467e-06,COMPLETE
31,31,-0.06253786325224713,2020-08-08 07:22:30.360443,2020-08-08 07:54:06.367167,0 days 00:31:36.006724000,256,80.0,0.00125620009946452,0.7776231253593383,26,2.281660815109126e-06,COMPLETE
32,32,-0.1156055173618989,2020-08-08 07:54:06.367624,2020-08-08 08:24:31.642162,0 days 00:30:25.274538000,256,80.0,0.002649963313900214,0.786624061415014,18,0.0004044651729176523,COMPLETE
33,33,-0.11744560059758119,2020-08-08 08:24:31.642622,2020-08-08 09:20:56.069003,0 days 00:56:24.426381000,128,80.0,0.0014524610379043608,0.8618218402094339,17,3.271796865253455e-06,COMPLETE
34,34,-0.1066917408180866,2020-08-08 09:20:56.069467,2020-08-08 10:16:29.157074,0 days 00:55:33.087607000,128,80.0,0.0009484815431506547,0.8752476693964336,80,4.308650614556698e-06,COMPLETE
35,35,-0.08539787027056987,2020-08-08 10:16:29.157538,2020-08-08 11:06:11.544374,0 days 00:49:42.386836000,128,80.0,0.001419662532444305,0.8537568296101785,88,9.03993517864327e-06,COMPLETE
36,36,-0.1298969846084102,2020-08-08 11:06:11.544855,2020-08-08 11:51:04.687570,0 days 00:44:53.142715000,128,112.0,0.0022883320392025224,0.7916039327265632,18,4.10982752986828e-06,COMPLETE
37,37,-0.09968036402790806,2020-08-08 11:51:04.688021,2020-08-08 12:35:55.324563,0 days 00:44:50.636542000,128,112.0,0.0008047434174031442,0.8117216427426868,94,4.19069378658581e-06,COMPLETE
38,38,-0.09181092240950939,2020-08-08 12:35:55.325203,2020-08-08 13:20:42.303294,0 days 00:44:46.978091000,128,112.0,0.0022760505944680906,0.844597105802037,19,1.6323868950428406e-05,COMPLETE
39,39,-0.08244737661327625,2020-08-08 13:20:42.303744,2020-08-08 14:05:44.288015,0 days 00:45:01.984271000,128,128.0,0.0015839812352334648,0.7960373725454848,75,4.724696324685136e-06,COMPLETE
40,40,-0.009100828463133405,2020-08-08 14:05:44.288522,2020-08-08 14:20:03.469027,0 days 00:14:19.180505000,512,112.0,0.0005128667192787465,0.7484321070495881,46,1.0313779704538433e-06,COMPLETE
41,41,-0.14049515655209124,2020-08-08 14:20:03.469477,2020-08-08 15:04:55.140389,0 days 00:44:51.670912000,128,96.0,0.0023562494524659227,0.7848322082582979,15,2.855392069529736e-06,COMPLETE
42,42,-0.13541767951418843,2020-08-08 15:04:55.140840,2020-08-08 15:49:44.014501,0 days 00:44:48.873661000,128,96.0,0.0019960781192410906,0.8229107189511192,14,2.4707529033908672e-06,COMPLETE
43,43,-0.14400691488202888,2020-08-08 15:49:44.014951,2020-08-08 16:34:34.684177,0 days 00:44:50.669226000,128,96.0,0.0023466956122481703,0.827794446186329,10,6.048176624601746e-06,COMPLETE
44,44,-0.11751798188841489,2020-08-08 16:34:34.684809,2020-08-08 17:19:30.118801,0 days 00:44:55.433992000,128,112.0,0.001985611249860401,0.8336502292823458,10,2.126015242050504e-06,COMPLETE
45,45,-0.0877406126391549,2020-08-08 17:19:30.119249,2020-08-08 18:04:24.264666,0 days 00:44:54.145417000,128,96.0,0.004827727646549841,0.815819745532142,13,2.4732961698950895e-05,COMPLETE
46,46,-0.13854196639978072,2020-08-08 18:04:24.265115,2020-08-08 18:49:16.000605,0 days 00:44:51.735490000,128,128.0,0.002003788065536036,0.7561043022127623,14,6.979693480963437e-06,COMPLETE
47,47,-0.12649818451395123,2020-08-08 18:49:16.001052,2020-08-08 19:34:08.904951,0 days 00:44:52.903899000,128,128.0,0.0017374149253525525,0.7643615900979358,14,7.486589853088743e-06,COMPLETE
48,48,-0.13711736963935245,2020-08-08 19:34:08.905403,2020-08-08 20:19:00.682298,0 days 00:44:51.776895000,128,96.0,0.0011212278168051203,0.9073376165796179,32,1.4655345533947627e-06,COMPLETE
49,49,-0.11345501452828025,2020-08-08 20:19:00.682745,2020-08-08 21:03:47.381480,0 days 00:44:46.698735000,128,96.0,0.0011930780649831144,0.9654322376542598,33,1.3651077242635487e-06,COMPLETE
