,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_embedding_dim,params_lr,params_lr_decay_rate,params_warmup,params_weight_decay,state
0,0,-0.14555886008187657,2020-08-07 13:02:04.894706,2020-08-07 13:07:22.925088,0 days 00:05:18.030382000,256,112.0,0.00842560334188708,0.5194062533332608,58,5.953372816210193e-05,COMPLETE
1,1,-0.008829014547969513,2020-08-07 13:07:22.925582,2020-08-07 13:12:43.112844,0 days 00:05:20.187262000,256,80.0,0.005385695544718619,0.5137268647244804,46,0.002605280987348016,COMPLETE
2,2,-0.006129873089159849,2020-08-07 13:12:43.113312,2020-08-07 13:19:01.453269,0 days 00:06:18.339957000,384,96.0,0.00012949634034630547,0.9094046934766948,27,4.976534881483962e-06,COMPLETE
3,3,-0.007966233588357064,2020-08-07 13:19:01.453738,2020-08-07 13:25:37.910325,0 days 00:06:36.456587000,384,96.0,0.000569345149645946,0.7473057937821804,33,0.0013369240528717536,COMPLETE
4,4,-0.13408543253666827,2020-08-07 13:25:37.910789,2020-08-07 13:33:44.473574,0 days 00:08:06.562785000,128,96.0,0.0004314027152055496,0.9892118619720736,67,4.3918339911744105e-05,COMPLETE
5,5,-0.007784384057091728,2020-08-07 13:33:44.474040,2020-08-07 13:40:59.312737,0 days 00:07:14.838697000,256,48.0,0.00013134029196332008,0.8528644812874491,95,6.134406552466039e-06,COMPLETE
6,6,-0.13197137590497784,2020-08-07 13:40:59.313219,2020-08-07 13:48:38.387719,0 days 00:07:39.074500000,128,96.0,0.0006270003793137314,0.9854388488727532,71,1.3504178287045306e-06,COMPLETE
7,7,-0.009773952094421723,2020-08-07 13:48:38.388205,2020-08-07 13:55:20.346983,0 days 00:06:41.958778000,128,128.0,0.00019428610583888055,0.7094404630318163,24,0.0024433899016449144,COMPLETE
8,8,-0.00709343862815608,2020-08-07 13:55:20.347472,2020-08-07 14:00:48.411881,0 days 00:05:28.064409000,384,80.0,0.0003111291516099502,0.6237232097228016,13,0.0003386137655114247,COMPLETE
9,9,-0.015194102464161436,2020-08-07 14:00:48.412359,2020-08-07 14:06:19.466660,0 days 00:05:31.054301000,128,16.0,0.0010525604272129446,0.525067911709614,27,2.329820381891321e-05,COMPLETE
10,10,-0.14163393252522322,2020-08-07 14:06:19.467277,2020-08-07 14:11:31.878332,0 days 00:05:12.411055000,512,128.0,0.007800615874551947,0.6028218059170405,96,0.0001679361566398341,COMPLETE
11,11,-0.14096922056393282,2020-08-07 14:11:31.878856,2020-08-07 14:16:41.878853,0 days 00:05:09.999997000,512,128.0,0.00912513098107484,0.605528964611554,93,0.00022517019400380175,COMPLETE
12,12,-0.14868670525541194,2020-08-07 14:16:41.879337,2020-08-07 14:22:04.864615,0 days 00:05:22.985278000,512,128.0,0.0028873722792677804,0.5976283353700803,81,0.00010937539289176719,COMPLETE
13,13,-0.14130489080009223,2020-08-07 14:22:04.865101,2020-08-07 14:27:34.204362,0 days 00:05:29.339261000,256,112.0,0.0024838094024841064,0.5223539400625284,77,3.546759103147509e-05,COMPLETE
