,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_embedding_dim,params_lr,params_lr_decay_rate,params_warmup,params_weight_decay,state
0,0,-0.005110685675656399,2020-08-07 13:01:51.954950,2020-08-07 14:13:40.167042,0 days 01:11:48.212092000,0.00020151001892486245,128,48.0,0.006641433594043129,0.9886392519884224,66,0.0079550583993721,COMPLETE
1,1,-0.009910185109026876,2020-08-07 14:13:40.167601,2020-08-07 14:36:23.686342,0 days 00:22:43.518741000,0.0002631492119686273,512,32.0,0.00010732306245640027,0.709484108252236,96,1.4804862381035713e-06,COMPLETE
2,2,-0.06315859702240723,2020-08-07 14:36:23.686868,2020-08-07 15:38:34.104412,0 days 01:02:10.417544000,4.872302628844397e-06,128,16.0,0.006186243823706561,0.7221415226950699,25,0.00014829453105888313,COMPLETE
3,3,-0.16420118459608293,2020-08-07 15:38:34.104942,2020-08-07 16:02:23.653222,0 days 00:23:49.548280000,0.0005875332638029261,512,112.0,0.0008512197645506802,0.9951833844727853,51,3.499882503967017e-06,COMPLETE
4,4,-0.014116545943868276,2020-08-07 16:02:23.653739,2020-08-07 16:25:35.526829,0 days 00:23:11.873090000,0.006247081534524653,512,16.0,0.0006687089096491988,0.8939664938655412,16,0.0014334003378127587,COMPLETE
5,5,-0.048396623041220464,2020-08-07 16:25:35.527349,2020-08-07 16:48:01.654805,0 days 00:22:26.127456000,1.835094498935175e-05,512,16.0,0.004810550034476681,0.9036452459773514,10,0.0002221530536789001,COMPLETE
6,6,-0.12557851715950066,2020-08-07 16:48:01.655326,2020-08-07 17:10:41.075206,0 days 00:22:39.419880000,0.00230819777720933,512,80.0,0.00236828269615152,0.7223472761439489,50,1.1661251640273833e-05,COMPLETE
7,7,-0.007514603087201439,2020-08-07 17:10:41.075729,2020-08-07 17:33:10.484995,0 days 00:22:29.409266000,3.717121147854621e-05,512,16.0,0.00015987093307902702,0.506907349291026,33,0.0016841943424955516,COMPLETE
8,8,-0.005110685675656399,2020-08-07 17:33:10.485525,2020-08-07 18:25:23.597159,0 days 00:52:13.111634000,1.8258091978559813e-05,128,80.0,0.001544161136079085,0.7143321128599092,91,1.890355510042131e-06,COMPLETE
9,9,-0.005110685675656399,2020-08-07 18:25:23.597681,2020-08-07 19:17:23.738009,0 days 00:52:00.140328000,5.189906255337364e-05,128,16.0,0.0005870630429605648,0.9959276145612307,92,2.5993460073420384e-05,COMPLETE
