,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_embedding_dim,params_layer_size,params_lr,params_lr_decay_rate,params_weight_decay,state
0,0,-0.0016532687484970285,2020-07-18 13:21:11.801126,2020-07-18 16:02:08.061059,0 days 02:40:56.259933000,128.0,128.0,2,0.000765591234541131,0.6278284123476036,0.00013494238301165254,COMPLETE
1,1,-0.0016532687484970285,2020-07-18 16:02:08.063038,2020-07-18 16:53:23.665809,0 days 00:51:15.602771000,384.0,64.0,2,0.00016227831757840546,0.9155997812053832,0.005960320666226425,COMPLETE
2,2,-0.0016532687484970285,2020-07-18 16:53:23.667418,2020-07-18 17:36:23.255475,0 days 00:42:59.588057000,512.0,128.0,3,0.005056619321670022,0.7877470800836439,0.00036674785217367706,COMPLETE
3,3,-0.0016532687484970285,2020-07-18 17:36:23.267488,2020-07-18 19:53:21.428803,0 days 02:16:58.161315000,128.0,16.0,2,0.0001237519747885272,0.5776150051793811,0.00011226715916262693,COMPLETE
4,4,-0.0016532687484970285,2020-07-18 19:53:21.429827,2020-07-18 20:29:23.395878,0 days 00:36:01.966051000,512.0,80.0,3,0.0081953670190876,0.5224332868919679,0.009002839207668976,COMPLETE
5,5,-0.1738242467965234,2020-07-18 20:29:23.397981,2020-07-18 21:04:45.369857,0 days 00:35:21.971876000,512.0,32.0,2,0.00014575594082325916,0.5457683331584826,1.5352531595269612e-06,COMPLETE
6,6,-0.1452257033907039,2020-07-18 21:04:45.371472,2020-07-18 21:39:53.224603,0 days 00:35:07.853131000,512.0,96.0,2,0.0008902357732571581,0.5881512819432702,8.58100391755882e-06,COMPLETE
7,7,-0.2265124188395341,2020-07-18 21:39:53.226066,2020-07-18 23:57:45.214269,0 days 02:17:51.988203000,128.0,96.0,3,0.009258055309534722,0.7921534394479586,2.151849945447445e-06,COMPLETE
8,8,-0.0016532687484970285,2020-07-18 23:57:45.215879,2020-07-19 00:39:45.797153,0 days 00:42:00.581274000,384.0,112.0,3,0.004802188895731255,0.560040216430712,0.0016896670171317534,COMPLETE
9,9,-0.002112748634442956,2020-07-19 00:39:45.811283,2020-07-19 01:13:56.354485,0 days 00:34:10.543202000,512.0,128.0,2,0.0001309789877422255,0.7175042288144067,0.0028067629917999676,COMPLETE
10,10,-0.19292186265416175,2020-07-19 01:13:56.355998,2020-07-19 02:11:14.653084,0 days 00:57:18.297086000,256.0,48.0,1,0.0023591462666508,0.9963021028146595,9.518915206877173e-06,COMPLETE
11,11,-0.23186643306193952,2020-07-19 02:11:14.654611,2020-07-19 03:10:18.448542,0 days 00:59:03.793931000,256.0,48.0,1,0.0021909522442574852,0.9910556189656435,8.189126994295866e-06,COMPLETE
12,12,-0.36071833453571117,2020-07-19 03:10:18.449870,2020-07-19 04:09:47.284373,0 days 00:59:28.834503000,256.0,64.0,1,0.001992814825138478,0.8641225170677803,1.4274148510794278e-06,COMPLETE
13,13,-0.24355225188086158,2020-07-19 04:09:47.285634,2020-07-19 05:05:36.955259,0 days 00:55:49.669625000,256.0,48.0,1,0.0020239315130336395,0.9142057049829431,1.1458811620588089e-05,COMPLETE
14,14,-0.0016532687484970285,2020-07-19 05:05:36.956474,2020-07-19 06:01:13.958384,0 days 00:55:37.001910000,256.0,64.0,1,0.0004463221721021655,0.870100651578847,3.00183429596427e-05,COMPLETE
15,15,-0.2629294817999341,2020-07-19 06:01:13.959859,2020-07-19 06:56:53.096917,0 days 00:55:39.137058000,256.0,16.0,1,0.0017920948772623855,0.9019091682434296,1.068443120024422e-06,COMPLETE
16,16,-0.32319477775651156,2020-07-19 06:56:53.098388,2020-07-19 07:35:15.457742,0 days 00:38:22.359354000,384.0,16.0,1,0.000428975858002717,0.8562009737228973,1.0515307219209723e-06,COMPLETE
17,17,-0.3072705177092995,2020-07-19 07:35:15.459287,2020-07-19 08:11:51.355479,0 days 00:36:35.896192000,384.0,32.0,1,0.00033563879562638745,0.8468622869097264,3.047859820578797e-06,COMPLETE
18,18,-0.37792392387234214,2020-07-19 08:11:51.357055,2020-07-19 08:49:43.929440,0 days 00:37:52.572385000,384.0,80.0,1,0.00031146275138191397,0.7019595220782133,1.0077207919846746e-06,COMPLETE
19,19,-0.0016532687484970285,2020-07-19 08:49:43.931195,2020-07-19 09:25:13.087781,0 days 00:35:29.156586000,384.0,80.0,1,0.00027921678726139663,0.7029259260141703,3.222825136527119e-05,COMPLETE
