,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_embedding_dim,params_layer_size,params_lr,params_lr_decay_rate,params_weight_decay,state
0,0,-0.017042388996426225,2020-09-03 10:33:31.223828,2020-09-03 10:36:03.024924,0 days 00:02:31.801096000,256.0,64.0,1,0.000340379782989121,0.7636366888989984,5.329919236354413e-05,COMPLETE
1,1,-0.09333028092060829,2020-09-03 10:36:03.025409,2020-09-03 10:38:35.311739,0 days 00:02:32.286330000,256.0,96.0,3,0.0003325871214494721,0.9019887405640259,1.9554284275813008e-06,COMPLETE
2,2,-0.0346780468431576,2020-09-03 10:38:35.312196,2020-09-03 10:40:45.000932,0 days 00:02:09.688736000,256.0,128.0,1,0.0028879384895412617,0.9064524973666356,5.5032404792382405e-05,COMPLETE
3,3,-0.002685124738380315,2020-09-03 10:40:45.001401,2020-09-03 10:43:24.110732,0 days 00:02:39.109331000,128.0,112.0,1,0.0002461999811295821,0.9781764700923695,0.005034425342827399,COMPLETE
4,4,-0.005057796978788448,2020-09-03 10:43:24.111182,2020-09-03 10:46:01.029483,0 days 00:02:36.918301000,128.0,112.0,2,0.0001609250245556407,0.951970103253756,0.00012804404869032283,COMPLETE
5,5,-0.00183319961934649,2020-09-03 10:46:01.029952,2020-09-03 10:48:04.370192,0 days 00:02:03.340240000,384.0,64.0,3,0.0001744679233554049,0.7560785342937546,0.0012697092125024591,COMPLETE
6,6,-0.005822927960208443,2020-09-03 10:48:04.370671,2020-09-03 10:49:47.646902,0 days 00:01:43.276231000,128.0,48.0,1,0.0005072060597488096,0.8880256892726186,0.00033144212751448084,COMPLETE
7,7,-0.01582593842659385,2020-09-03 10:49:47.647443,2020-09-03 10:51:38.719287,0 days 00:01:51.071844000,384.0,48.0,2,0.00011084779925353666,0.8812578186893736,2.6443210850753006e-05,COMPLETE
8,8,-0.006956861699831707,2020-09-03 10:51:38.719729,2020-09-03 10:53:15.672700,0 days 00:01:36.952971000,384.0,48.0,1,0.0007900181071113831,0.9867092494452354,0.000186430630839196,COMPLETE
9,9,-0.014172116381266728,2020-09-03 10:53:15.673149,2020-09-03 10:55:28.393265,0 days 00:02:12.720116000,128.0,64.0,3,0.00014031284900067192,0.5591856337674377,8.320481685702798e-05,COMPLETE
10,10,-0.09218565608020368,2020-09-03 10:55:28.393715,2020-09-03 10:57:12.226775,0 days 00:01:43.833060000,512.0,112.0,3,0.002141553403995782,0.5897171763992668,1.4861038168340737e-06,COMPLETE
11,11,-0.11633032104237055,2020-09-03 10:57:12.227221,2020-09-03 10:58:57.217151,0 days 00:01:44.989930000,512.0,96.0,3,0.002463913379791784,0.5089628004263211,1.050679301981134e-06,COMPLETE
12,12,-0.12388629664964655,2020-09-03 10:58:57.217600,2020-09-03 11:00:43.394118,0 days 00:01:46.176518000,512.0,96.0,3,0.008296637952297523,0.6571415453331513,1.0415849798122368e-06,COMPLETE
13,13,-0.09287794661957019,2020-09-03 11:00:43.394568,2020-09-03 11:02:19.749449,0 days 00:01:36.354881000,512.0,16.0,2,0.008296524537773735,0.6427355816604889,6.906218164106355e-06,COMPLETE
14,14,-0.11358205844264227,2020-09-03 11:02:19.749896,2020-09-03 11:04:05.474286,0 days 00:01:45.724390000,512.0,96.0,3,0.008981361976391773,0.5059595573652673,6.125376879441001e-06,COMPLETE
