,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_embedding_dim,params_layer_size,params_lr,params_lr_decay_rate,params_weight_decay,state
0,0,-0.08836016186513002,2020-08-27 05:13:14.888941,2020-08-27 05:17:56.809510,0 days 00:04:41.920569000,384.0,48.0,3,0.0027429852374827577,0.606397797938618,1.6796213348193842e-06,COMPLETE
1,1,-0.08192422373797992,2020-08-27 05:17:56.810034,2020-08-27 05:29:52.301860,0 days 00:11:55.491826000,128.0,112.0,1,0.0024148326960731947,0.7569420766577968,8.647036329104091e-06,COMPLETE
2,2,-0.007895805401909508,2020-08-27 05:29:52.302350,2020-08-27 05:36:43.975601,0 days 00:06:51.673251000,256.0,16.0,3,0.001984730477455233,0.834078594926857,0.00013421936150775468,COMPLETE
3,3,-0.09224917569408093,2020-08-27 05:36:43.976103,2020-08-27 05:48:37.387561,0 days 00:11:53.411458000,128.0,96.0,2,0.000576598997492601,0.8203685430462029,1.1707703074889363e-06,COMPLETE
4,4,-0.005110685675656399,2020-08-27 05:48:37.388055,2020-08-27 06:01:57.639332,0 days 00:13:20.251277000,128.0,16.0,3,0.004933447392772151,0.8067769328869829,0.0013435535560145668,COMPLETE
5,5,-0.007753269028428166,2020-08-27 06:01:57.639826,2020-08-27 06:05:36.105042,0 days 00:03:38.465216000,512.0,32.0,2,0.00015541571515463216,0.9864957143353327,0.0006072169555675237,COMPLETE
6,6,-0.005110685675656399,2020-08-27 06:05:36.105531,2020-08-27 06:10:13.918345,0 days 00:04:37.812814000,384.0,96.0,2,0.009266975787877073,0.8176571564393561,0.003314710091797722,COMPLETE
7,7,-0.07385054047987936,2020-08-27 06:10:13.918835,2020-08-27 06:14:34.623335,0 days 00:04:20.704500000,384.0,80.0,1,0.0003033719283349834,0.8955276076660783,1.1013986573438712e-05,COMPLETE
8,8,-0.0064947262624388755,2020-08-27 06:14:34.623829,2020-08-27 06:18:57.892807,0 days 00:04:23.268978000,384.0,48.0,1,0.0070065556292842335,0.858521609990099,0.0006262630730679818,COMPLETE
9,9,-0.005110685675656399,2020-08-27 06:18:57.893296,2020-08-27 06:23:36.174127,0 days 00:04:38.280831000,384.0,32.0,2,0.002791912744387218,0.8231453531227328,0.009475377174651231,COMPLETE
10,10,-0.09671887298740992,2020-08-27 06:23:36.174609,2020-08-27 06:40:40.517635,0 days 00:17:04.343026000,128.0,128.0,2,0.0005255955441017354,0.6318531718953109,1.2962001589204935e-06,COMPLETE
11,11,-0.095397803854281,2020-08-27 06:40:40.518129,2020-08-27 06:56:26.632945,0 days 00:15:46.114816000,128.0,128.0,2,0.0005881009478959328,0.6173373091979493,1.1699325547199369e-06,COMPLETE
12,12,-0.06549994566943207,2020-08-27 06:56:26.633565,2020-08-27 07:04:08.805996,0 days 00:07:42.172431000,256.0,128.0,2,0.0007462232944760105,0.5946507861314801,6.288049291573679e-06,COMPLETE
13,13,-0.007894786611695572,2020-08-27 07:04:08.806525,2020-08-27 07:20:38.926584,0 days 00:16:30.120059000,128.0,128.0,2,0.00032957178636664115,0.5016959416352149,4.418625751276789e-05,COMPLETE
14,14,-0.10374200206973228,2020-08-27 07:20:38.927085,2020-08-27 07:29:18.694892,0 days 00:08:39.767807000,256.0,128.0,3,0.0012508573139796359,0.6459145313306218,1.1243040935817546e-06,COMPLETE
15,15,-0.08473266187563666,2020-08-27 07:29:18.695399,2020-08-27 07:37:34.016082,0 days 00:08:15.320683000,256.0,112.0,3,0.0010866546470945147,0.6800463803029895,3.322688153666963e-06,COMPLETE
16,16,-0.0064947262624388755,2020-08-27 07:37:34.016581,2020-08-27 07:45:50.565239,0 days 00:08:16.548658000,256.0,112.0,3,0.0013697647113006188,0.5428398031901915,3.9692579734701683e-05,COMPLETE
17,17,-0.0078947862477892,2020-08-27 07:45:50.565748,2020-08-27 07:54:26.345822,0 days 00:08:35.780074000,256.0,80.0,3,0.00027879433920127375,0.6858374452005204,2.0815823067912897e-05,COMPLETE
