h_entity,t_entity,relation
5387,513,0
2158,44,0
2270,490,0
2186,845,0
4243,514,0
4210,736,0
4008,91,0
4252,802,0
1794,649,0
2554,1395,0
2834,1488,0
4002,583,0
4841,583,0
3836,635,0
4496,569,0
2484,583,0
3024,1536,0
1963,1489,0
4971,583,0
3656,858,0
4933,858,0
3988,1338,0
2662,484,0
5281,373,0
4139,481,0
3633,396,0
2295,481,0
4332,2,0
4186,330,0
5270,1190,0
2449,480,0
5213,1409,0
4880,507,0
3608,1547,0
1594,227,0
1675,1300,0
2600,1328,0
3958,336,0
4507,1241,0
4112,481,0
3734,482,0
1896,465,0
4441,1330,0
4474,481,0
5291,1435,0
3506,4,0
2930,1338,0
3317,982,0
2008,655,0
2456,1489,0
4711,55,0
3984,1391,0
2215,570,0
3684,762,0
1676,269,0
1887,866,0
5381,583,0
4437,570,0
3076,500,0
3098,1358,0
3558,377,0
5354,299,0
4623,549,0
2482,1475,0
3414,1204,0
2744,1023,0
4230,1102,0
2868,365,0
1902,478,0
2043,727,0
2682,649,0
5157,1435,0
3898,552,0
2058,586,0
3795,1514,0
4978,570,0
2085,1063,0
2846,47,0
5047,265,0
3169,36,0
2348,17,0
1863,93,0
4229,447,0
3057,730,0
3864,1106,0
2666,930,0
1909,1387,0
1618,870,0
3189,727,0
2522,570,0
3404,396,0
3096,1008,0
2723,549,0
4500,961,0
3660,1338,0
2076,1366,0
3238,757,0
4730,879,0
4195,1204,0
2762,1517,0
3715,22,0
2925,271,0
3166,1486,0
3238,757,0
5206,706,0
2110,330,0
5248,1240,0
3400,755,0
5138,1032,0
4187,526,0
1964,545,0
1669,249,0
5272,1338,0
4420,643,0
2237,55,0
2662,1065,0
2806,489,0
3206,1153,0
4094,1338,0
2444,373,0
4534,1094,0
1821,719,0
2162,1463,0
5305,442,0
3637,583,0
3113,481,0
5039,549,0
2128,562,0
5229,906,0
2611,205,0
4815,570,0
1895,411,0
2572,953,0
3367,773,0
3627,1525,0
2977,1079,0
2155,416,0
3729,1489,0
2391,473,0
4057,261,0
4725,583,0
3464,726,0
5090,1423,0
3420,801,0
2509,821,0
2401,1232,0
4415,1257,0
5371,1489,0
3161,1191,0
4729,202,0
3937,271,0
1749,391,0
4580,906,0
1632,345,0
2220,94,0
2364,570,0
3970,987,0
3231,1397,0
1800,1435,0
4228,243,0
4922,110,0
2194,1269,0
5002,844,0
3455,282,0
5133,163,0
2797,247,0
3501,785,0
5329,361,0
5381,481,0
5321,853,0
1873,136,0
2480,374,0
1911,1349,0
5210,1537,0
3042,942,0
2092,1338,0
3851,820,0
3696,944,0
3576,481,0
1912,1238,0
5094,211,0
3987,678,0
3322,613,0
4594,624,0
2570,755,0
2903,1433,0
3556,1570,0
2533,1306,0
3455,156,0
3478,271,0
3652,747,0
3200,1479,0
4954,727,0
1876,481,0
3994,1561,0
3937,710,0
5004,904,0
3456,858,0
4432,853,0
2751,610,0
2167,260,0
4215,475,0
3197,479,0
4432,583,0
2268,481,0
3183,853,0
2814,295,0
1913,239,0
2410,1145,0
4999,48,0
1794,1493,0
3960,890,0
4452,1559,0
5268,36,0
5206,1349,0
4580,400,0
3833,1163,0
3212,853,0
5369,1489,0
4057,1493,0
2299,943,0
3379,34,0
4173,170,0
5047,9,0
3272,858,0
2741,718,0
2934,93,0
5255,205,0
3094,47,0
1965,443,0
4849,1490,0
2086,1143,0
5326,583,0
4623,755,0
1675,1238,0
3053,894,0
2546,872,0
2695,1211,0
3609,1561,0
5169,57,0
1655,1435,0
2182,445,0
4507,757,0
2069,755,0
2097,330,0
2114,1376,0
4969,489,0
