,number,value,datetime_start,datetime_complete,duration,params_alpha,state
0,0,-0.09374714129300477,2020-08-19 14:58:25.854867,2020-08-19 15:08:47.913087,0 days 00:10:22.058220000,0.9518333781199448,COMPLETE
1,1,-0.09407695002914473,2020-08-19 15:08:47.913460,2020-08-19 15:17:19.669931,0 days 00:08:31.756471000,0.29377311262149586,COMPLETE
2,2,-0.09406005917315854,2020-08-19 15:17:19.670253,2020-08-19 15:25:17.181706,0 days 00:07:57.511453000,0.04418899676722099,COMPLETE
3,3,-0.09407972690029417,2020-08-19 15:25:17.182022,2020-08-19 15:33:40.813747,0 days 00:08:23.631725000,0.2650640332658657,COMPLETE
4,4,-0.09407387493910122,2020-08-19 15:33:40.814070,2020-08-19 15:42:22.768248,0 days 00:08:41.954178000,0.20211521246755781,COMPLETE
5,5,-0.09407939297062477,2020-08-19 15:42:22.768611,2020-08-19 15:50:26.319835,0 days 00:08:03.551224000,0.31189339866515053,COMPLETE
6,6,-0.09413795526998714,2020-08-19 15:50:26.320145,2020-08-19 15:59:16.596580,0 days 00:08:50.276435000,0.6825172232494928,COMPLETE
7,7,-0.09407089487809651,2020-08-19 15:59:16.596896,2020-08-19 16:35:13.619703,0 days 00:35:57.022807000,0.10946705526723,COMPLETE
8,8,-0.09409152762822437,2020-08-19 16:35:13.645233,2020-08-19 17:53:49.102394,0 days 01:18:35.457161000,0.47477024168977566,COMPLETE
9,9,-0.09406071167958469,2020-08-19 17:53:49.102716,2020-08-19 18:02:12.322144,0 days 00:08:23.219428000,0.03724794823403321,COMPLETE
