,number,value,datetime_start,datetime_complete,duration,params_alpha,state
0,0,-0.1467979644613531,2020-07-04 17:01:33.314001,2020-07-04 17:12:08.073552,0 days 00:10:34.759551000,0.030872309473542248,COMPLETE
1,1,-0.14020407472100876,2020-07-04 17:12:08.084119,2020-07-04 17:23:01.114929,0 days 00:10:53.030810000,0.3456070199729967,COMPLETE
2,2,-0.14020407472100876,2020-07-04 17:23:01.125331,2020-07-04 17:33:38.156781,0 days 00:10:37.031450000,0.3643424017968895,COMPLETE
3,3,-0.12642436583658934,2020-07-04 17:33:38.167698,2020-07-04 17:44:32.121182,0 days 00:10:53.953484000,0.48552198208655606,COMPLETE
4,4,-0.10303468532177196,2020-07-04 17:44:32.131221,2020-07-04 17:55:20.920035,0 days 00:10:48.788814000,0.5413877085877248,COMPLETE
5,5,-0.06699829738453084,2020-07-04 17:55:20.933344,2020-07-04 18:06:12.287752,0 days 00:10:51.354408000,0.6644803143296887,COMPLETE
6,6,-0.018151265023270503,2020-07-04 18:06:12.295285,2020-07-04 18:17:38.119657,0 days 00:11:25.824372000,0.834960907105007,COMPLETE
7,7,-0.06699829738453084,2020-07-04 18:17:38.126513,2020-07-04 18:28:25.994809,0 days 00:10:47.868296000,0.6734461747311459,COMPLETE
8,8,-0.14020407472100876,2020-07-04 18:28:26.002348,2020-07-04 18:39:09.993031,0 days 00:10:43.990683000,0.12444306704299513,COMPLETE
9,9,-0.14020407472100876,2020-07-04 18:39:09.999705,2020-07-04 18:49:48.715430,0 days 00:10:38.715725000,0.44026871804882484,COMPLETE
