h_entity,t_entity,relation
5325,538,0
1454,1802,0
1286,5075,0
4883,4879,0
2040,2656,0
3620,2554,0
295,2180,0
4329,1113,0
1965,154,0
3627,2498,0
4067,218,0
697,3701,0
4522,1315,0
3483,4357,0
85,4371,0
1064,2127,0
128,1230,0
915,44,0
5229,5397,0
2135,3855,0
3753,595,0
3839,1118,0
2424,5125,0
3725,3297,0
5346,1003,0
4397,1655,0
107,403,0
4219,3282,0
3298,3096,0
4483,4033,0
382,1451,0
4028,2680,0
1989,3178,0
4982,5174,0
1435,1022,0
4980,4029,0
3657,4757,0
4676,1430,0
5355,1599,0
5065,3986,0
2671,727,0
774,2663,0
3665,5244,0
213,3784,0
4773,4838,0
1634,2088,0
3496,2756,0
1994,4149,0
5154,3106,0
2954,1308,0
4570,2218,0
3603,2542,0
1257,4094,0
2144,3925,0
5235,3625,0
335,2972,0
321,2392,0
2006,460,0
2014,1014,0
4305,1068,0
3038,4984,0
4711,1485,0
3805,846,0
2571,4263,0
107,1209,0
1629,1439,0
5402,1443,0
4527,2724,0
1519,2126,0
3064,2617,0
5199,5126,0
5280,3483,0
4651,5200,0
4457,2128,0
4674,3910,0
378,4335,0
875,3310,0
2450,4706,0
1850,3861,0
1935,3263,0
3205,2516,0
3929,1149,0
3955,4386,0
3,3075,0
4998,4729,0
2423,2281,0
430,4896,0
4990,4459,0
3725,5123,0
1265,2556,0
1069,544,0
3087,4751,0
4402,3534,0
4277,1516,0
2247,1634,0
3003,868,0
2877,5318,0
1301,4369,0
3800,4631,0
1924,754,0
4122,2146,0
1853,3884,0
3906,720,0
471,4626,0
744,4383,0
4429,2013,0
4119,907,0
333,5042,0
2519,3247,0
1192,3755,0
2075,2107,0
1641,4477,0
1275,1722,0
5109,4181,0
3771,748,0
3714,4689,0
2479,3376,0
1694,3973,0
3048,5400,0
162,2956,0
1630,1464,0
3299,4473,0
1506,3241,0
5314,2842,0
2503,5394,0
694,3902,0
5201,1487,0
5093,797,0
1038,4593,0
4563,4918,0
2067,726,0
1810,2133,0
3380,869,0
4717,3451,0
491,2147,0
4666,3648,0
627,604,0
1085,4734,0
10,4769,0
786,2799,0
1050,2417,0
3019,2578,0
998,108,0
1960,4977,0
1245,2976,0
5100,1941,0
1199,168,0
364,12,0
4177,332,0
4011,2194,0
702,422,0
4189,5072,0
2738,705,0
4952,2084,0
4999,2358,0
4527,5303,0
1780,1390,0
1130,1218,0
4395,3375,0
549,3570,0
5153,2526,0
1991,2731,0
4610,2775,0
2885,2193,0
2024,4298,0
2046,943,0
1924,914,0
2700,4889,0
4665,754,0
5322,2075,0
3329,2782,0
4892,3582,0
1422,4555,0
2316,5126,0
2445,4123,0
4381,545,0
3,97,0
1806,4921,0
4604,3843,0
4323,4104,0
3351,3044,0
2473,336,0
2618,1326,0
540,4863,0
1303,1358,0
397,3331,0
639,2605,0
762,842,0
2426,3260,0
4553,2559,0
177,3923,0
3760,999,0
4298,4524,0
1280,3681,0
4993,3837,0
1692,3322,0
3836,1341,0
5,2368,0
2397,2172,0
4388,245,0
1248,21,0
2195,1409,0
2068,2584,0
2010,85,0
221,33,0
3865,5359,0
2565,4214,0
1713,4599,0
5051,1829,0
3525,4651,0
