h_entity,t_entity,relation
1862,199,0
4931,1206,0
2461,1398,0
2882,638,0
2624,1261,0
3843,1060,0
3281,1254,0
1922,1528,0
4583,480,0
3513,869,0
1637,276,0
5161,655,0
3463,802,0
2585,182,0
3648,482,0
2295,294,0
2628,1552,0
5322,581,0
3214,387,0
2681,1006,0
4038,1335,0
5177,1066,0
2122,491,0
2691,140,0
2081,1210,0
4441,162,0
1644,72,0
2551,926,0
4818,257,0
1800,496,0
4673,1399,0
4180,1398,0
3456,796,0
4680,552,0
5140,825,0
2473,940,0
5230,1048,0
2315,1277,0
1800,90,0
3973,424,0
2848,1258,0
2503,822,0
2688,471,0
3954,1413,0
4001,1537,0
2477,926,0
3290,626,0
2000,1164,0
4804,220,0
1949,223,0
4083,703,0
4199,955,0
1796,219,0
5181,644,0
1717,30,0
1859,784,0
2851,833,0
2084,779,0
2563,15,0
3885,662,0
3265,802,0
3128,554,0
4813,626,0
4328,294,0
2815,597,0
5034,43,0
1987,613,0
3415,899,0
2027,1108,0
2206,1231,0
2016,620,0
4951,360,0
2740,965,0
3727,194,0
3361,808,0
3436,896,0
1740,802,0
3461,629,0
4940,1094,0
3792,896,0
5347,1322,0
4448,162,0
3731,420,0
3391,965,0
5280,294,0
3423,848,0
2667,797,0
1757,1398,0
4286,108,0
1705,1266,0
2801,1048,0
2030,561,0
3246,1570,0
3189,1049,0
4631,759,0
1762,1488,0
2135,1216,0
4957,1108,0
3464,170,0
5177,369,0
2281,1400,0
3545,162,0
2947,819,0
1614,1254,0
4143,1295,0
2213,759,0
3996,113,0
2370,641,0
1672,180,0
1754,1474,0
3977,802,0
1819,1098,0
2918,141,0
3686,343,0
2340,808,0
4696,72,0
3423,376,0
3649,808,0
3538,1131,0
3265,802,0
5028,654,0
2798,332,0
2757,369,0
2136,39,0
4332,204,0
3319,1277,0
5164,1066,0
3782,808,0
4292,162,0
4509,1066,0
4539,1066,0
2000,132,0
2664,833,0
2831,618,0
2875,802,0
4815,162,0
5345,255,0
4658,561,0
4032,509,0
2875,802,0
2664,72,0
5192,902,0
2691,357,0
2168,597,0
2811,72,0
4510,1174,0
2246,1555,0
3155,642,0
4303,573,0
2393,1541,0
3325,369,0
2311,825,0
3607,626,0
2698,924,0
4599,1038,0
2888,1166,0
3673,819,0
3707,1138,0
4461,1285,0
1684,1218,0
4907,184,0
3086,597,0
4124,808,0
4208,515,0
2586,1014,0
2250,965,0
2579,408,0
3230,261,0
1691,572,0
1914,314,0
3848,255,0
3148,837,0
4420,157,0
2665,770,0
5025,1398,0
4344,908,0
4639,1413,0
3648,1565,0
4978,597,0
2045,44,0
1951,387,0
5381,311,0
3076,843,0
2029,684,0
1829,1319,0
3131,652,0
4754,162,0
2135,597,0
3424,802,0
2884,255,0
5332,369,0
4004,1542,0
3276,162,0
1869,1352,0
3220,1348,0
2473,791,0
3066,405,0
4334,1016,0
2678,941,0
4518,597,0
1953,369,0
2406,738,0
3441,369,0
2774,1135,0
2370,1306,0
2273,963,0
2816,406,0
2617,598,0
4303,837,0
2835,1105,0
4424,67,0
1990,1141,0
3424,802,0
4715,1432,0
4807,989,0
4547,62,0
5078,382,0
1942,570,0
3750,294,0
5220,75,0
3980,181,0
4996,421,0
3807,702,0
2973,1258,0
2093,1351,0
1784,1533,0
3059,666,0
2144,1125,0
4096,1191,0
1787,344,0
2609,808,0
1860,138,0
2153,1128,0
5148,1083,0
2575,1066,0
2134,424,0
4895,255,0
3230,1044,0
2198,205,0
4167,1025,0
2315,844,0
2458,254,0
2153,990,0
3150,837,0
3153,592,0
3621,1049,0
2352,225,0
4421,1352,0
4951,1546,0
3197,525,0
2294,1379,0
3436,16,0
2973,837,0
1981,595,0
4333,1223,0
2928,420,0
5291,305,0
5363,1049,0
3411,1476,0
4129,1420,0
3265,802,0
3487,1289,0
4946,923,0
2902,1464,0
2425,1234,0
4620,1437,0
1870,169,0
5004,1066,0
2248,924,0
3961,838,0
4636,1150,0
4259,459,0
4622,469,0
2345,784,0
2858,688,0
4550,569,0
3250,1058,0
2338,1282,0
4461,1285,0
3701,626,0
3395,808,0
5328,965,0
3971,597,0
4027,1162,0
2994,559,0
2942,509,0
2540,780,0
3668,1174,0
2482,774,0
3298,476,0
4280,527,0
4342,294,0
2597,162,0
5361,597,0
5037,863,0
4696,1066,0
2150,1249,0
3100,429,0
5041,1094,0
2606,1060,0
1612,1060,0
2614,1555,0
3059,859,0
4467,700,0
3959,797,0
3660,545,0
4000,833,0
4776,537,0
2542,1480,0
4194,826,0
5041,76,0
1689,966,0
1744,911,0
1957,1267,0
2491,294,0
3987,965,0
4377,588,0
3955,643,0
1582,1554,0
4297,1381,0
4739,1094,0
3832,1549,0
4310,1096,0
1668,688,0
