h_entity,t_entity,relation
1607,2017,0
554,1734,0
1990,986,0
4322,4197,0
2553,3961,0
1447,2180,0
1105,3561,0
5237,2176,0
5040,3655,0
5082,932,0
3001,318,0
1394,2553,0
2431,4712,0
4734,174,0
341,1071,0
4834,1357,0
3298,2468,0
3315,2832,0
1606,1681,0
3922,4468,0
4739,623,0
401,2477,0
2463,828,0
325,503,0
989,4011,0
3993,3287,0
206,498,0
765,1684,0
5389,3906,0
5307,5401,0
885,5150,0
5040,1836,0
4457,844,0
1382,165,0
210,295,0
4753,1914,0
898,2940,0
5270,2989,0
4183,1606,0
2717,498,0
3012,769,0
4321,3513,0
3320,4786,0
4906,770,0
3484,3894,0
1316,4731,0
3592,1454,0
4983,4969,0
2783,1666,0
1327,4584,0
3518,900,0
666,2094,0
4934,63,0
2394,2240,0
798,990,0
5372,5184,0
476,1365,0
4781,1043,0
1512,4263,0
387,2891,0
1476,2917,0
667,4273,0
1249,4539,0
4930,115,0
4872,3107,0
2065,615,0
4905,387,0
2344,1556,0
99,5322,0
3795,2794,0
5280,3329,0
3143,3584,0
504,3419,0
1926,161,0
964,1467,0
627,3198,0
189,3232,0
4356,1577,0
1886,4768,0
3803,2218,0
4739,1716,0
575,4435,0
3515,1004,0
2431,5272,0
3617,4046,0
550,5081,0
2964,2283,0
707,3240,0
4144,2146,0
3293,2446,0
360,2204,0
724,91,0
3083,3046,0
2235,3903,0
2117,4165,0
126,2096,0
4485,1417,0
508,505,0
2054,2137,0
2459,3898,0
1487,1299,0
4478,2790,0
3507,219,0
691,5389,0
4437,1735,0
4247,2656,0
456,4790,0
2190,4783,0
3135,596,0
4881,2523,0
1124,273,0
918,362,0
1155,5253,0
1430,2688,0
1878,923,0
2727,4053,0
801,4540,0
528,787,0
1673,1830,0
2902,3662,0
650,2385,0
4622,146,0
5195,349,0
3918,1235,0
3870,1413,0
3444,1829,0
2441,4037,0
4887,4144,0
4733,2251,0
3019,2095,0
4433,502,0
4,1219,0
4400,3766,0
2028,2729,0
5329,2840,0
5378,3150,0
3883,1176,0
840,1024,0
144,925,0
1656,4079,0
2334,2600,0
4011,4105,0
1219,3961,0
3161,4053,0
4811,374,0
1525,3931,0
1868,689,0
4464,2100,0
1681,3032,0
5080,2361,0
4241,1646,0
2662,2733,0
1153,3490,0
4259,2584,0
3751,1793,0
1451,4031,0
4789,2010,0
534,795,0
1533,5251,0
4991,4304,0
1921,5209,0
370,615,0
4498,1299,0
4736,4157,0
2151,4503,0
829,934,0
3496,4631,0
587,2879,0
4375,4435,0
3114,4892,0
1222,3372,0
4772,3893,0
2668,1714,0
1831,1462,0
3420,3169,0
863,4038,0
2049,4799,0
943,3569,0
1654,481,0
2191,1168,0
4834,4318,0
2086,915,0
4447,2178,0
561,5295,0
3795,4872,0
1871,1399,0
3154,712,0
1828,2709,0
3740,3943,0
1147,4438,0
1983,4423,0
1833,483,0
3046,3527,0
3163,2074,0
613,4740,0
4531,804,0
3211,2132,0
3251,3707,0
1194,1689,0
5212,3611,0
677,3946,0
4482,1899,0
2758,4696,0
3009,5242,0
3129,1417,0
1613,1397,0
632,147,0
1822,2041,0
1860,3997,0
5293,238,0
3503,1199,0
5001,5357,0
348,841,0
1827,1108,0
2463,4716,0
1171,4645,0
5158,1462,0
331,720,0
4513,2306,0
2036,2228,0
2034,1659,0
714,3210,0
949,4213,0
2312,4178,0
934,657,0
1120,1382,0
2317,5072,0
3841,2268,0
481,5079,0
67,2861,0
2180,5265,0
4444,3492,0
3109,4064,0
1831,96,0
2114,4947,0
2072,3114,0
739,3783,0
1365,2603,0
3652,4072,0
1813,2076,0
2028,4817,0
3360,2406,0
1751,2342,0
411,4499,0
845,4858,0
1921,4099,0
3123,5346,0
3203,3855,0
3306,2004,0
1989,2144,0
2831,2491,0
1766,2497,0
4886,2072,0
327,1126,0
1814,808,0
4910,3822,0
653,4815,0
2093,794,0
1742,36,0
3921,4375,0
4334,1343,0
2017,3849,0
4315,5118,0
2871,2818,0
1735,1026,0
1378,1133,0
4811,1650,0
309,1397,0
4243,3080,0
552,334,0
5311,269,0
354,693,0
3015,2220,0
859,2649,0
3886,5023,0
4531,4896,0
1077,942,0
4084,3073,0
2868,3759,0
2513,3189,0
2929,921,0
4111,5205,0
3571,3606,0
873,3696,0
4422,3608,0
1465,3541,0
5311,4827,0
4654,3969,0
877,3817,0
2418,1732,0
4623,4115,0
4609,1214,0
3081,829,0
2440,3335,0
1400,4909,0
1749,2552,0
1946,2947,0
2589,1843,0
2137,5379,0
1139,5160,0
4344,1435,0
2736,183,0
4852,5002,0
2797,277,0
4849,884,0
977,4927,0
535,2056,0
3383,2993,0
3653,136,0
2492,1509,0
2911,1364,0
2588,3892,0
2223,2441,0
2562,5371,0
3512,1499,0
1343,2612,0
3494,1815,0
64,3533,0
563,4639,0
1081,1940,0
3708,2318,0
2199,508,0
1729,4993,0
1717,4820,0
884,3577,0
1034,3962,0
1781,3568,0
5018,1993,0
1937,4652,0
4580,3798,0
2969,2202,0
2687,4061,0
3819,3237,0
2821,5344,0
2516,83,0
256,1403,0
4311,2576,0
4683,5315,0
1715,2577,0
1578,2458,0
3843,225,0
2837,2964,0
4287,1432,0
1349,2117,0
3760,785,0
2822,452,0
2165,139,0
648,1044,0
2502,3646,0
1309,2092,0
1093,2459,0
3145,5222,0
1254,822,0
4119,3299,0
1044,1751,0
2440,981,0
1123,5210,0
5308,2972,0
1245,1121,0
5142,4303,0
2033,896,0
2092,731,0
4613,4395,0
60,860,0
1510,1204,0
2548,3906,0
4113,55,0
3675,4692,0
1616,2196,0
3867,4405,0
1199,2147,0
5057,3998,0
4847,1447,0
3214,1209,0
3879,663,0
4594,5042,0
3589,4687,0
5181,1578,0
