h_entity,t_entity,relation
2140,435,0
3251,814,0
4719,1245,0
2356,596,0
1771,1360,0
3319,853,0
3428,1402,0
2346,612,0
4753,601,0
4137,858,0
3716,814,0
4849,353,0
3352,926,0
3824,1313,0
4955,688,0
3169,499,0
4669,926,0
4264,363,0
5352,1433,0
5145,1470,0
4734,601,0
4081,955,0
1785,406,0
4751,1478,0
1875,401,0
3215,561,0
4683,640,0
4876,1352,0
5041,269,0
2380,1350,0
1878,915,0
2453,759,0
5302,1339,0
2283,265,0
4795,702,0
4105,1426,0
5318,1522,0
4858,1486,0
3685,965,0
5385,269,0
4956,1183,0
1997,214,0
3663,867,0
5109,1136,0
3829,1453,0
2499,753,0
5216,1242,0
2274,1522,0
4558,1331,0
2043,753,0
2157,908,0
1941,1552,0
4662,293,0
2683,814,0
3104,547,0
2912,915,0
2940,758,0
4197,662,0
2421,724,0
3959,1475,0
2986,55,0
4955,1112,0
4966,724,0
4968,1310,0
5187,1203,0
2445,985,0
2730,1284,0
4657,917,0
5158,1575,0
3055,1379,0
3623,753,0
3018,269,0
4838,481,0
5216,1549,0
4160,774,0
5238,1168,0
5235,941,0
3271,1539,0
2904,401,0
3664,617,0
2838,566,0
2714,211,0
5352,695,0
1975,1575,0
1669,251,0
3120,304,0
3534,452,0
3208,1023,0
5145,726,0
1632,1580,0
3482,225,0
3343,402,0
4833,1286,0
5316,874,0
4300,601,0
1872,787,0
3261,628,0
4737,472,0
4836,1441,0
4475,546,0
2235,1023,0
4051,914,0
2367,1023,0
5376,1059,0
1690,867,0
2940,872,0
1786,906,0
3804,192,0
2360,1352,0
1761,601,0
2647,1312,0
2609,867,0
2043,753,0
4354,1487,0
2992,302,0
2271,1059,0
2698,315,0
2710,131,0
1995,1329,0
4655,247,0
3017,435,0
5274,1076,0
4536,1310,0
3169,1027,0
2777,867,0
5186,504,0
1744,753,0
2836,462,0
3125,1552,0
5061,151,0
3258,220,0
4531,1125,0
3955,892,0
4033,1552,0
4996,101,0
3515,1234,0
2166,221,0
1817,1569,0
4482,673,0
3312,451,0
3523,1000,0
4778,1552,0
2341,1508,0
4386,1569,0
4685,161,0
4399,1072,0
4211,479,0
4534,753,0
4106,357,0
2904,1469,0
4285,1059,0
4865,753,0
4753,601,0
3323,1310,0
2164,564,0
4283,1370,0
2739,867,0
5098,299,0
3452,753,0
1869,1101,0
3168,587,0
4660,867,0
1888,57,0
5039,1006,0
3455,1097,0
5200,1513,0
2977,1298,0
2865,804,0
4238,868,0
2102,859,0
2160,1482,0
5152,486,0
4828,1245,0
5299,1059,0
4507,985,0
1777,540,0
4092,488,0
4800,658,0
4535,1452,0
2613,100,0
3383,300,0
2205,469,0
4626,595,0
2030,1066,0
4318,601,0
5330,593,0
3424,926,0
2423,755,0
1771,1570,0
2039,1059,0
3431,1349,0
4671,726,0
2841,45,0
2162,461,0
1738,132,0
2000,1330,0
1976,1328,0
2482,1123,0
3010,1372,0
2985,1328,0
3184,719,0
5097,671,0
4204,467,0
4162,915,0
2792,1023,0
2935,676,0
2605,39,0
3478,1293,0
2922,1569,0
3017,1236,0
1630,433,0
3867,912,0
4388,867,0
4503,1215,0
3263,171,0
3057,299,0
3076,926,0
3407,212,0
1792,996,0
2223,40,0
3619,45,0
3862,601,0
1664,806,0
2028,1195,0
3692,753,0
3744,1117,0
3135,1508,0
4260,358,0
2380,1558,0
3064,533,0
2359,594,0
3478,730,0
3769,1432,0
1715,1314,0
2336,1059,0
2851,978,0
3270,753,0
5197,468,0
2786,577,0
3292,356,0
3992,1408,0
2783,937,0
2721,462,0
1668,1310,0
3997,926,0
2143,1569,0
4300,601,0
2340,915,0
3862,601,0
5069,172,0
5119,20,0
3345,1326,0
2366,137,0
3271,881,0
1897,1522,0
4558,131,0
1959,83,0
5020,1575,0
2940,939,0
4686,1310,0
3077,1330,0
5044,1410,0
2758,111,0
3815,193,0
5130,753,0
5014,1332,0
4264,1326,0
4833,1520,0
5068,1438,0
2836,127,0
4664,1245,0
1884,462,0
1994,1417,0
4421,1206,0
5068,908,0
5201,1343,0
5166,612,0
4482,1288,0
2940,1427,0
2844,1412,0
1746,495,0
4596,60,0
3404,753,0
3612,1492,0
3561,1107,0
3419,1426,0
3740,1059,0
4345,269,0
3369,601,0
3848,462,0
4885,269,0
2994,489,0
5204,462,0
1864,468,0
2380,77,0
3904,1123,0
2632,709,0
2655,1104,0
2561,1325,0
1761,601,0
1605,427,0
3144,1328,0
1798,261,0
3714,762,0
3398,940,0
2883,867,0
4147,1118,0
4138,1353,0
2586,1352,0
4918,1575,0
3271,1312,0
2116,1023,0
2664,1062,0
2647,214,0
2023,121,0
1645,1045,0
4254,1045,0
2052,889,0
2978,1192,0
4586,814,0
3060,1439,0
3751,1058,0
3025,1402,0
2948,1481,0
4733,968,0
2683,814,0
2723,702,0
3265,441,0
2545,691,0
3321,1323,0
3369,601,0
3862,601,0
2722,786,0
5335,1245,0
5095,1357,0
4825,1037,0
4268,360,0
3181,83,0
3761,859,0
5017,601,0
3296,126,0
3761,1094,0
1899,1303,0
2191,601,0
2049,1384,0
5073,1163,0
3839,486,0
2702,503,0
2438,1455,0
1747,590,0
4841,189,0
4619,1368,0
1761,601,0
5260,712,0
1653,695,0
2914,814,0
4506,737,0
1865,593,0
4111,1341,0
4929,976,0
2567,1157,0
2961,768,0
3423,427,0
1676,691,0
3901,1026,0
1776,111,0
4604,664,0
3458,1084,0
3775,288,0
4061,1173,0
5141,852,0
3989,269,0
4107,365,0
4299,171,0
2910,344,0
3510,906,0
2674,982,0
3833,801,0
2210,585,0
2085,851,0
3132,693,0
4861,1096,0
4290,691,0
1732,972,0
5128,1409,0
1664,1398,0
1973,721,0
4624,613,0
4444,81,0
2185,1569,0
4504,66,0
1852,492,0
1959,1526,0
4076,1381,0
4148,867,0
4626,87,0
4471,1328,0
4980,891,0
2482,1444,0
4703,36,0
2412,1521,0
4753,601,0
2238,1330,0
4024,553,0
3434,1234,0
4751,469,0
3436,456,0
1599,180,0
1651,427,0
4527,542,0
2919,435,0
3497,1246,0
3941,1297,0
3621,462,0
2331,804,0
2388,269,0
3477,422,0
1824,435,0
4430,1522,0
4745,867,0
5102,365,0
2717,1447,0
3607,814,0
3018,926,0
3028,1314,0
2816,176,0
2492,1333,0
2286,1310,0
4858,287,0
2266,889,0
2681,358,0
3080,762,0
3795,732,0
4680,1352,0
2813,1169,0
4671,591,0
5040,73,0
4134,1352,0
4655,628,0
4210,845,0
2803,1453,0
3131,814,0
4990,1318,0
2509,691,0
4273,443,0
5227,913,0
1741,148,0
4138,915,0
5269,516,0
3591,1027,0
4810,1515,0
1995,171,0
5301,860,0
3205,145,0
2176,1298,0
4388,1522,0
2312,753,0
2512,401,0
4437,787,0
4916,1446,0
3312,225,0
5180,753,0
4122,196,0
4714,1059,0
5059,926,0
3933,908,0
4090,1206,0
2862,681,0
3771,331,0
2317,1508,0
3158,990,0
3988,208,0
3505,451,0
4377,352,0
3944,516,0
5033,1021,0
4334,520,0
4906,593,0
3040,299,0
3440,43,0
3242,1257,0
1932,1200,0
3210,946,0
2335,1227,0
3018,593,0
4014,708,0
4254,987,0
3867,1136,0
4026,1325,0
4389,814,0
3028,779,0
3489,146,0
4688,788,0
3779,669,0
3057,521,0
2448,1106,0
1857,408,0
5016,1513,0
5237,560,0
3350,829,0
2706,418,0
3596,792,0
3639,33,0
3028,390,0
4336,423,0
2829,1049,0
4734,601,0
4088,267,0
5368,909,0
3362,1041,0
3433,1193,0
4482,1571,0
5026,882,0
2355,540,0
4549,1372,0
2382,758,0
1805,1480,0
3693,1351,0
4138,797,0
4100,835,0
3174,1418,0
3356,1286,0
3053,360,0
3624,110,0
3706,1310,0
1688,644,0
4858,171,0
1900,561,0
4128,814,0
4271,1522,0
2888,473,0
3751,1245,0
3134,783,0
3291,910,0
2170,194,0
5206,316,0
3666,794,0
3968,34,0
4808,814,0
2161,1470,0
3110,1009,0
4135,587,0
4273,589,0
4335,833,0
2241,24,0
2953,704,0
2574,859,0
2191,601,0
4347,753,0
2450,1214,0
2773,1387,0
2011,269,0
1885,59,0
4671,553,0
4416,814,0
2344,1544,0
1629,814,0
4789,992,0
3451,500,0
3234,1122,0
2696,85,0
2397,26,0
4623,343,0
4525,1461,0
2163,867,0
5126,769,0
2866,793,0
5307,362,0
3095,1430,0
4476,1472,0
2706,1146,0
5178,639,0
4075,435,0
3500,453,0
3431,251,0
2241,1469,0
1885,262,0
4734,601,0
4734,601,0
2098,417,0
1878,612,0
3291,670,0
3972,488,0
2966,1245,0
3053,1329,0
3062,777,0
4402,1024,0
3040,985,0
2191,601,0
4914,867,0
5233,1209,0
4985,563,0
4855,1012,0
2683,814,0
3871,908,0
2555,823,0
4485,1314,0
2898,63,0
4067,955,0
4575,620,0
2821,1402,0
3884,593,0
2865,804,0
1891,766,0
1761,601,0
5376,867,0
2097,1264,0
2396,1170,0
4881,330,0
2373,593,0
4646,929,0
2371,695,0
3818,879,0
4926,162,0
4231,1352,0
4671,758,0
1619,1352,0
2323,486,0
3293,1298,0
3028,1562,0
2964,245,0
4734,601,0
3204,1407,0
3604,901,0
2331,804,0
4785,1092,0
4624,795,0
2281,53,0
3784,872,0
3576,1411,0
2505,867,0
3176,476,0
3859,64,0
2515,1311,0
2756,1372,0
1970,459,0
2221,148,0
3701,968,0
2952,1056,0
5203,188,0
5122,467,0
4411,1473,0
4655,1573,0
3692,814,0
2512,1561,0
3533,1339,0
2592,466,0
5109,1372,0
2698,62,0
3449,1059,0
4855,1468,0
3597,1139,0
4197,543,0
2084,1493,0
2037,1059,0
4300,601,0
4107,365,0
3141,1373,0
4918,269,0
1697,778,0
4685,1564,0
1640,1521,0
1734,1522,0
2669,1464,0
4656,1426,0
3909,171,0
4269,804,0
4067,710,0
2248,500,0
4702,709,0
2691,673,0
2758,1515,0
2698,1329,0
4576,1569,0
4318,601,0
4065,75,0
3481,256,0
5114,497,0
2125,461,0
2439,1161,0
2426,1024,0
2192,1295,0
2446,926,0
1920,674,0
3098,489,0
3821,1423,0
2543,1330,0
2752,462,0
3975,968,0
1994,715,0
2717,1518,0
4113,671,0
3453,1004,0
2525,359,0
1792,1219,0
1837,1536,0
4681,320,0
5274,753,0
2250,1407,0
1751,867,0
3605,788,0
2761,1486,0
4974,236,0
2959,892,0
1753,1552,0
4776,129,0
2327,763,0
2540,469,0
3170,486,0
3215,753,0
3448,1462,0
5216,308,0
2342,325,0
4694,286,0
4906,926,0
2813,1048,0
4691,1023,0
3193,926,0
2324,1000,0
2698,450,0
4974,1556,0
2293,1106,0
4156,444,0
4254,25,0
2587,814,0
4566,1023,0
2226,345,0
3440,1,0
2359,149,0
4758,844,0
4446,1059,0
3101,431,0
2382,5,0
1959,1373,0
3209,969,0
5357,269,0
2544,366,0
4422,1012,0
4880,435,0
2794,410,0
4061,725,0
4218,433,0
1854,1575,0
4772,1354,0
1797,26,0
3657,1298,0
4802,1207,0
2341,787,0
5075,1522,0
4753,601,0
3996,859,0
2847,926,0
2265,1471,0
5169,914,0
3871,1005,0
3823,1485,0
4749,105,0
4272,1059,0
3443,1041,0
4644,643,0
3243,609,0
2945,753,0
3418,171,0
2863,1544,0
1679,1263,0
2235,691,0
1748,1233,0
4793,75,0
1869,1453,0
5243,1469,0
4288,1021,0
1771,925,0
4287,486,0
3268,1383,0
2188,766,0
3442,1075,0
2144,1059,0
3670,720,0
4731,521,0
1946,915,0
4943,694,0
5094,1101,0
4221,1373,0
3925,196,0
4825,273,0
2961,814,0
4832,841,0
3705,435,0
4555,712,0
3431,1139,0
4721,1350,0
5118,1522,0
5029,376,0
4300,601,0
4428,583,0
2698,1446,0
4418,269,0
1736,1320,0
3146,1552,0
3763,731,0
5275,1551,0
4315,248,0
2552,1327,0
4524,1569,0
2281,631,0
5046,587,0
3844,1023,0
4764,873,0
3369,601,0
4654,691,0
2426,711,0
5289,255,0
2632,600,0
3038,691,0
2157,967,0
3296,1023,0
3781,1225,0
2411,1569,0
2191,601,0
4370,753,0
3974,306,0
4528,360,0
1985,1099,0
1655,166,0
4678,814,0
5269,773,0
2212,142,0
3197,70,0
4034,278,0
1771,145,0
2631,348,0
2180,1302,0
3722,1298,0
3844,691,0
5226,792,0
4794,1420,0
3008,429,0
2474,1569,0
5217,891,0
2702,1533,0
5179,51,0
3277,892,0
3651,859,0
2180,459,0
4114,753,0
1963,788,0
5053,1575,0
5287,1330,0
4077,962,0
5017,601,0
5301,1252,0
3659,990,0
5391,1468,0
2664,941,0
3330,440,0
3531,1059,0
1671,1010,0
5366,1330,0
5038,549,0
2888,777,0
4725,487,0
3477,868,0
4596,1352,0
2017,1094,0
5142,814,0
1714,1125,0
3723,593,0
4300,601,0
3326,207,0
1948,916,0
5045,1401,0
5017,601,0
5374,1420,0
1825,456,0
2186,829,0
2257,1575,0
4554,1255,0
1791,1158,0
4753,601,0
3629,1245,0
1608,593,0
4429,859,0
3359,1146,0
3659,785,0
3167,1457,0
2191,601,0
4923,1259,0
5343,1420,0
4341,1456,0
3988,281,0
4298,420,0
4836,1236,0
4537,1343,0
2833,30,0
3173,159,0
3064,1116,0
3215,934,0
3543,1524,0
2260,1059,0
2471,691,0
5038,545,0
5140,73,0
3855,1383,0
1716,1325,0
2408,1298,0
4422,247,0
3862,601,0
5206,125,0
3113,555,0
1877,753,0
3157,1555,0
5151,441,0
4244,753,0
4129,534,0
5190,465,0
2596,1131,0
5169,695,0
3126,914,0
5064,269,0
2065,990,0
4482,462,0
3707,441,0
