h_entity,t_entity,relation
3516,4398,0
4162,3615,0
4446,3544,0
3941,4834,0
519,1755,0
1273,3268,0
80,3989,0
3905,4099,0
2124,2144,0
4565,4325,0
2040,3306,0
2458,5265,0
2635,2980,0
830,1848,0
1783,4335,0
2736,4694,0
2759,3466,0
765,4410,0
281,995,0
3982,1189,0
4427,4869,0
420,2413,0
3143,1151,0
3083,656,0
605,673,0
5107,2876,0
174,2055,0
3257,2162,0
1150,4226,0
3200,924,0
1634,4794,0
4795,2420,0
1307,1898,0
579,2868,0
1300,3654,0
384,2672,0
4691,2491,0
1070,2561,0
3229,3315,0
156,2680,0
2822,4696,0
652,5085,0
4654,3028,0
4283,4173,0
4643,785,0
3546,4947,0
5231,1692,0
1630,1616,0
4138,2690,0
1652,3855,0
2356,4707,0
87,4024,0
244,684,0
1361,4391,0
1290,2554,0
1771,2857,0
128,4925,0
783,2716,0
3766,1986,0
1332,1791,0
812,252,0
1704,1013,0
3872,1719,0
4379,4134,0
2733,2733,0
2980,4614,0
149,3359,0
4435,4099,0
1907,4021,0
4075,541,0
3820,5050,0
1666,3572,0
1449,3032,0
2598,730,0
3693,2533,0
2807,2473,0
948,1408,0
1905,3105,0
2687,4747,0
3601,4097,0
3420,5207,0
3695,1694,0
1406,4775,0
309,2984,0
3706,2729,0
4196,1479,0
1669,1112,0
5361,34,0
4748,3073,0
731,2739,0
2913,870,0
4134,1082,0
874,3941,0
4785,3969,0
2715,3809,0
146,188,0
2726,3323,0
3122,3863,0
3688,2841,0
577,5124,0
169,4865,0
3664,3145,0
4627,898,0
1837,1176,0
4556,4843,0
5286,333,0
3777,2676,0
3572,1449,0
3868,4821,0
4202,2805,0
3517,704,0
1080,274,0
631,3545,0
564,96,0
875,5079,0
1027,3772,0
5361,4972,0
5117,2355,0
3028,5361,0
919,1560,0
4785,2563,0
5053,4182,0
1646,1684,0
74,1316,0
1675,4010,0
2915,1742,0
3484,4477,0
3400,4689,0
4421,397,0
1500,2048,0
2797,3476,0
2449,2016,0
1425,5146,0
3131,2480,0
2515,2733,0
4583,2930,0
4952,4314,0
2427,1605,0
3860,1469,0
