h_entity,t_entity,relation
2766,358,0
4144,1087,0
4254,1087,0
4891,865,0
2377,1492,0
5330,341,0
4729,1266,0
2567,1087,0
2317,235,0
3967,1286,0
1814,1333,0
4776,513,0
4885,357,0
4625,89,0
4029,67,0
3026,1087,0
1601,913,0
1725,1087,0
2377,1098,0
3767,354,0
1660,1131,0
1983,559,0
4005,1492,0
2688,714,0
5347,1326,0
2331,1341,0
2447,1315,0
3482,1391,0
4494,1564,0
4375,715,0
4655,612,0
3722,1049,0
3831,30,0
3633,1204,0
3160,547,0
4773,428,0
5134,1099,0
1878,67,0
4987,217,0
1697,389,0
2240,1164,0
2128,160,0
4392,952,0
2158,1016,0
1638,1499,0
1787,53,0
5276,178,0
2305,1431,0
3043,122,0
3558,67,0
2199,982,0
4644,492,0
3828,1087,0
3281,1070,0
2139,281,0
4904,1564,0
5182,1538,0
2143,483,0
3816,1070,0
2005,994,0
4355,841,0
1920,1048,0
3069,1417,0
2521,1087,0
4388,492,0
4931,42,0
2527,1564,0
5360,940,0
2818,1333,0
5365,1085,0
4707,196,0
3123,1146,0
2866,487,0
3212,1427,0
3941,1001,0
3638,1229,0
2564,1070,0
2923,670,0
2253,67,0
2623,67,0
4582,1545,0
4160,358,0
2338,414,0
3833,443,0
3749,965,0
3403,670,0
5149,488,0
1774,1303,0
3779,354,0
1945,1363,0
4131,121,0
4502,559,0
1784,582,0
3381,249,0
2904,492,0
2603,598,0
3335,1184,0
4942,1373,0
3530,1390,0
3229,547,0
3492,299,0
4237,1070,0
5266,186,0
3533,319,0
4088,986,0
4238,1253,0
4621,538,0
2511,827,0
2251,273,0
1953,1070,0
1614,73,0
4393,122,0
3169,161,0
1947,815,0
3605,1358,0
4762,971,0
1921,658,0
3077,523,0
3420,1087,0
3551,1070,0
4753,1455,0
1901,1333,0
1926,160,0
3014,354,0
3340,43,0
2947,1225,0
4687,1106,0
4890,918,0
2947,30,0
5181,629,0
1654,1148,0
3189,80,0
4600,873,0
2664,83,0
5346,1354,0
5395,841,0
4103,1525,0
2594,152,0
2678,1232,0
5052,549,0
5320,443,0
3604,215,0
5208,1328,0
5376,1097,0
5322,1414,0
2170,588,0
4445,547,0
4382,443,0
3551,1070,0
2892,940,0
4106,1564,0
3928,1087,0
4986,1300,0
4203,1087,0
1945,14,0
4077,1116,0
2148,940,0
2519,67,0
2016,1310,0
3790,1087,0
2921,83,0
2645,1109,0
2472,822,0
4326,1195,0
2428,311,0
2278,740,0
4784,1195,0
2066,1196,0
4068,980,0
4109,847,0
5103,99,0
4153,0,0
4151,798,0
3698,547,0
2183,121,0
3859,186,0
2822,1152,0
5153,249,0
1917,460,0
4399,1188,0
2798,1523,0
5303,67,0
3621,571,0
5086,746,0
4880,383,0
1652,492,0
2100,3,0
4858,1070,0
4040,594,0
1885,1447,0
2543,1481,0
2673,559,0
1818,821,0
4802,551,0
2426,469,0
4610,443,0
4482,761,0
2526,752,0
4463,710,0
1905,1545,0
3608,1225,0
1626,882,0
3414,354,0
3791,483,0
4493,461,0
2412,1390,0
5149,488,0
1953,1070,0
2230,1390,0
3882,1405,0
3906,1195,0
3392,1227,0
3969,1178,0
1811,1345,0
3776,914,0
1694,574,0
2566,1119,0
4223,67,0
4725,859,0
5103,1472,0
2866,789,0
2968,1492,0
5147,464,0
4771,769,0
5320,492,0
4738,710,0
2770,547,0
4962,105,0
3552,143,0
3404,1576,0
2319,669,0
3034,317,0
2883,1446,0
2352,591,0
1594,718,0
2609,296,0
5286,841,0
3450,995,0
1852,333,0
1875,841,0
3767,67,0
2787,249,0
3121,918,0
2512,1333,0
2729,527,0
4509,366,0
5118,528,0
3588,199,0
3845,225,0
4827,499,0
4603,502,0
4337,1172,0
2796,1333,0
2238,1087,0
2203,354,0
4463,1395,0
2564,1070,0
1977,407,0
1915,720,0
3641,915,0
2912,1296,0
1872,156,0
3608,963,0
5007,1060,0
2564,1070,0
2177,672,0
2038,83,0
1945,1326,0
2658,985,0
4240,168,0
2900,317,0
4591,340,0
4011,122,0
1600,492,0
3619,529,0
4697,1031,0
3657,1220,0
1838,1158,0
4307,1032,0
4591,589,0
4464,14,0
1951,1422,0
2564,1070,0
2668,701,0
2379,823,0
4440,492,0
2867,73,0
3076,1199,0
1590,383,0
3645,547,0
2492,12,0
4993,1448,0
4883,991,0
5361,354,0
3389,1333,0
5034,1508,0
1921,947,0
3816,1070,0
3593,740,0
3076,1377,0
3339,443,0
2742,569,0
4971,43,0
3444,1333,0
5211,547,0
4807,12,0
5347,1044,0
3551,1070,0
1755,1087,0
4075,1247,0
2940,855,0
3957,920,0
1996,177,0
1737,79,0
2984,841,0
2796,277,0
4496,586,0
4151,759,0
4237,1070,0
5273,812,0
4536,171,0
4542,1171,0
3791,354,0
5005,1430,0
5046,954,0
4730,847,0
1886,1050,0
2931,628,0
3337,1389,0
3242,371,0
4852,322,0
4879,861,0
5139,1444,0
4096,354,0
3843,43,0
4643,1199,0
1954,1426,0
4567,971,0
2990,940,0
4519,682,0
4374,979,0
4935,1087,0
2837,1057,0
5294,443,0
2377,43,0
2432,1236,0
4095,1131,0
4701,1325,0
3551,1070,0
3974,8,0
3771,1574,0
1953,1070,0
2697,249,0
3502,460,0
3343,940,0
5333,109,0
5149,488,0
1863,173,0
3942,733,0
5101,604,0
5079,612,0
3186,249,0
2441,841,0
3428,1523,0
2479,259,0
4931,758,0
4495,443,0
5309,621,0
4514,778,0
4160,1119,0
2374,52,0
1849,1249,0
4886,1351,0
3189,467,0
4957,1433,0
4495,249,0
4929,783,0
1747,249,0
3083,962,0
5078,52,0
4967,1234,0
3060,1326,0
5266,703,0
2991,412,0
4191,1431,0
3850,710,0
3281,1070,0
2576,1300,0
3813,186,0
5365,1191,0
1866,198,0
4233,1028,0
5239,827,0
4448,1070,0
5123,1033,0
2148,940,0
3904,607,0
3403,83,0
3070,228,0
4692,8,0
1901,77,0
1945,686,0
4908,443,0
3879,769,0
4396,1087,0
4826,1124,0
