,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,state
0,0,-0.34862567682329587,2020-07-07 11:00:18.427902,2020-07-07 11:09:16.823990,0 days 00:08:58.396088000,0.28769269394514074,0.29935157366043297,COMPLETE
1,1,-0.33806961785904704,2020-07-07 11:09:16.827510,2020-07-07 11:20:35.795438,0 days 00:11:18.967928000,0.4609888561035692,0.47199699171793147,COMPLETE
2,2,-0.3279418603345159,2020-07-07 11:20:35.800461,2020-07-07 11:36:04.567288,0 days 00:15:28.766827000,0.7183333003973459,0.4271607377848283,COMPLETE
3,3,-0.3360581860435097,2020-07-07 11:36:04.570408,2020-07-07 11:58:58.321038,0 days 00:22:53.750630000,0.8394420317283138,0.19526767941075457,COMPLETE
4,4,-0.34935500666028635,2020-07-07 11:58:58.324793,2020-07-07 12:09:51.167491,0 days 00:10:52.842698000,0.3363914388602237,0.1796033052778021,COMPLETE
5,5,-0.3425969980317385,2020-07-07 12:09:51.170935,2020-07-07 12:21:18.498329,0 days 00:11:27.327394000,0.4162479934770036,0.3960822095812415,COMPLETE
6,6,-0.33264668639887446,2020-07-07 12:21:18.501958,2020-07-07 12:39:41.650958,0 days 00:18:23.149000000,0.735334348502457,0.32888185421177263,COMPLETE
7,7,-0.3520503301601772,2020-07-07 12:39:41.654208,2020-07-07 12:48:38.948392,0 days 00:08:57.294184000,0.17034800669404937,0.14482486321612298,COMPLETE
8,8,-0.34375612170148373,2020-07-07 12:48:38.952776,2020-07-07 12:59:48.187095,0 days 00:11:09.234319000,0.40121487833871305,0.34343052369284466,COMPLETE
9,9,-0.34411845228625554,2020-07-07 12:59:48.191065,2020-07-07 13:17:42.801515,0 days 00:17:54.610450000,0.6159864636960763,0.1234042447579925,COMPLETE
10,10,-0.33811731604750234,2020-07-07 13:17:42.805997,2020-07-07 13:23:17.467895,0 days 00:05:34.661898000,0.019523196485454503,0.003082396052913744,COMPLETE
11,11,-0.34923863265251576,2020-07-07 13:23:17.471480,2020-07-07 13:30:30.582031,0 days 00:07:13.110551000,0.11346319505045674,0.09390428504866304,COMPLETE
12,12,-0.3509713359850598,2020-07-07 13:30:30.585653,2020-07-07 13:39:19.437672,0 days 00:08:48.852019000,0.21038440716505752,0.18755461275066512,COMPLETE
13,13,-0.3503153943841676,2020-07-07 13:39:19.441737,2020-07-07 13:47:52.249027,0 days 00:08:32.807290000,0.17607559895705713,0.04376537531977015,COMPLETE
14,14,-0.3520153923225663,2020-07-07 13:47:52.252223,2020-07-07 13:56:46.937479,0 days 00:08:54.685256000,0.18413358208486277,0.23428595081201806,COMPLETE
15,15,-0.2521496189696392,2020-07-07 13:56:46.940834,2020-07-07 14:00:24.390987,0 days 00:03:37.450153000,0.0007002942169752058,0.2581278540912773,COMPLETE
16,16,-0.352723561602129,2020-07-07 14:00:24.394893,2020-07-07 14:07:35.877149,0 days 00:07:11.482256000,0.06899423777380141,0.12338669201679366,COMPLETE
17,17,-0.3265735757592934,2020-07-07 14:07:35.880633,2020-07-07 16:32:14.966437,0 days 02:24:39.085804000,0.9939855100409332,0.11780844112454703,COMPLETE
18,18,-0.3507071691801512,2020-07-07 16:32:14.969526,2020-07-07 16:39:14.124415,0 days 00:06:59.154889000,0.05902416318230824,0.04803956857651387,COMPLETE
19,19,-0.350208242643634,2020-07-07 16:39:14.127453,2020-07-07 16:48:53.123687,0 days 00:09:38.996234000,0.27588171415536894,0.14932564716771607,COMPLETE
20,20,-0.3460122312781004,2020-07-07 16:48:53.127677,2020-07-07 17:06:51.019924,0 days 00:17:57.892247000,0.5778676891462705,0.06651922517041417,COMPLETE
21,21,-0.34971144958447586,2020-07-07 17:06:51.023954,2020-07-07 17:14:13.622496,0 days 00:07:22.598542000,0.13918666260214657,0.24071557280662426,COMPLETE
22,22,-0.3529113608433358,2020-07-07 17:14:13.626515,2020-07-07 17:21:27.145265,0 days 00:07:13.518750000,0.08324867287831719,0.23159144780569468,COMPLETE
23,23,-0.35284305177738123,2020-07-07 17:21:27.149047,2020-07-07 17:28:46.519802,0 days 00:07:19.370755000,0.0766855749536302,0.1511227600562917,COMPLETE
24,24,-0.2521496189696392,2020-07-07 17:28:46.523584,2020-07-07 17:32:23.062735,0 days 00:03:36.539151000,0.0005673497698134439,0.20984970399716463,COMPLETE
25,25,-0.35329676471929095,2020-07-07 17:32:23.066644,2020-07-07 17:39:37.751444,0 days 00:07:14.684800000,0.0794533267624303,0.28251408333203865,COMPLETE
26,26,-0.3488856980038806,2020-07-07 17:39:37.756381,2020-07-07 17:48:42.070993,0 days 00:09:04.314612000,0.2674883543562592,0.28585445303208956,COMPLETE
27,27,-0.35284948305188185,2020-07-07 17:48:42.074271,2020-07-07 17:55:55.527718,0 days 00:07:13.453447000,0.088630668546307,0.36297582617575747,COMPLETE
28,28,-0.34490757248118725,2020-07-07 17:55:55.531440,2020-07-07 18:06:43.320069,0 days 00:10:47.788629000,0.3564121302850033,0.3725655880412654,COMPLETE
29,29,-0.3494458809892249,2020-07-07 18:06:43.323325,2020-07-07 18:15:49.897150,0 days 00:09:06.573825000,0.23970054684276726,0.29484655585865494,COMPLETE
