,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_gamma1,params_gamma2,params_gamma3,state
0,0,-0.23903830443291132,2020-07-11 13:21:53.441859,2020-07-11 13:28:11.026900,0 days 00:06:17.585041000,0.0584707660822098,0.13941479416140762,0.9441682835982997,0.983023846504246,0.9280172116784312,COMPLETE
1,1,-0.24907225459226917,2020-07-11 13:28:11.027500,2020-07-11 13:35:04.198289,0 days 00:06:53.170789000,0.06972486038945497,0.27040804641283345,0.11519463516007111,0.6321296803430919,0.16453209931091284,COMPLETE
2,2,-0.24497450543312113,2020-07-11 13:35:04.199215,2020-07-11 13:45:29.262463,0 days 00:10:25.063248000,0.33222817913764946,0.2901574387845407,0.2351000429949458,0.7623762405781047,0.15350369254764118,COMPLETE
3,3,-0.23920532469311873,2020-07-11 13:45:29.263002,2020-07-11 13:54:08.695298,0 days 00:08:39.432296000,0.2306643852938871,0.34962400405752037,0.6896634626362669,0.746517191809996,0.45386699906191075,COMPLETE
4,4,-0.23327385589792854,2020-07-11 13:54:08.695830,2020-07-11 14:04:32.355030,0 days 00:10:23.659200000,0.3499472685234776,0.2773586136440008,0.37970510091857734,0.2064431065575546,0.7952945388604751,COMPLETE
5,5,-0.24065378904025397,2020-07-11 14:04:32.355591,2020-07-11 14:09:46.891608,0 days 00:05:14.536017000,0.023783040266367073,0.3598752454838779,0.9976400104758505,0.9327816251537461,0.1833126567926915,COMPLETE
6,6,-0.24219659390994075,2020-07-11 14:09:46.892275,2020-07-11 14:22:32.855029,0 days 00:12:45.962754000,0.4330594516028797,0.11652412774811194,0.10007162080311771,0.1530321437029336,0.4007301313455188,COMPLETE
7,7,-0.23798250129936901,2020-07-11 14:22:32.855571,2020-07-11 14:34:43.965390,0 days 00:12:11.109819000,0.49042136961533844,0.3727457037542981,0.29589449963824166,0.690125031638708,0.02110347634298504,COMPLETE
8,8,-0.23877566003494372,2020-07-11 14:34:43.966395,2020-07-11 14:44:06.473198,0 days 00:09:22.506803000,0.29928093738242717,0.33204858168741525,0.7654088270387326,0.9547405063260382,0.3965511996949387,COMPLETE
9,9,-0.2400945537539764,2020-07-11 14:44:06.474058,2020-07-11 14:56:23.273235,0 days 00:12:16.799177000,0.39949120418058137,0.06241840672765869,0.2749244992747184,0.3612776646718806,0.6706449016492351,COMPLETE
10,10,-0.2413336700753242,2020-07-11 14:56:23.273892,2020-07-11 15:03:12.174793,0 days 00:06:48.900901000,0.15080409252192886,0.49940714131996866,0.03659074355965085,0.4744495087617907,0.033743762563316876,COMPLETE
11,11,-0.24754649050644092,2020-07-11 15:03:12.175689,2020-07-11 15:11:35.627136,0 days 00:08:23.451447000,0.18102568376966863,0.22377077293470957,0.16348177914566736,0.7123349770937565,0.209449087139234,COMPLETE
12,12,-0.2607438708697101,2020-07-11 15:11:35.628071,2020-07-11 15:18:23.582202,0 days 00:06:47.954131000,0.13683255653818677,0.19280304559394448,0.004758411981659549,0.6034898378939502,0.20208730664749236,COMPLETE
13,13,-0.258920523852767,2020-07-11 15:18:23.582705,2020-07-11 15:24:45.249475,0 days 00:06:21.666770000,0.11299930704505459,0.20305955804467699,0.009135621488361561,0.5192001397093235,0.2797658492467573,COMPLETE
14,14,-0.26004611989440357,2020-07-11 15:24:45.250028,2020-07-11 15:31:07.090186,0 days 00:06:21.840158000,0.1218196184443911,0.1870875305985051,0.0173022991152511,0.4921827377205653,0.3073947244281974,COMPLETE
15,15,-0.2356787791032846,2020-07-11 15:31:07.090776,2020-07-11 15:39:02.507954,0 days 00:07:55.417178000,0.18573160775879025,0.028293517748465752,0.5084375453197976,0.3310695574118362,0.5455866082575692,COMPLETE
16,16,-0.2517382176366959,2020-07-11 15:39:02.508554,2020-07-11 15:42:16.218954,0 days 00:03:13.710400000,0.001988242371119872,0.16242533703701545,0.0032262755044655663,0.00457894984094348,0.2890258884250647,COMPLETE
17,17,-0.24308198276916843,2020-07-11 15:42:16.219540,2020-07-11 15:50:18.866336,0 days 00:08:02.646796000,0.23993850106301112,0.08929530186690388,0.5511988480378112,0.5501014999747794,0.5412724332865761,COMPLETE
18,18,-0.25995527979260263,2020-07-11 15:50:18.866922,2020-07-11 15:56:47.256496,0 days 00:06:28.389574000,0.11095264289644241,0.18642458833613557,0.0006628374527538061,0.8472447656351567,0.07464985189686596,COMPLETE
19,19,-0.23761489953507417,2020-07-11 15:56:47.257407,2020-07-11 16:03:17.035843,0 days 00:06:29.778436000,0.11608150024185461,0.45454505205309725,0.3883134516565154,0.4016262760396713,0.31293596677568114,COMPLETE
20,20,-0.24324924002398565,2020-07-11 16:03:17.036392,2020-07-11 16:11:22.879471,0 days 00:08:05.843079000,0.19270852823243528,0.0068614083408304605,0.17746046605402574,0.6072655939512198,0.6309921443718116,COMPLETE
21,21,-0.2590517359370799,2020-07-11 16:11:22.880034,2020-07-11 16:17:50.165387,0 days 00:06:27.285353000,0.10455070473828634,0.1899963384199464,0.009149757129706027,0.8146665259111614,0.07754374098152432,COMPLETE
