,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_gamma1,params_gamma2,params_gamma3,state
0,0,-0.3410340227934139,2020-07-08 13:19:37.181690,2020-07-08 13:26:32.666729,0 days 00:06:55.485039000,0.1432433668501249,0.11561183520856794,0.5739159172673176,0.2902991326487391,0.6844983415570296,COMPLETE
1,1,-0.3391661479638124,2020-07-08 13:26:32.670186,2020-07-08 13:37:50.655413,0 days 00:11:17.985227000,0.33630658952118775,0.1144150572210621,0.2426198687037351,0.14737199291659553,0.3636497259429655,COMPLETE
2,2,-0.3404086787046302,2020-07-08 13:37:50.658364,2020-07-08 13:42:34.086033,0 days 00:04:43.427669000,0.033674799223865515,0.24979023516532006,0.4424207515535349,0.9044744725889364,0.15497418440585475,COMPLETE
3,3,-0.340291788006564,2020-07-08 13:42:34.090928,2020-07-08 13:49:00.403996,0 days 00:06:26.313068000,0.10887722000080369,0.15243452094915877,0.27178079390103693,0.27661661647448277,0.7033330901962457,COMPLETE
4,4,-0.3412877023321439,2020-07-08 13:49:00.407859,2020-07-08 13:55:21.657206,0 days 00:06:21.249347000,0.12964690296164477,0.1092852441749631,0.9979725188211145,0.43514219949910393,0.7130592109682905,COMPLETE
5,5,-0.335520653008049,2020-07-08 13:55:21.659805,2020-07-08 14:00:19.243198,0 days 00:04:57.583393000,0.03851251652169879,0.03282526712003808,0.6300360959877147,0.4242687683956089,0.7740210244134162,COMPLETE
6,6,-0.34537990623519055,2020-07-08 14:00:19.246381,2020-07-08 14:08:32.344422,0 days 00:08:13.098041000,0.2640479360950401,0.1035834473699287,0.7551997607971873,0.10516358012428961,0.6382802315423086,COMPLETE
7,7,-0.33696560020294125,2020-07-08 14:08:32.347730,2020-07-08 14:22:13.104551,0 days 00:13:40.756821000,0.4023600195136038,0.161630204599082,0.8117794754184751,0.5839986112553086,0.07159410104860897,COMPLETE
8,8,-0.32589646670221856,2020-07-08 14:22:13.108066,2020-07-08 14:29:30.846333,0 days 00:07:17.738267000,0.13335053001666008,0.016637864044392825,0.738676272321947,0.9953763918388773,0.08847934979772654,COMPLETE
9,9,-0.3332600385860409,2020-07-08 14:29:30.850377,2020-07-08 14:58:22.264633,0 days 00:28:51.414256000,0.4918693712651294,0.0961891838354918,0.11375701849518371,0.9040933571530814,0.6618623561491879,COMPLETE
10,10,-0.33788946550842325,2020-07-08 14:58:22.268241,2020-07-08 15:06:03.450644,0 days 00:07:41.182403000,0.25361845427400354,0.4918911484277297,0.9946795475540051,0.003114432139817769,0.9965336035959392,COMPLETE
11,11,-0.34157636464486585,2020-07-08 15:06:03.454844,2020-07-08 15:14:13.094301,0 days 00:08:09.639457000,0.23600369302735782,0.26255174208587073,0.9769581121880047,0.6479889095972459,0.45924604355695786,COMPLETE
