,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,state
0,0,-0.19925216002992835,2020-07-11 11:20:21.514025,2020-07-11 11:23:14.690499,0 days 00:02:53.176474000,0.3708887569487619,0.18472063951017292,COMPLETE
1,1,-0.1649516382495076,2020-07-11 11:23:14.690957,2020-07-11 11:25:52.217373,0 days 00:02:37.526416000,0.052746457077613274,0.05971283311542758,COMPLETE
2,2,-0.16486312700858,2020-07-11 11:25:52.217803,2020-07-11 11:27:46.027065,0 days 00:01:53.809262000,0.0030825254362935595,0.31273609114870704,COMPLETE
3,3,-0.20071384374068263,2020-07-11 11:27:46.027572,2020-07-11 11:30:53.935714,0 days 00:03:07.908142000,0.24249676123179975,0.31181962563923415,COMPLETE
4,4,-0.2015790820707666,2020-07-11 11:30:53.936209,2020-07-11 11:34:15.144585,0 days 00:03:21.208376000,0.32133999902770466,0.2846404463347009,COMPLETE
5,5,-0.20051310601873107,2020-07-11 11:34:15.145044,2020-07-11 11:37:05.098041,0 days 00:02:49.952997000,0.16622604434965627,0.412819371275973,COMPLETE
6,6,-0.203316753156238,2020-07-11 11:37:05.098544,2020-07-11 11:40:26.437167,0 days 00:03:21.338623000,0.3240228939607866,0.3761977138697166,COMPLETE
7,7,-0.16782178950322243,2020-07-11 11:40:26.437680,2020-07-11 11:43:05.921905,0 days 00:02:39.484225000,0.26082184837057193,0.052095345835288354,COMPLETE
8,8,-0.16483563297669152,2020-07-11 11:43:05.922349,2020-07-11 11:45:59.620541,0 days 00:02:53.698192000,0.44560575431705474,0.02568323798619071,COMPLETE
9,9,-0.20540289084268543,2020-07-11 11:45:59.620976,2020-07-11 11:50:11.348112,0 days 00:04:11.727136000,0.4568981176535818,0.4816212730863144,COMPLETE
10,10,-0.20585018872094457,2020-07-11 11:50:11.348836,2020-07-11 11:54:24.682600,0 days 00:04:13.333764000,0.4679208957785327,0.49980610461113073,COMPLETE
11,11,-0.20627061711535072,2020-07-11 11:54:24.683091,2020-07-11 11:58:40.858239,0 days 00:04:16.175148000,0.49276956675180345,0.4975695197239892,COMPLETE
12,12,-0.205982955582336,2020-07-11 11:58:40.858695,2020-07-11 12:02:55.514279,0 days 00:04:14.655584000,0.4962181260883779,0.481967962286917,COMPLETE
13,13,-0.20487262804476464,2020-07-11 12:02:55.514684,2020-07-11 12:06:48.405076,0 days 00:03:52.890392000,0.496602105951819,0.4303349155555423,COMPLETE
14,14,-0.19976065710905738,2020-07-11 12:06:48.405505,2020-07-11 12:10:06.569550,0 days 00:03:18.164045000,0.40079030725037545,0.18562255153647056,COMPLETE
15,15,-0.20475756343155876,2020-07-11 12:10:06.570010,2020-07-11 12:13:55.262957,0 days 00:03:48.692947000,0.3984484668577988,0.48140080496819326,COMPLETE
16,16,-0.20448645760932468,2020-07-11 12:13:55.263405,2020-07-11 12:17:56.424488,0 days 00:04:01.161083000,0.4994911374781301,0.38585811566281236,COMPLETE
17,17,-0.1977850870528713,2020-07-11 12:17:56.424948,2020-07-11 12:21:10.111555,0 days 00:03:13.686607000,0.0880653917328102,0.45223671849982194,COMPLETE
18,18,-0.2017464770141349,2020-07-11 12:21:10.112014,2020-07-11 12:25:10.672614,0 days 00:04:00.560600000,0.4964042651855609,0.22317879894387682,COMPLETE
19,19,-0.20349149580309964,2020-07-11 12:25:10.673063,2020-07-11 12:29:13.633597,0 days 00:04:02.960534000,0.41747845910771597,0.3548427831988297,COMPLETE
