,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_gamma1,params_gamma2,params_gamma3,state
0,0,-0.38685941675512125,2020-07-21 11:39:26.458463,2020-07-21 12:16:09.713925,0 days 00:36:43.255462000,0.4081665390120932,0.2792190316432095,0.718352053930965,0.043133350209561105,0.5922842671557413,COMPLETE
1,1,-0.3863432591292367,2020-07-21 12:16:09.714598,2020-07-21 12:25:43.265055,0 days 00:09:33.550457000,0.23503386767984347,0.37937303763593744,0.5355627641263012,0.1332313142968622,0.368530873174591,COMPLETE
2,2,-0.3870946420632331,2020-07-21 12:25:43.265671,2020-07-21 12:38:58.209231,0 days 00:13:14.943560000,0.46018093491547063,0.3063044656773624,0.602414487744635,0.1852151327296262,0.41391307326229787,COMPLETE
3,3,-0.35454813071766955,2020-07-21 12:38:58.209828,2020-07-21 12:43:52.551291,0 days 00:04:54.341463000,0.028459599158466187,0.0743584939121037,0.5341396525142816,0.30531243098088323,0.33473233921496626,COMPLETE
4,4,-0.3859257900064934,2020-07-21 12:43:52.551888,2020-07-21 12:53:38.261642,0 days 00:09:45.709754000,0.2964196790857518,0.2996988447956286,0.7080343601056723,0.7894350748058987,0.25109600604468385,COMPLETE
5,5,-0.3869771615521665,2020-07-21 12:53:38.262495,2020-07-21 13:05:07.132953,0 days 00:11:28.870458000,0.3780580570798757,0.37720364640102294,0.8515735792372654,0.5344127548751153,0.7581504598243507,COMPLETE
6,6,-0.38595892014166433,2020-07-21 13:05:07.133524,2020-07-21 13:13:21.894736,0 days 00:08:14.761212000,0.21221066919616938,0.3738585689445429,0.7242573291871427,0.7898754258696041,0.8131842936962854,COMPLETE
7,7,-0.3735149357663778,2020-07-21 13:13:21.895293,2020-07-21 13:24:36.352637,0 days 00:11:14.457344000,0.3523395285144534,0.09880239260637197,0.21732450888660793,0.061341482363189925,0.7885899672653547,COMPLETE
8,8,-0.38807527920199214,2020-07-21 13:24:36.353302,2020-07-21 13:35:50.063202,0 days 00:11:13.709900000,0.4146317268515949,0.3915115768290903,0.14317409499632727,0.5460960701197739,0.4649158797098407,COMPLETE
9,9,-0.3763937933695928,2020-07-21 13:35:50.063773,2020-07-21 13:49:05.691050,0 days 00:13:15.627277000,0.4419319155258046,0.09662367571683739,0.5241198367502852,0.038003850827825536,0.14992213701357326,COMPLETE
10,10,-0.3808419471391418,2020-07-21 13:49:05.691657,2020-07-21 13:55:53.889748,0 days 00:06:48.198091000,0.10526036273803194,0.4633769523704722,0.1346826560364079,0.996992749338663,0.02384584086779895,COMPLETE
11,11,-0.38303028487339386,2020-07-21 13:55:53.890396,2020-07-21 14:09:54.645271,0 days 00:14:00.754875000,0.4886014678517805,0.18997326554269836,0.28933542306618054,0.4869164968876547,0.5308540014022203,COMPLETE
12,12,-0.3902641101587509,2020-07-21 14:09:54.645880,2020-07-21 14:24:45.277902,0 days 00:14:50.632022000,0.48380338847396176,0.4955902861663402,0.0015909733928965997,0.39650982110902777,0.4795743928704389,COMPLETE
13,13,-0.3902220069326672,2020-07-21 14:24:45.278977,2020-07-21 14:41:00.488905,0 days 00:16:15.209928000,0.4812641886997458,0.4861848633016176,0.005111255486207063,0.4563135384869795,0.5464560577389646,COMPLETE
14,14,-0.3902971019057214,2020-07-21 14:41:00.489514,2020-07-21 14:56:28.089061,0 days 00:15:27.599547000,0.47785015155379673,0.4959450595963588,0.00344483706942926,0.40120836118677167,0.9813847132177268,COMPLETE
15,15,-0.3863044716070145,2020-07-21 14:56:28.089764,2020-07-21 15:06:47.894702,0 days 00:10:19.804938000,0.3230164732138121,0.4886687793876445,0.3562240783072073,0.3379604062498096,0.6638725778805976,COMPLETE
16,16,-0.3895923859351852,2020-07-21 15:06:47.895299,2020-07-21 15:21:30.360577,0 days 00:14:42.465278000,0.4994548996682949,0.4371020154461484,0.06718520272719522,0.7166429705632797,0.9258778720766945,COMPLETE
17,17,-0.3576619361042023,2020-07-21 15:21:30.361180,2020-07-21 15:30:05.682865,0 days 00:08:35.321685000,0.17434744144919112,0.016064099351494665,0.3712988120809788,0.32079201307964883,0.908345941941216,COMPLETE
18,18,-0.376813198192615,2020-07-21 15:30:05.683447,2020-07-21 15:43:17.916043,0 days 00:13:12.232596000,0.29481270229153,0.18993437791331913,0.004992140342381796,0.6729683745794239,0.6783376452492405,COMPLETE
19,19,-0.39006896567828653,2020-07-21 15:43:17.916624,2020-07-21 15:55:56.803776,0 days 00:12:38.887152000,0.38353232283209504,0.4348640000285085,0.0009592074375640025,0.21480650227000056,0.21186595731802355,COMPLETE
