,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_gamma1,params_gamma2,params_gamma3,state
0,0,-0.3248421964680671,2020-07-17 13:43:28.562204,2020-07-17 13:51:21.949925,0 days 00:07:53.387721000,0.2853829610744055,0.4817261894117155,0.6505106177070759,0.5280318012783206,0.3186939738606568,COMPLETE
1,1,-0.32158842663383846,2020-07-17 13:51:21.950585,2020-07-17 14:00:34.837724,0 days 00:09:12.887139000,0.33483439699800327,0.24159197050124015,0.7448378676323048,0.911631300959996,0.35462213897235295,COMPLETE
2,2,-0.32630767192251314,2020-07-17 14:00:34.838307,2020-07-17 14:06:56.175231,0 days 00:06:21.336924000,0.13848398281919877,0.4598968649315959,0.9754513281301052,0.5643771869330886,0.6377422580540946,COMPLETE
3,3,-0.3203014726246103,2020-07-17 14:06:56.175818,2020-07-17 14:14:15.614550,0 days 00:07:19.438732000,0.21515987851074597,0.3623411153027952,0.1805944064194811,0.36793134153334905,0.9479414795345904,COMPLETE
4,4,-0.3239733654521772,2020-07-17 14:14:15.615166,2020-07-17 14:20:33.924164,0 days 00:06:18.308998000,0.09792267726541504,0.026419675535776288,0.5622339956221588,0.4764908908961272,0.2590321339557622,COMPLETE
5,5,-0.3216758999194177,2020-07-17 14:20:33.924808,2020-07-17 14:25:18.948407,0 days 00:04:45.023599000,0.03390160314772328,0.13641511787032012,0.9541971604246172,0.6675285635960411,0.7300590620926901,COMPLETE
6,6,-0.31670463642136043,2020-07-17 14:25:18.948949,2020-07-17 14:30:05.834275,0 days 00:04:46.885326000,0.020232512331741115,0.37868170832412673,0.10675417738847948,0.8841335602671939,0.7734983748994734,COMPLETE
7,7,-0.32252425496416515,2020-07-17 14:30:05.834865,2020-07-17 14:36:43.203619,0 days 00:06:37.368754000,0.1521676263074761,0.06520423677029552,0.8223936489633282,0.8163639030722482,0.36389295780917386,COMPLETE
8,8,-0.32198747099839997,2020-07-17 14:36:43.204176,2020-07-17 14:46:40.203404,0 days 00:09:56.999228000,0.4588264932020464,0.3015378155405259,0.9090121262478726,0.9964092960164219,0.28456142814675,COMPLETE
9,9,-0.3320418868479043,2020-07-17 14:46:40.204039,2020-07-17 14:56:01.212113,0 days 00:09:21.008074000,0.4515532681785247,0.45845637063217115,0.9007945462426775,0.22190004286339227,0.6785668579873518,COMPLETE
