,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_beta_re,params_gamma1,params_gamma2,params_gamma3,state
0,0,-0.21231008350999275,2020-07-21 14:18:42.651807,2020-07-21 14:32:25.163093,0 days 00:13:42.511286000,0.14642335672451634,0.06879950096537946,0.38363225536937806,0.1026550608154938,0.8428481933829861,0.6545558867173212,COMPLETE
1,1,-0.38728402740372553,2020-07-21 14:32:25.163871,2020-07-21 14:55:10.593380,0 days 00:22:45.429509000,0.43416249865785683,0.12130137220748649,0.7681258250079926,0.3583042296983884,0.4812140667868062,0.578220656493494,COMPLETE
2,2,-0.3888800745625181,2020-07-21 14:55:10.594121,2020-07-21 15:11:54.966087,0 days 00:16:44.371966000,0.3172146322974645,0.4851576562877071,0.7953311340252794,0.20244767005115671,0.44637137783912306,0.8715102201826254,COMPLETE
3,3,-0.38064118088647647,2020-07-21 15:11:54.966748,2020-07-21 15:28:06.723107,0 days 00:16:11.756359000,0.4476775061023312,0.2984267716053904,0.4013655714028762,0.7847722925977902,0.7998484123498699,0.6282740781065427,COMPLETE
4,4,-0.3454670955962612,2020-07-21 15:28:06.723812,2020-07-21 15:40:54.186535,0 days 00:12:47.462723000,0.03678133429713548,0.4737485867978418,0.7398486479496452,0.6738034547875138,0.4250368244558934,0.22801679690716903,COMPLETE
5,5,-0.3817198848307628,2020-07-21 15:40:54.187194,2020-07-21 15:59:32.526314,0 days 00:18:38.339120000,0.46471893084288923,0.12015620719727649,0.5021040147770128,0.9856255345784068,0.8494296651995554,0.877010980445845,COMPLETE
6,6,-0.16399866834126128,2020-07-21 15:59:32.527073,2020-07-21 16:11:37.376755,0 days 00:12:04.849682000,0.20845266759037523,0.027899407838224366,0.03816630781005059,0.9460422285193704,0.02844543112294684,0.9822054945138987,COMPLETE
7,7,-0.3469367589099479,2020-07-21 16:11:37.377460,2020-07-21 16:21:36.473968,0 days 00:09:59.096508000,0.07083379879301166,0.2242134051487389,0.6512118895273101,0.6943170748729943,0.4535618393217794,0.45951260924025716,COMPLETE
8,8,-0.3888665895511724,2020-07-21 16:21:36.474662,2020-07-21 16:47:58.026873,0 days 00:26:21.552211000,0.4881159566467366,0.24352301048071268,0.8679721356219384,0.9691231489296003,0.5163657217836107,0.6937395778753933,COMPLETE
9,9,-0.38831085290682665,2020-07-21 16:47:58.027564,2020-07-21 17:06:03.257502,0 days 00:18:05.229938000,0.3140510152867775,0.26126483061006067,0.8706787229936779,0.30220320742559503,0.16655561696002497,0.36940867174911374,COMPLETE
10,10,-0.36581610406097786,2020-07-21 17:06:03.258226,2020-07-21 17:19:13.791667,0 days 00:13:10.533441000,0.33282138648161147,0.49892773794657075,0.15681338614033097,0.10635693381694059,0.2679071216720229,0.02569576272896934,COMPLETE
11,11,-0.38968652249541413,2020-07-21 17:19:13.792408,2020-07-21 17:39:42.873711,0 days 00:20:29.081303000,0.36476340148327685,0.3819410302573143,0.96419829511996,0.42682953095702164,0.6016290149761225,0.8165833536771498,COMPLETE
12,12,-0.3897421600874948,2020-07-21 17:39:42.874413,2020-07-21 17:58:19.718627,0 days 00:18:36.844214000,0.34629007371695136,0.4134564974621513,0.9765897368535974,0.42817319662062736,0.6429567617931791,0.8425193361187531,COMPLETE
13,13,-0.38990959873889847,2020-07-21 17:58:19.719252,2020-07-21 18:17:44.722607,0 days 00:19:25.003355000,0.37885011970894766,0.3819146864858811,0.9689516087763955,0.4851489265188366,0.6627256581342196,0.8274012514352013,COMPLETE
14,14,-0.38882861076389047,2020-07-21 18:17:44.723256,2020-07-21 18:32:22.782480,0 days 00:14:38.059224000,0.23728825412809962,0.39109802277386463,0.9591472360147664,0.5441476095810577,0.673073986057729,0.9791462905487602,COMPLETE
15,15,-0.3904008471661395,2020-07-21 18:32:22.783091,2020-07-21 18:56:43.963018,0 days 00:24:21.179927000,0.3960612110410333,0.3832191527180902,0.9974177303576804,0.5542499395778978,0.9862071395044523,0.7733128283576577,COMPLETE
16,16,-0.3899170395724305,2020-07-21 18:56:43.963911,2020-07-21 19:23:20.553425,0 days 00:26:36.589514000,0.3922962651678005,0.3103601772197572,0.9807925141135233,0.5874944584876983,0.9699674688856261,0.7331912383184565,COMPLETE
17,17,-0.38635258009774315,2020-07-21 19:23:20.554727,2020-07-21 19:43:36.381403,0 days 00:20:15.826676000,0.3953039598345652,0.32653915755173885,0.6105340202551923,0.5984388221825706,0.9745805843161461,0.7212400677143893,COMPLETE
18,18,-0.35724916432903236,2020-07-21 19:43:36.382138,2020-07-21 19:58:39.202232,0 days 00:15:02.820094000,0.4996971214471512,0.18646956755187855,0.2354975172898746,0.8294660973913436,0.9973444539894332,0.5055950798301366,COMPLETE
19,19,-0.3854328481481857,2020-07-21 19:58:39.202959,2020-07-21 20:12:43.723731,0 days 00:14:04.520772000,0.2577652367533099,0.30480127204373997,0.6586797680464483,0.5940255868401525,0.9302798243724266,0.7549120146044714,COMPLETE
20,20,-0.38904979555206337,2020-07-21 20:12:43.724382,2020-07-21 20:33:26.615617,0 days 00:20:42.891235000,0.4160748331024834,0.4376799152428541,0.875254696461821,0.7953301387590054,0.7529932586291705,0.3279375987787403,COMPLETE
21,21,-0.3896506336608239,2020-07-21 20:33:26.616371,2020-07-21 20:54:35.836096,0 days 00:21:09.219725000,0.39556977237364294,0.3513453925062922,0.9575669951335415,0.46108966143607877,0.885429874364582,0.9685580884552727,COMPLETE
22,22,-0.3890605333500116,2020-07-21 20:54:35.836737,2020-07-21 21:11:42.625171,0 days 00:17:06.788434000,0.27310142815254546,0.3597651194475754,0.9986796494408662,0.5171786702524747,0.9964969236847027,0.8021014929476514,COMPLETE
23,23,-0.3889066079350085,2020-07-21 21:11:42.625827,2020-07-21 21:35:43.384265,0 days 00:24:00.758438000,0.37387912877264906,0.44160119034109035,0.8906882177443467,0.28492480555696786,0.7414702921851396,0.9225522238354834,COMPLETE
24,24,-0.3876991549190354,2020-07-21 21:35:43.385208,2020-07-21 21:57:36.789393,0 days 00:21:53.404185000,0.2847634791193461,0.28400247964258923,0.8008826885725653,0.6752915142831962,0.30217130692272537,0.5944420896942673,COMPLETE
25,25,-0.38972956752255666,2020-07-21 21:57:36.790116,2020-07-21 22:22:27.308379,0 days 00:24:50.518263000,0.46097070325704226,0.35178865394548864,0.9167409342050244,0.5942604175112037,0.9245723790476903,0.7560499738042145,COMPLETE
26,26,-0.3906047151091782,2020-07-21 22:22:27.309131,2020-07-21 22:45:20.943045,0 days 00:22:53.633914000,0.42109782804120405,0.4150098338899992,0.999179831503291,0.3750899227452368,0.561048240064091,0.4995566944946249,COMPLETE
27,27,-0.39075233555419503,2020-07-21 22:45:20.943712,2020-07-21 23:12:05.058230,0 days 00:26:44.114518000,0.49710820003667366,0.4390917774171121,0.9963485178279762,0.3192680891676992,0.022827781808350267,0.5001085688106065,COMPLETE
28,28,-0.3877916219443006,2020-07-21 23:12:05.058909,2020-07-21 23:32:45.024473,0 days 00:20:39.965564000,0.4918665589740435,0.4503307888780211,0.7345846590644055,0.18965573117293774,0.022636337027650156,0.17892039157360634,COMPLETE
29,29,-0.37449453920427733,2020-07-21 23:32:45.025132,2020-07-21 23:44:29.049249,0 days 00:11:44.024117000,0.1667093646630986,0.4297760004638006,0.4927906052059642,0.3581578020712037,0.12055243435045793,0.4944200589014673,COMPLETE
