,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_gamma1,params_gamma2,params_gamma3,state
0,0,-0.37506120162740847,2020-07-21 12:17:19.624588,2020-07-21 12:26:54.987379,0 days 00:09:35.362791000,0.1775927401425858,0.382008998620579,0.29445840959872094,0.6869573951115698,0.3635010914903142,COMPLETE
1,1,-0.34360913040475355,2020-07-21 12:26:54.988007,2020-07-21 12:31:58.128166,0 days 00:05:03.140159000,0.0451025355140241,0.3950557752860251,0.2527204858899784,0.3834659767226183,0.45027781015436585,COMPLETE
2,2,-0.32751558429855226,2020-07-21 12:31:58.128725,2020-07-21 12:46:48.380119,0 days 00:14:50.251394000,0.480177901092204,0.002881300726637337,0.6843411118666746,0.9234755460312832,0.21699277934129346,COMPLETE
3,3,-0.34560671988046215,2020-07-21 12:46:48.380691,2020-07-21 12:51:45.156749,0 days 00:04:56.776058000,0.05501091164608368,0.3968732767452931,0.41483868131025814,0.1541936873362474,0.18806963858512282,COMPLETE
4,4,-0.3445771855009646,2020-07-21 12:51:45.157368,2020-07-21 12:56:52.390862,0 days 00:05:07.233494000,0.0342257044930358,0.17945261914843907,0.7920647418051038,0.9576504113262748,0.9971759997074819,COMPLETE
5,5,-0.3544922031187385,2020-07-21 12:56:52.391407,2020-07-21 13:09:16.160370,0 days 00:12:23.768963000,0.4239730453499805,0.08438438640315915,0.9477913903678877,0.8431839031622732,0.6112990538952475,COMPLETE
6,6,-0.3604215253663494,2020-07-21 13:09:16.160898,2020-07-21 13:21:16.143577,0 days 00:11:59.982679000,0.4059804287853797,0.1499529447192665,0.006750243667969502,0.9313900343611432,0.05410437854984207,COMPLETE
7,7,-0.3661525897391944,2020-07-21 13:21:16.144197,2020-07-21 13:30:59.295982,0 days 00:09:43.151785000,0.2839859372208239,0.07318755206878602,0.8502569793744931,0.08636201431250223,0.6918918628852986,COMPLETE
8,8,-0.35469436405940474,2020-07-21 13:30:59.296572,2020-07-21 13:42:24.099233,0 days 00:11:24.802661000,0.40492021803377143,0.11192308314788396,0.4624520425853552,0.8898967311394335,0.3787085537891587,COMPLETE
9,9,-0.33459094094285097,2020-07-21 13:42:24.099808,2020-07-21 13:55:12.165723,0 days 00:12:48.065915000,0.4067362725072976,0.009810047854972581,0.7082234150857426,0.8698202541929149,0.877566440021682,COMPLETE
10,10,-0.3813200121005395,2020-07-21 13:55:12.166261,2020-07-21 14:03:42.055617,0 days 00:08:29.889356000,0.1755359009532529,0.4937789677792701,0.06292590937674936,0.6373626302409691,0.31158930448743016,COMPLETE
11,11,-0.38154706449597353,2020-07-21 14:03:42.056168,2020-07-21 14:12:14.043664,0 days 00:08:31.987496000,0.19439789659319912,0.47761048523819427,0.008768777771298475,0.6038440574709659,0.29664845720604194,COMPLETE
12,12,-0.38124716721293517,2020-07-21 14:12:14.044202,2020-07-21 14:20:52.752808,0 days 00:08:38.708606000,0.17386428175366728,0.49588680234196725,0.01248336521090189,0.5301443138398049,0.20253962200079859,COMPLETE
13,13,-0.3824216248914524,2020-07-21 14:20:52.753438,2020-07-21 14:30:52.763347,0 days 00:10:00.009909000,0.2479485542781112,0.48172143724692795,0.12784821621994616,0.5862505355582932,0.006115733749438523,COMPLETE
14,14,-0.3738206540311757,2020-07-21 14:30:52.763973,2020-07-21 14:42:04.314051,0 days 00:11:11.550078000,0.27441216079803266,0.29775144194834036,0.18449542189394824,0.34633604453673356,0.016494731316964852,COMPLETE
15,15,-0.3849014625686045,2020-07-21 14:42:04.315081,2020-07-21 14:53:36.975834,0 days 00:11:32.660753000,0.31877540566679496,0.4658172400741403,0.12292785884687926,0.7061353359873731,0.0032356476125696932,COMPLETE
16,16,-0.37402854890310233,2020-07-21 14:53:36.976441,2020-07-21 15:04:03.612227,0 days 00:10:26.635786000,0.32894572036794084,0.2895887393848744,0.17793352221576136,0.7135160412753817,0.01428999351138054,COMPLETE
17,17,-0.38448542308015377,2020-07-21 15:04:03.612941,2020-07-21 15:14:22.353284,0 days 00:10:18.740343000,0.32608650170429426,0.43069257931970806,0.3669650079797516,0.39909282000687285,0.10813600481901953,COMPLETE
18,18,-0.38458228928489163,2020-07-21 15:14:22.353955,2020-07-21 15:24:40.829435,0 days 00:10:18.475480000,0.3398353808860366,0.4318601577734059,0.3517545873444151,0.39915199861127915,0.12590229595713134,COMPLETE
19,19,-0.38412080319974046,2020-07-21 15:24:40.830072,2020-07-21 15:37:28.758425,0 days 00:12:47.928353000,0.3462761998662218,0.33282288511368097,0.564349399576908,0.2784529580579615,0.14397625297460098,COMPLETE
20,20,-0.37225309985296684,2020-07-21 15:37:28.759122,2020-07-21 15:52:39.949095,0 days 00:15:11.189973000,0.47138605982334614,0.22541873445072474,0.5520484310048801,0.7733789015876692,0.5901086047260217,COMPLETE
21,21,-0.3845660273030531,2020-07-21 15:52:39.949839,2020-07-21 16:03:00.213066,0 days 00:10:20.263227000,0.33498505018227265,0.4323942346153512,0.35570363718342446,0.4358694071474342,0.10182546576732536,COMPLETE
22,22,-0.3849663585342881,2020-07-21 16:03:00.213701,2020-07-21 16:13:37.894897,0 days 00:10:37.681196000,0.35625368626676074,0.4402388248211507,0.32156054153610397,0.4980584433140856,0.0983144528122264,COMPLETE
23,23,-0.38163144599148274,2020-07-21 16:13:37.895520,2020-07-21 16:24:31.811998,0 days 00:10:53.916478000,0.3613633119004148,0.3482706707385256,0.2627328172693863,0.2377700582553336,0.0046629776221027985,COMPLETE
24,24,-0.3806456119605229,2020-07-21 16:24:31.812581,2020-07-21 16:34:30.971044,0 days 00:09:59.158463000,0.24711067988382002,0.44505472699710213,0.12672916807073784,0.5246297721298124,0.26214317947920174,COMPLETE
25,25,-0.38255806064494075,2020-07-21 16:34:30.971723,2020-07-21 16:45:59.071587,0 days 00:11:28.099864000,0.296554261258266,0.44840730718451266,0.31764092113967524,0.4634882979318956,0.09473056203635136,COMPLETE
26,26,-0.38601730320119676,2020-07-21 16:45:59.072208,2020-07-21 16:58:37.752977,0 days 00:12:38.680769000,0.44249890962797916,0.35605336739037236,0.5258249159314818,0.29499807786483767,0.14116057131405788,COMPLETE
27,27,-0.3862597478313965,2020-07-21 16:58:37.753652,2020-07-21 17:11:22.323741,0 days 00:12:44.570089000,0.44452346892945005,0.351437645411995,0.5035050418192196,0.21992060197164773,0.19279421889769932,COMPLETE
28,28,-0.38527260047531187,2020-07-21 17:11:22.324374,2020-07-21 17:24:13.530262,0 days 00:12:51.205888000,0.452662132071808,0.2593148787304027,0.5385327679584538,0.0312539882167544,0.46724494418767337,COMPLETE
29,29,-0.385555110173406,2020-07-21 17:24:13.530916,2020-07-21 17:38:23.317294,0 days 00:14:09.786378000,0.49613670939672255,0.24035632371902074,0.617105501219861,0.024744947908705715,0.412795407166193,COMPLETE
