,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_beta_re,params_gamma1,params_gamma2,params_gamma3,state
0,0,-0.3853254164847233,2020-07-21 14:17:10.583073,2020-07-21 14:36:16.156643,0 days 00:19:05.573570000,0.3146549192212539,0.035888115822428734,0.7914727193006209,0.8426120725943497,0.45386063874937066,0.49218996030710593,COMPLETE
1,1,-0.3823353631797926,2020-07-21 14:36:16.157664,2020-07-21 14:53:01.216254,0 days 00:16:45.058590000,0.3359280578761602,0.2620885451687135,0.49926041052755354,0.9594006913168469,0.32594853183587924,0.6307491173520493,COMPLETE
2,2,-0.3376291588405005,2020-07-21 14:53:01.216933,2020-07-21 15:06:22.944086,0 days 00:13:21.727153000,0.44106396527043806,0.4064761443725838,0.03823141231701599,0.19014281155400015,0.47989809197406075,0.6749469225872554,COMPLETE
3,3,-0.16561832774350477,2020-07-21 15:06:22.944722,2020-07-21 15:16:05.180320,0 days 00:09:42.235598000,0.0714896393540192,0.10201103751951762,0.08821861640947537,0.38416542476023474,0.15292069285091592,0.6611812605575188,COMPLETE
4,4,-0.37641921641865755,2020-07-21 15:16:05.180979,2020-07-21 15:30:21.704792,0 days 00:14:16.523813000,0.32672486129498646,0.3423199139507359,0.3767659251201766,0.47373059659984307,0.8575224456349175,0.6832437976587272,COMPLETE
5,5,-0.38639189035222954,2020-07-21 15:30:21.705430,2020-07-21 15:52:09.126090,0 days 00:21:47.420660000,0.46049552423802936,0.465304498760082,0.511546316617944,0.6508762734379254,0.22336816479277777,0.0035902431294672077,COMPLETE
6,6,-0.1789090472066262,2020-07-21 15:52:09.126792,2020-07-21 15:59:35.770693,0 days 00:07:26.643901000,0.005812672132656904,0.1646589892620443,0.710727125726518,0.7016167119319846,0.8997920669406128,0.12490021476261792,COMPLETE
7,7,-0.29797473161534443,2020-07-21 15:59:35.771290,2020-07-21 16:09:33.339265,0 days 00:09:57.567975000,0.12464100647185411,0.25153618077662215,0.40598038924603097,0.7180851420980816,0.5877165230922493,0.35866901090887826,COMPLETE
8,8,-0.37539738675467066,2020-07-21 16:09:33.339996,2020-07-21 16:24:04.060698,0 days 00:14:30.720702000,0.2940907064669724,0.1930620205330732,0.4742391928109311,0.2567428513853628,0.44647627699494186,0.18911433694873736,COMPLETE
9,9,-0.3864399590482368,2020-07-21 16:24:04.061451,2020-07-21 16:40:38.454062,0 days 00:16:34.392611000,0.21994768529144476,0.1443464482283674,0.8550406706686628,0.7051460454086708,0.2943447131206175,0.13190885453946832,COMPLETE
