,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_gamma1,params_gamma2,params_gamma3,state
0,0,-0.31329082316821555,2020-07-12 03:10:45.360738,2020-07-12 03:17:12.853740,0 days 00:06:27.493002000,0.11502484733981155,0.2950145753307418,0.9685662102392472,0.7306808559849974,0.6528674842604187,COMPLETE
1,1,-0.31371837460451774,2020-07-12 03:17:12.854316,2020-07-12 03:27:08.797343,0 days 00:09:55.943027000,0.44776172818966437,0.32274267945477964,0.8899323298939507,0.8456304713691256,0.2253000712500337,COMPLETE
2,2,-0.31109663025390105,2020-07-12 03:27:08.797888,2020-07-12 03:37:00.064578,0 days 00:09:51.266690000,0.35942268978347547,0.17427293639666352,0.530722160401275,0.9409721006254814,0.35172554752494045,COMPLETE
3,3,-0.31439592529971067,2020-07-12 03:37:00.065124,2020-07-12 03:45:03.785194,0 days 00:08:03.720070000,0.307650567206068,0.43282213390132207,0.7173447595589186,0.3483061844970262,0.20264928754495115,COMPLETE
4,4,-0.3153637645585155,2020-07-12 03:45:03.786154,2020-07-12 03:53:15.971374,0 days 00:08:12.185220000,0.2774975710104248,0.18189051699553815,0.9159717769351893,0.09656908931532326,0.6819320924458233,COMPLETE
5,5,-0.3102356948143435,2020-07-12 03:53:15.971866,2020-07-12 03:58:12.210947,0 days 00:04:56.239081000,0.026657657869625706,0.2966616585304885,0.716759060254331,0.023457405507588236,0.02571651260920138,COMPLETE
6,6,-0.3111010735134764,2020-07-12 03:58:12.211481,2020-07-12 04:06:50.725441,0 days 00:08:38.513960000,0.3175360179917253,0.24636002354306374,0.5604375344923141,0.9536102761963617,0.359030906754253,COMPLETE
7,7,-0.31289503645544675,2020-07-12 04:06:50.725977,2020-07-12 04:13:18.476670,0 days 00:06:27.750693000,0.1451568965865503,0.4167703728543134,0.2393106708335211,0.2070025279321155,0.9665839412169231,COMPLETE
8,8,-0.310319661171638,2020-07-12 04:13:18.477196,2020-07-12 04:23:13.186393,0 days 00:09:54.709197000,0.4392328081023187,0.3411646159483746,0.09635714043366506,0.21669986516350648,0.39171462645668886,COMPLETE
9,9,-0.31508778505582014,2020-07-12 04:23:13.186915,2020-07-12 04:31:37.297163,0 days 00:08:24.110248000,0.2718261864945588,0.09348973841098607,0.514593745272183,0.12412758041165783,0.2133950016051036,COMPLETE
10,10,-0.31138185481931757,2020-07-12 04:31:37.298063,2020-07-12 04:39:45.498424,0 days 00:08:08.200361000,0.18222676157677564,0.010360682406132388,0.3297604709173787,0.5783429851452901,0.7470676293410954,COMPLETE
11,11,-0.31557414246817356,2020-07-12 04:39:45.498931,2020-07-12 04:47:50.821787,0 days 00:08:05.322856000,0.24112427214404653,0.07449377786779346,0.7950500525225921,0.011805850635127207,0.6419038239404562,COMPLETE
12,12,-0.3166205397155838,2020-07-12 04:47:50.822315,2020-07-12 04:55:52.378636,0 days 00:08:01.556321000,0.21472262412714838,0.09502598567492418,0.8470890883441441,0.04850441704798572,0.6945376090469934,COMPLETE
13,13,-0.3138287749525017,2020-07-12 04:55:52.379134,2020-07-12 05:03:53.829005,0 days 00:08:01.449871000,0.2042777914548363,0.004808332786057523,0.7731857072696134,0.41898674522110274,0.875573540971017,COMPLETE
14,14,-0.31700688209739397,2020-07-12 05:03:53.829623,2020-07-12 05:10:17.023755,0 days 00:06:23.194132000,0.07244812340577331,0.07124790665321623,0.8094529397798145,0.03909766120937939,0.5891905618383017,COMPLETE
15,15,-0.31272742758466854,2020-07-12 05:10:17.024340,2020-07-12 05:15:09.039699,0 days 00:04:52.015359000,0.01671641644792561,0.10497622006610338,0.9780080083845198,0.3204123328225743,0.5210836700174133,COMPLETE
16,16,-0.3132469811967308,2020-07-12 05:15:09.040253,2020-07-12 05:21:36.490450,0 days 00:06:27.450197000,0.07962139111952202,0.17094422139415288,0.6307482730458096,0.5933130309178242,0.8198382908695833,COMPLETE
17,17,-0.3164734793645779,2020-07-12 05:21:36.490980,2020-07-12 05:27:59.787775,0 days 00:06:23.296795000,0.056985767315569674,0.04519107513513078,0.40497243067671723,0.006179060849824891,0.534500869448323,COMPLETE
