,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_gamma1,params_gamma2,params_gamma3,state
0,0,-0.17337255592197365,2020-09-20 21:21:18.180697,2020-09-20 21:21:53.520052,0 days 00:00:35.339355000,0.0188277670076219,0.034512287521763496,0.8171854042114213,0.3731061647468158,0.11690462216471398,COMPLETE
1,1,-0.1943836400590464,2020-09-20 21:21:53.520504,2020-09-20 21:22:36.348792,0 days 00:00:42.828288000,0.49408018516566604,0.3369445668839799,0.6566829271804078,0.26968251373212193,0.7403272162578906,COMPLETE
2,2,-0.17153279624949233,2020-09-20 21:22:36.349216,2020-09-20 21:23:11.679876,0 days 00:00:35.330660000,0.020734201664308782,0.009018126855079578,0.03229297368171258,0.10502874418525476,0.9507316232100228,COMPLETE
3,3,-0.18669435377924282,2020-09-20 21:23:11.680305,2020-09-20 21:23:50.017313,0 days 00:00:38.337008000,0.10443544000593513,0.3168958279864362,0.9246210430610821,0.9286141972035638,0.19561160790419685,COMPLETE
4,4,-0.19343306474622737,2020-09-20 21:23:50.017736,2020-09-20 21:24:32.553298,0 days 00:00:42.535562000,0.4671858784007003,0.30837251878816313,0.6273865903497475,0.9660174664110557,0.3443208146523342,COMPLETE
5,5,-0.1883355199665866,2020-09-20 21:24:32.553729,2020-09-20 21:25:11.025145,0 days 00:00:38.471416000,0.1223739437867144,0.3452486795773104,0.6777804095291652,0.14990047087264713,0.043624000230437776,COMPLETE
6,6,-0.18759149860580207,2020-09-20 21:25:11.025573,2020-09-20 21:25:53.250890,0 days 00:00:42.225317000,0.4181656606365042,0.15797673618228197,0.7129285240534726,0.377870729474868,0.24339991630914093,COMPLETE
7,7,-0.18081177632414755,2020-09-20 21:25:53.251311,2020-09-20 21:26:29.715374,0 days 00:00:36.464063000,0.06568470285412298,0.19247135959835165,0.46237002060604193,0.3330106182313908,0.10112043768076895,COMPLETE
8,8,-0.18881087123855825,2020-09-20 21:26:29.715788,2020-09-20 21:27:11.186538,0 days 00:00:41.470750000,0.404245523955365,0.18508010122612978,0.7633161543696222,0.6833414826817322,0.25764767364837715,COMPLETE
9,9,-0.18192991354737093,2020-09-20 21:27:11.186986,2020-09-20 21:27:51.592044,0 days 00:00:40.405058000,0.2634791747469457,0.10596367900650755,0.3650538607528907,0.643323850310427,0.47422645775342476,COMPLETE
