,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_gamma1,params_gamma2,params_gamma3,state
0,0,-0.18687345993020893,2020-08-07 13:35:56.118218,2020-08-07 13:53:43.475395,0 days 00:17:47.357177000,0.14101153446601705,0.10677160961859472,0.3457545229334956,0.641432313528445,0.2262776418458421,COMPLETE
1,1,-0.1817060008357898,2020-08-07 13:53:43.475865,2020-08-07 14:07:43.661085,0 days 00:14:00.185220000,0.054569025983291664,0.21078151896158087,0.037896456002331824,0.23952218609026266,0.012616529660820164,COMPLETE
2,2,-0.1861247367028824,2020-08-07 14:07:43.661526,2020-08-07 14:25:03.723113,0 days 00:17:20.061587000,0.07747751464390212,0.018265414909897026,0.3673556081761794,0.3276553040070711,0.44447935495344193,COMPLETE
3,3,-0.19033129462095916,2020-08-07 14:25:03.723716,2020-08-07 14:42:35.225678,0 days 00:17:31.501962000,0.08158262494473684,0.1681755247856226,0.4649866396476058,0.2695768882774937,0.524762599814931,COMPLETE
4,4,-0.20119834810730364,2020-08-07 14:42:35.226116,2020-08-07 15:03:00.366310,0 days 00:20:25.140194000,0.16411009349663314,0.336348467907267,0.052133569719087225,0.8313988833582808,0.17057645228386342,COMPLETE
5,5,-0.18655465199842436,2020-08-07 15:03:00.366754,2020-08-07 15:20:21.571965,0 days 00:17:21.205211000,0.10814035211105688,0.1164723391125505,0.18938911333967556,0.5238479540963282,0.10545058457548329,COMPLETE
6,6,-0.20146079124320454,2020-08-07 15:20:21.572415,2020-08-07 15:41:53.404835,0 days 00:21:31.832420000,0.24489885509956455,0.4132703838426739,0.9392086927241902,0.13041537776006373,0.5045144963630167,COMPLETE
7,7,-0.18333426306347933,2020-08-07 15:41:53.405272,2020-08-07 16:12:37.614682,0 days 00:30:44.209410000,0.3765085583113777,0.01896107301694072,0.26785231692804246,0.8331935085210844,0.20561080578253643,COMPLETE
8,8,-0.20135911337626233,2020-08-07 16:12:37.615119,2020-08-07 16:34:19.613275,0 days 00:21:41.998156000,0.24311467318602598,0.4196787909120868,0.19382129215960797,0.8729812850371715,0.7645425964474164,COMPLETE
9,9,-0.20207546701611945,2020-08-07 16:34:19.613884,2020-08-07 16:56:02.366301,0 days 00:21:42.752417000,0.20577347840678178,0.08430759246548952,0.00037989479557420935,0.5066156368170429,0.572526303125267,COMPLETE
10,10,-0.2008252676361471,2020-08-07 16:56:02.366741,2020-08-07 17:29:50.455401,0 days 00:33:48.088660000,0.4975384026817612,0.2947772869112536,0.7521661350947249,0.6428730496914332,0.7957196514923612,COMPLETE
11,11,-0.2026512570182305,2020-08-07 17:29:50.455842,2020-08-07 17:55:14.210445,0 days 00:25:23.754603000,0.29576014356194924,0.4854558332310958,0.9812688084151703,0.11691015204073818,0.5569061055929017,COMPLETE
12,12,-0.20379336058982886,2020-08-07 17:55:14.210891,2020-08-07 18:20:45.926421,0 days 00:25:31.715530000,0.340433284518052,0.4825284881608579,0.701370727763976,0.028524113462899958,0.6273821230884047,COMPLETE
13,13,-0.20428800699756755,2020-08-07 18:20:45.926865,2020-08-07 18:46:24.821543,0 days 00:25:38.894678000,0.3492809846493643,0.4905726972010468,0.7077429989862858,0.022795100676127042,0.655422213170866,COMPLETE
14,14,-0.20330306749653437,2020-08-07 18:46:24.821983,2020-08-07 19:15:25.295010,0 days 00:29:00.473027000,0.39285205595366224,0.45923049043166964,0.6804566390259112,0.03555331537555173,0.9989727114313243,COMPLETE
15,15,-0.20314549802335746,2020-08-07 19:15:25.295446,2020-08-07 19:41:03.085302,0 days 00:25:37.789856000,0.3467957913992588,0.37686040954910316,0.6824052498839455,0.003950545249094082,0.7290668758447432,COMPLETE
16,16,-0.20589267072630987,2020-08-07 19:41:03.085746,2020-08-07 20:11:32.623549,0 days 00:30:29.537803000,0.45172298166503166,0.4912727182689408,0.8182058522060152,0.006394448419276055,0.9525637790032668,COMPLETE
17,17,-0.20500536533068744,2020-08-07 20:11:32.623991,2020-08-07 20:42:45.687255,0 days 00:31:13.063264000,0.4663585117117389,0.4948542490035665,0.8362825260588794,0.3707668888629566,0.9681889039736706,COMPLETE
18,18,-0.20085495423298036,2020-08-07 20:42:45.687698,2020-08-07 21:16:15.190008,0 days 00:33:29.502310000,0.49654400138823357,0.278106828044531,0.8496465293826372,0.3562000464066865,0.9890998666663419,COMPLETE
19,19,-0.20210349486110407,2020-08-07 21:16:15.190447,2020-08-07 21:46:35.800104,0 days 00:30:20.609657000,0.4499923588044055,0.35196178161741826,0.871835041745656,0.18339724859598552,0.9073032163295556,COMPLETE
20,20,-0.2028055659236456,2020-08-07 21:46:35.800552,2020-08-07 22:16:48.758772,0 days 00:30:12.958220000,0.45058060488143864,0.434367883626391,0.5727292316798327,0.4230126729508874,0.8610159404332738,COMPLETE
21,21,-0.20544760208769247,2020-08-07 22:16:48.759209,2020-08-07 22:46:39.586511,0 days 00:29:50.827302000,0.43235367331285607,0.487507090700995,0.8121245538771702,0.0001723490120750619,0.37910243604784966,COMPLETE
22,22,-0.2027428068094918,2020-08-07 22:46:39.586942,2020-08-07 23:16:31.013875,0 days 00:29:51.426933000,0.43210599174230735,0.40210243578725957,0.8266298325502078,0.11342950670123671,0.3781198105365735,COMPLETE
23,23,-0.20485703458081378,2020-08-07 23:16:31.014303,2020-08-07 23:49:09.846651,0 days 00:32:38.832348000,0.4919677490650453,0.4997053662687001,0.5713067333176848,0.9990574941603814,0.3153756467401406,COMPLETE
24,24,-0.2030302344186523,2020-08-07 23:49:09.847074,2020-08-08 00:18:40.567883,0 days 00:29:30.720809000,0.4151566802727463,0.4538216983869814,0.9232189814274265,0.6381468027774952,0.9015293286530702,COMPLETE
25,25,-0.2022032063790941,2020-08-08 00:18:40.568313,2020-08-08 00:49:36.663968,0 days 00:30:56.095655000,0.4636198165801913,0.3745044275530812,0.7919587956475378,0.22302758694892175,0.3309734898512098,COMPLETE
26,26,-0.2029041093594699,2020-08-08 00:49:36.664432,2020-08-08 01:18:50.432132,0 days 00:29:13.767700000,0.3977116661654119,0.45762362397489603,0.5945892894389366,0.09522286305968884,0.4217145337827866,COMPLETE
27,27,-0.1999187125419491,2020-08-08 01:18:50.432577,2020-08-08 01:44:11.179621,0 days 00:25:20.747044000,0.30464117374871696,0.3095736387740629,0.9954718336425994,0.4142775722845104,0.992633516034167,COMPLETE
28,28,-0.2051776079742173,2020-08-08 01:44:11.180150,2020-08-08 02:17:02.622893,0 days 00:32:51.442743000,0.48648487371807897,0.4948956230526631,0.913960595661617,0.572534316699226,0.8392124175340164,COMPLETE
29,29,-0.20231336432212693,2020-08-08 02:17:02.623322,2020-08-08 02:50:16.813822,0 days 00:33:14.190500000,0.49745770244979043,0.394887868392375,0.9081914558117764,0.6285094308440107,0.28157366005846207,COMPLETE
