,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_gamma1,params_gamma2,params_gamma3,state
0,0,-0.19665519737547232,2020-08-27 06:49:48.500499,2020-08-27 07:04:32.381176,0 days 00:14:43.880677000,0.1983475693715545,0.23743372123894846,0.1483319895225409,0.23032277606321538,0.4402850869905792,COMPLETE
1,1,-0.21307436893396345,2020-08-27 07:04:32.381757,2020-08-27 07:25:22.545740,0 days 00:20:50.163983000,0.4024580233558605,0.34405121273904454,0.05277050552001472,0.7886467932232472,0.9136212496416187,COMPLETE
2,2,-0.19917638719020236,2020-08-27 07:25:22.546209,2020-08-27 07:37:35.764869,0 days 00:12:13.218660000,0.15223313785962672,0.42143485971817407,0.6797773023813358,0.8751332752937442,0.9077341780530374,COMPLETE
3,3,-0.19364505566974338,2020-08-27 07:37:35.765347,2020-08-27 07:57:47.227461,0 days 00:20:11.462114000,0.36377129484088827,0.03825210840498949,0.5575606545560999,0.3759554153435427,0.40872903910073843,COMPLETE
4,4,-0.1922919347359449,2020-08-27 07:57:47.227923,2020-08-27 08:09:31.913550,0 days 00:11:44.685627000,0.14451510482776153,0.17563743548948296,0.03120072840650523,0.7408198891246669,0.7236202565684434,COMPLETE
5,5,-0.1948093481792475,2020-08-27 08:09:31.914013,2020-08-27 08:24:05.938315,0 days 00:14:34.024302000,0.18554853721839093,0.15493416015876177,0.025050296664461347,0.1502181145040451,0.7772474611729039,COMPLETE
6,6,-0.19728667837633812,2020-08-27 08:24:05.938775,2020-08-27 08:35:44.622515,0 days 00:11:38.683740000,0.11678801208668566,0.3657637917703065,0.17917783367328521,0.5406016567260488,0.6695671742027032,COMPLETE
7,7,-0.20034444963568054,2020-08-27 08:35:44.622974,2020-08-27 08:53:30.376805,0 days 00:17:45.753831000,0.3764384263528432,0.2594551508195098,0.7164084581404393,0.4264607600384235,0.5862123888553056,COMPLETE
8,8,-0.199812316668962,2020-08-27 08:53:30.377272,2020-08-27 09:14:19.063921,0 days 00:20:48.686649000,0.46919335319228617,0.21263139866659714,0.7554658570341175,0.5952339919788094,0.36720086712447286,COMPLETE
9,9,-0.20106065307519566,2020-08-27 09:14:19.064385,2020-08-27 09:29:44.639147,0 days 00:15:25.574762000,0.2758449880239286,0.2925816745683441,0.7451636724051384,0.012260639799361761,0.2635760526124832,COMPLETE
