,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_gamma1,params_gamma2,params_gamma3,state
0,0,-0.18693734662764466,2020-08-21 16:03:11.136571,2020-08-21 16:22:01.808713,0 days 00:18:50.672142000,0.39511831071605075,0.055155539416877564,0.5153572039908685,0.8671512737408003,0.3522476036557577,COMPLETE
1,1,-0.19368393725332014,2020-08-21 16:22:01.809211,2020-08-21 16:38:37.436427,0 days 00:16:35.627216000,0.2994945019835889,0.12480311535645061,0.700232382477979,0.2377656374284841,0.7019970362810646,COMPLETE
2,2,-0.1967590444080201,2020-08-21 16:38:37.436881,2020-08-21 16:55:01.702808,0 days 00:16:24.265927000,0.32870410989609405,0.1877033733954035,0.8314908767421934,0.11050623397073633,0.5886332979841004,COMPLETE
3,3,-0.20023912888826456,2020-08-21 16:55:01.703268,2020-08-21 17:11:37.095830,0 days 00:16:35.392562000,0.3415763163096462,0.4757705590184289,0.31076901485627995,0.39127323934947555,0.414442214631518,COMPLETE
4,4,-0.20201651418890498,2020-08-21 17:11:37.096272,2020-08-21 17:29:05.964840,0 days 00:17:28.868568000,0.38944628039890944,0.49472992635469315,0.13372515384271844,0.12481393547121189,0.41027071575485596,COMPLETE
5,5,-0.18483468417495966,2020-08-21 17:29:05.965282,2020-08-21 17:50:31.284746,0 days 00:21:25.319464000,0.46603781000577976,0.03055847488749991,0.4191352231062323,0.8996923395803093,0.8389651190223236,COMPLETE
6,6,-0.19373696589184214,2020-08-21 17:50:31.285205,2020-08-21 18:07:27.719658,0 days 00:16:56.434453000,0.37933226189599,0.18725160725548806,0.27229494383187924,0.3544773274970533,0.07572361263331917,COMPLETE
7,7,-0.18811327183116489,2020-08-21 18:07:27.720112,2020-08-21 18:22:31.902262,0 days 00:15:04.182150000,0.2620205320340882,0.10593251747219123,0.1345152841947881,0.8773355577085172,0.7348449035590274,COMPLETE
8,8,-0.19549891170549805,2020-08-21 18:22:31.902703,2020-08-21 18:43:17.501728,0 days 00:20:45.599025000,0.4939866077884003,0.19929768924912017,0.5865497213831226,0.7373700182498366,0.5913883118080931,COMPLETE
9,9,-0.20129088740243034,2020-08-21 18:43:17.502182,2020-08-21 19:03:36.940308,0 days 00:20:19.438126000,0.4960675383672334,0.4155345896425412,0.15201459106973758,0.20746572655050632,0.29794520819031034,COMPLETE
10,10,-0.19522402428200197,2020-08-21 19:03:36.940805,2020-08-21 19:14:58.780775,0 days 00:11:21.839970000,0.12424866856751701,0.34604348363486986,0.028419196104296163,0.01113419856733365,0.19415606357392787,COMPLETE
11,11,-0.2119561453034967,2020-08-21 19:14:58.781221,2020-08-21 19:36:49.114667,0 days 00:21:50.333446000,0.4959590032633943,0.47887710127278643,0.025362412659767367,0.1315232672860659,0.22525726974385113,COMPLETE
12,12,-0.21580987881076918,2020-08-21 19:36:49.115166,2020-08-21 19:48:15.174365,0 days 00:11:26.059199000,0.15319050665410355,0.4672894322594068,0.009992800951735749,0.6487043120588047,0.092908549813978,COMPLETE
13,13,-0.21367613634153187,2020-08-21 19:48:15.174811,2020-08-21 19:59:12.803667,0 days 00:10:57.628856000,0.1505693402932945,0.35394201275949094,0.0037098085571418693,0.63506912531623,0.0012733807557223087,COMPLETE
14,14,-0.20081306598244741,2020-08-21 19:59:12.804137,2020-08-21 20:10:31.566716,0 days 00:11:18.762579000,0.1409100670680512,0.33380520395205016,0.018884866261810962,0.638216205946915,0.008046981989208932,COMPLETE
15,15,-0.1882164502577667,2020-08-21 20:10:31.567175,2020-08-21 20:18:59.537323,0 days 00:08:27.970148000,0.008279081724539256,0.3282436872521483,0.943432719248466,0.5594254899602282,0.002474397894083998,COMPLETE
