,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_gamma1,params_gamma2,params_gamma3,state
0,0,-0.18382567680890638,2020-08-07 13:36:09.885913,2020-08-07 13:49:57.694200,0 days 00:13:47.808287000,0.23914515763197042,0.01946773658840506,0.5239324404016151,0.5383792466119494,0.7523801168769308,COMPLETE
1,1,-0.18952979400081027,2020-08-07 13:49:57.694666,2020-08-07 14:01:03.801213,0 days 00:11:06.106547000,0.1351216740755975,0.23309675712052136,0.570470479265023,0.9197643605973597,0.24490508376561404,COMPLETE
2,2,-0.19168670166897278,2020-08-07 14:01:03.801649,2020-08-07 14:13:03.160952,0 days 00:11:59.359303000,0.1614030843870295,0.2605486126034497,0.1992001906846863,0.554151444164124,0.8974546033574692,COMPLETE
3,3,-0.19543788466289674,2020-08-07 14:13:03.161387,2020-08-07 14:34:24.270928,0 days 00:21:21.109541000,0.4848350189804395,0.1256047334594893,0.6925539502179724,0.25534453582586614,0.722733647371155,COMPLETE
4,4,-0.20135311468531025,2020-08-07 14:34:24.271376,2020-08-07 14:53:02.299906,0 days 00:18:38.028530000,0.4084631351126685,0.4134133862297749,0.17437030875536141,0.06651796183755032,0.09187926903122445,COMPLETE
5,5,-0.20389313780221566,2020-08-07 14:53:02.300365,2020-08-07 15:13:46.985270,0 days 00:20:44.684905000,0.4939604250914995,0.40538710565123165,0.39909846851924446,0.8733657247861766,0.3362022617272984,COMPLETE
6,6,-0.19422062267886142,2020-08-07 15:13:46.985733,2020-08-07 15:27:38.123574,0 days 00:13:51.137841000,0.25833504954105374,0.24111611230452523,0.7750213637082563,0.8622277179247685,0.04521283240764662,COMPLETE
7,7,-0.19474849715138742,2020-08-07 15:27:38.124025,2020-08-07 15:41:30.168664,0 days 00:13:52.044639000,0.23820292281775557,0.16733790220820827,0.3364805116055878,0.07644708268430367,0.6260919162285327,COMPLETE
8,8,-0.19118300237098815,2020-08-07 15:41:30.169121,2020-08-07 15:55:24.490378,0 days 00:13:54.321257000,0.24008575926690567,0.07475216990395861,0.8907608699055406,0.1508458771679152,0.0903450766671755,COMPLETE
9,9,-0.18245714390455992,2020-08-07 15:55:24.490832,2020-08-07 16:09:11.791528,0 days 00:13:47.300696000,0.2053732133544886,0.014789126979256939,0.4249795511350516,0.5565803221629432,0.8650235985871956,COMPLETE
10,10,-0.18593801120283654,2020-08-07 16:09:11.792116,2020-08-07 16:17:36.006859,0 days 00:08:24.214743000,0.0036026698349805875,0.4935555474402749,0.07180415798071305,0.7690037893104407,0.36885082571509265,COMPLETE
11,11,-0.22381274731811152,2020-08-07 16:17:36.007312,2020-08-07 16:39:47.059468,0 days 00:22:11.052156000,0.49826769748872124,0.4349730734704099,0.000347768207598409,0.3005046284440407,0.2560527960108525,COMPLETE
12,12,-0.2161726529033589,2020-08-07 16:39:47.059917,2020-08-07 17:01:11.501331,0 days 00:21:24.441414000,0.493620983732559,0.38795808552357197,0.022935457861944675,0.30904140776204486,0.38643908329892296,COMPLETE
13,13,-0.20717564411562955,2020-08-07 17:01:11.501781,2020-08-07 17:19:00.973688,0 days 00:17:49.471907000,0.37421950489414507,0.3842393832395573,0.05058392061775663,0.3048939638925976,0.4643167361286238,COMPLETE
14,14,-0.22170438236787188,2020-08-07 17:19:00.974135,2020-08-07 17:37:53.031709,0 days 00:18:52.057574000,0.40555785064050826,0.4970882945908931,0.015295523676715436,0.32833819597470726,0.22830048294422273,COMPLETE
15,15,-0.20552636215886982,2020-08-07 17:37:53.032176,2020-08-07 17:55:24.784408,0 days 00:17:31.752232000,0.3870319284227268,0.4897664535036311,0.17884808385706802,0.4034317387019425,0.213282362637604,COMPLETE
16,16,-0.1981776302822457,2020-08-07 17:55:24.784865,2020-08-07 18:13:47.550020,0 days 00:18:22.765155000,0.43641124435465173,0.3178906064643188,0.3019155362593981,0.4124814571733548,0.19432799612323792,COMPLETE
17,17,-0.22290457908255645,2020-08-07 18:13:47.550471,2020-08-07 18:30:05.483195,0 days 00:16:17.932724000,0.3445189745628665,0.46491263234102986,0.002551788355703709,0.710661474323168,0.518352047072103,COMPLETE
18,18,-0.20090279698780195,2020-08-07 18:30:05.483654,2020-08-07 18:46:14.449182,0 days 00:16:08.965528000,0.3273104973986563,0.4476659315482345,0.9879712950895716,0.70500150883685,0.5478202683971694,COMPLETE
19,19,-0.20088652161575715,2020-08-07 18:46:14.449622,2020-08-07 19:02:16.070026,0 days 00:16:01.620404000,0.31613364955661377,0.32494151831142243,0.1392738332823077,0.6699510587046554,0.5179127303948498,COMPLETE
20,20,-0.1896485929031273,2020-08-07 19:02:16.070519,2020-08-07 19:12:15.723735,0 days 00:09:59.653216000,0.060930898496271035,0.3290483582250543,0.2604444261498647,0.18636721562845454,0.702050245247416,COMPLETE
21,21,-0.22071668913918757,2020-08-07 19:12:15.724179,2020-08-07 19:32:37.370893,0 days 00:20:21.646714000,0.4509275693357856,0.46064103583128513,0.019658737857013296,0.3685154763737964,0.2960246067555351,COMPLETE
22,22,-0.22146706582662545,2020-08-07 19:32:37.371340,2020-08-07 19:48:47.320362,0 days 00:16:09.949022000,0.3355197836648115,0.4526837791109754,0.008426181522556916,0.4720102536990446,0.15431884528123074,COMPLETE
23,23,-0.21454204941546304,2020-08-07 19:48:47.320814,2020-08-07 20:08:46.339590,0 days 00:19:59.018776000,0.4516707628055462,0.4862916331384125,0.09891690351948819,0.6430766077694888,0.40422466312693517,COMPLETE
24,24,-0.2174878385600949,2020-08-07 20:08:46.340032,2020-08-07 20:26:32.826073,0 days 00:17:46.486041000,0.3685778418740362,0.36619931512019716,0.005275864961360258,0.16838825595616225,0.4580922790095521,COMPLETE
25,25,-0.19999328383203055,2020-08-07 20:26:32.826522,2020-08-07 20:41:32.409785,0 days 00:14:59.583263000,0.2887538003099731,0.43775269141987094,0.24434320483941085,0.4735568369154617,0.5675111686438025,COMPLETE
26,26,-0.21435608680832607,2020-08-07 20:41:32.410229,2020-08-07 21:00:19.710822,0 days 00:18:47.300593000,0.42244529206302006,0.49463363335094385,0.112848368801034,0.791688294302415,0.29822503586153915,COMPLETE
27,27,-0.2040428363388398,2020-08-07 21:00:19.711272,2020-08-07 21:16:51.759142,0 days 00:16:32.047870000,0.36585789353043563,0.42462875863627453,0.0934789209289432,0.2799341405778244,0.0006957322540111222,COMPLETE
28,28,-0.22183956091693124,2020-08-07 21:16:51.759588,2020-08-07 21:37:38.693282,0 days 00:20:46.933694000,0.46326598672144814,0.3543074753475258,0.007638964340686129,0.985197862800786,0.6160198044496932,COMPLETE
29,29,-0.20101684418886134,2020-08-07 21:37:38.693727,2020-08-07 21:56:58.861607,0 days 00:19:20.167880000,0.47000897649036183,0.3608953977136487,0.4823126213476205,0.9815623178513674,0.829583739947149,COMPLETE
