,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_gamma1,params_gamma2,params_gamma3,state
0,0,-0.19819945592147253,2020-08-21 16:09:15.938501,2020-08-21 16:20:20.899375,0 days 00:11:04.960874000,0.06397655935273155,0.4488288748583816,0.7196964367288142,0.6855505669246083,0.470065524886234,COMPLETE
1,1,-0.19674789630828707,2020-08-21 16:20:20.899837,2020-08-21 16:31:38.495523,0 days 00:11:17.595686000,0.07775859426087306,0.2917722613058135,0.8631807703565975,0.5709184672839611,0.07459768570422565,COMPLETE
2,2,-0.20010885979682597,2020-08-21 16:31:38.495977,2020-08-21 16:43:14.865714,0 days 00:11:36.369737000,0.12133240565667347,0.34810948998468283,0.8319871034932206,0.04925647949329859,0.5263603209806877,COMPLETE
3,3,-0.19596655534821417,2020-08-21 16:43:14.866149,2020-08-21 16:57:46.334676,0 days 00:14:31.468527000,0.26414272445256803,0.11518061808818436,0.8998933862312471,0.693437677071568,0.9903321523517307,COMPLETE
4,4,-0.1972129452362177,2020-08-21 16:57:46.335120,2020-08-21 17:14:39.077842,0 days 00:16:52.742722000,0.32863213795788465,0.15040483357603435,0.7375594385434092,0.7783637027540672,0.45866785088430373,COMPLETE
5,5,-0.19933870491907313,2020-08-21 17:14:39.078320,2020-08-21 17:28:18.625378,0 days 00:13:39.547058000,0.19422912281468624,0.2733147517107446,0.2353877472208573,0.9793822881525149,0.41979751983761027,COMPLETE
6,6,-0.19374686908894667,2020-08-21 17:28:18.625847,2020-08-21 17:42:14.420359,0 days 00:13:55.794512000,0.207193289355456,0.07555797233020917,0.7603505716216585,0.7079682273560588,0.4561491325726441,COMPLETE
7,7,-0.19440550814222712,2020-08-21 17:42:14.420819,2020-08-21 17:53:24.998153,0 days 00:11:10.577334000,0.10019425665219778,0.22700830319245419,0.18711048588276724,0.42746039520469203,0.8701204111219677,COMPLETE
8,8,-0.20602394364790744,2020-08-21 17:53:24.998603,2020-08-21 18:12:24.559694,0 days 00:18:59.561091000,0.4129744963062153,0.4816236585567588,0.45954412275902046,0.8343145295416635,0.6169255992083551,COMPLETE
9,9,-0.1918209071355742,2020-08-21 18:12:24.560147,2020-08-21 18:33:20.239168,0 days 00:20:55.679021000,0.4538239210056135,0.059671221128656415,0.07354412664073007,0.2173376383524258,0.4304476238960513,COMPLETE
