,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_beta,params_embedding_dim,params_kappa1,params_kappa2,params_kappa3,params_lambada_,params_lr,params_lr_decay_rate,params_mu,params_warmup,params_weight_decay,state
0,0,-0.17023205777170947,2020-08-17 00:06:06.251910,2020-08-17 00:54:45.653574,0 days 00:48:39.401664000,512,0.20902444800643694,64.0,0.9597851394143988,0.3103932601918783,0.294039097835577,0.01927581133430578,0.00025811857069379593,0.5538675784816209,0.5678586338763341,39,2.79962318220308e-05,COMPLETE
1,1,-0.19801263691880397,2020-08-17 00:54:45.654269,2020-08-17 01:54:23.450061,0 days 00:59:37.795792000,384,0.32516197113042034,112.0,0.46870420312309247,0.42147864853061967,0.32774301600774924,0.6941736965386462,0.0077764402083284525,0.7514633370419994,0.3069089813327036,15,0.004400750583447856,COMPLETE
2,2,-0.19000180255168309,2020-08-17 01:54:23.450727,2020-08-17 02:41:59.107335,0 days 00:47:35.656608000,512,0.3988001960624812,112.0,0.18471810535310007,0.5126069632251861,0.7673927507427986,0.22488798276155209,0.00032657977557292497,0.818930228647149,0.340929676355204,42,0.0009722355027422192,COMPLETE
3,3,-0.21316538118637257,2020-08-17 02:41:59.108008,2020-08-17 03:34:48.944306,0 days 00:52:49.836298000,512,0.4436353699527661,48.0,0.10403648423060585,0.8665395487417275,0.9854195268136497,0.14026626688689425,0.0008834774813273861,0.6700274736361951,0.6442202273885107,12,7.816097933207577e-05,COMPLETE
4,4,-0.15710459786264344,2020-08-17 03:34:48.945026,2020-08-17 04:20:46.568019,0 days 00:45:57.622993000,512,0.11668822629870218,112.0,0.1894841761152556,0.32507606064786365,0.2111205871509655,0.5736559609071957,0.0002699406936810192,0.9377478406209188,0.16910606661747896,88,6.435976549569538e-05,COMPLETE
5,5,-0.18521284086672485,2020-08-17 04:20:46.568730,2020-08-17 05:10:15.186825,0 days 00:49:28.618095000,512,0.2268684502447738,64.0,0.6118223999883302,0.09641518947910888,0.8472214632116912,0.19159755739797202,0.000692698998558816,0.9367557550270816,0.37417535078615516,31,2.036150064315107e-05,COMPLETE
6,6,-0.174787118395465,2020-08-17 05:10:15.187506,2020-08-17 06:05:45.600946,0 days 00:55:30.413440000,512,0.06071482243519133,128.0,0.6846157574919421,0.20240520835622355,0.6076472498879861,0.02194287992574706,0.004031872633123155,0.9866521294964118,0.509687408414266,35,1.157007909357149e-06,COMPLETE
7,7,-0.207384923922143,2020-08-17 06:05:45.601622,2020-08-17 07:43:58.815140,0 days 01:38:13.213518000,512,0.38116440968376636,32.0,0.7406399715159586,0.25938501428767946,0.6490331081007382,0.08168563987944655,0.0025164979212806953,0.7550638059812651,0.9341617040334202,54,0.004968366342428988,COMPLETE
8,8,-0.17619214204800243,2020-08-17 07:43:58.815825,2020-08-17 09:02:08.994511,0 days 01:18:10.178686000,256,0.3129824390008364,96.0,0.6531591940019783,0.6004279652887997,0.6486822939123303,0.24918631293882176,0.0001526401096509627,0.5236521619842985,0.9991410861159069,44,0.0006394135241805026,COMPLETE
9,9,-0.18496487789625413,2020-08-17 09:02:08.995215,2020-08-17 09:49:39.775511,0 days 00:47:30.780296000,512,0.3845205817207001,112.0,0.7855884584030376,0.9893503683538344,0.36726326459925784,0.4817228243521522,0.003766483358327958,0.8809891696160671,0.11536933847788644,29,1.2974112585804835e-05,COMPLETE
10,10,-0.21844121276444994,2020-08-17 09:49:39.776321,2020-08-17 10:57:03.480725,0 days 01:07:23.704404000,384,0.49875846035802124,16.0,0.026173730447397583,0.9800754796016111,0.9684415779777104,0.9340061726115998,0.0011345864783969847,0.622295035145108,0.7677568079691903,77,1.939882131198715e-06,COMPLETE
11,11,-0.21881514135298635,2020-08-17 10:57:03.481403,2020-08-17 12:04:15.821881,0 days 01:07:12.340478000,384,0.4913419463653123,16.0,0.06854731183582316,0.966778538016682,0.9812669483569622,0.9518643225014701,0.001146320277401991,0.6223429225738932,0.7457110154851733,82,2.7073801808576795e-06,COMPLETE
12,12,-0.2213586506889874,2020-08-17 12:04:15.822588,2020-08-17 13:18:04.969035,0 days 01:13:49.146447000,384,0.49708518760061243,16.0,0.005158951236098039,0.7876139921683394,0.010339645161975108,0.9908414397346876,0.0015814377102179229,0.6148472866682705,0.7974050247319205,83,1.082850780600549e-06,COMPLETE
13,13,-0.21004498517990372,2020-08-17 13:18:04.969719,2020-08-17 14:47:30.405757,0 days 01:29:25.436038000,256,0.49724370901996373,16.0,0.33610940639732073,0.7519718657100587,0.0033003151845578307,0.9558113465661204,0.0018667945207922513,0.6294789455536782,0.8468462894234331,100,4.75916039260598e-06,COMPLETE
14,14,-0.21714814880041597,2020-08-17 14:47:30.406455,2020-08-17 15:52:24.556889,0 days 01:04:54.150434000,384,0.48276560105842764,32.0,0.0013426694664643857,0.7830960914954948,0.0019291796795896828,0.8118035627855194,0.001666865434901012,0.6775061411958069,0.6777612917926481,75,1.04020234915762e-06,COMPLETE
15,15,-0.20900686558732184,2020-08-17 15:52:24.557568,2020-08-17 16:59:12.348603,0 days 01:06:47.791035000,384,0.4484372913738814,16.0,0.30907772606365197,0.6753971017639704,0.1158531499521723,0.8325967751513594,0.000603051581147942,0.5713510671813263,0.8140027276485025,69,5.481961804595621e-06,COMPLETE
16,16,-0.22156436786579617,2020-08-17 16:59:12.349279,2020-08-17 19:06:33.065744,0 days 02:07:20.716465000,256,0.294113122819968,32.0,0.034269461073425996,0.899466086480363,0.4636428754168822,0.9948908120137107,0.007831236792465893,0.6919776331330538,0.9249797740361181,93,3.2729155683927787e-06,COMPLETE
17,17,-0.17722919278281585,2020-08-17 19:06:33.066413,2020-08-17 20:42:22.834454,0 days 01:35:49.768041000,256,0.2861292438069057,48.0,0.3108672201956722,0.8732031445456554,0.48774030186135503,0.4247278816437999,0.008739737205241004,0.6954651398227084,0.9639349482525089,98,0.000333550925854687,COMPLETE
18,18,-0.18987240792323828,2020-08-17 20:42:22.835171,2020-08-17 22:12:28.220935,0 days 01:30:05.385764000,256,0.14978080099045282,32.0,0.19888223945358652,0.85707278858966,0.47046550376651153,0.726688221729112,0.005957629396453758,0.7974409582375172,0.8942972572835091,63,7.5755265522282e-06,COMPLETE
19,19,-0.1736473179959835,2020-08-17 22:12:28.221622,2020-08-17 23:40:29.427736,0 days 01:28:01.206114000,256,0.043967453133231166,80.0,0.5003604865454557,0.642753149195911,0.14526824557918544,0.9892616530979652,0.004233135557336493,0.5095785876227592,0.6523094880235603,87,1.4572167391462685e-06,COMPLETE
20,20,-0.16542983307817605,2020-08-17 23:40:29.428497,2020-08-18 01:59:18.019963,0 days 02:18:48.591466000,384,0.0024709095719916974,48.0,0.9780461800332907,0.7486339211364124,0.09782336716265727,0.8483351852453564,0.0022015747972058664,0.5834955088620465,0.9795715758477959,94,0.00020466155268364041,COMPLETE
21,21,-0.21884896021571915,2020-08-18 01:59:18.020691,2020-08-18 03:07:37.302970,0 days 01:08:19.282279000,384,0.43554150149968784,16.0,0.0010805088876696886,0.9526549691473918,0.8600799298469054,0.9869924270112527,0.001170500519316414,0.6248343845111641,0.7378953434386725,82,2.6582788850237775e-06,COMPLETE
22,22,-0.21503273791492394,2020-08-18 03:07:37.303667,2020-08-18 04:12:33.017331,0 days 01:04:55.713664000,384,0.42026844145757125,32.0,0.006491907244674397,0.9330173134626277,0.8318830562149542,0.8961435060622884,0.0004468489420581906,0.7077931462501535,0.7463804596650498,91,3.887957478661734e-06,COMPLETE
23,23,-0.21521882798859998,2020-08-18 04:12:33.018025,2020-08-18 05:28:55.415962,0 days 01:16:22.397937000,384,0.35756091926767614,16.0,0.10267089023327575,0.8184457605639749,0.5768720038679571,0.9997666517244153,0.001560681855952785,0.6474150318784738,0.8530974902853341,61,1.204427176393356e-05,COMPLETE
24,24,-0.20334593559165268,2020-08-18 05:28:55.416690,2020-08-18 06:30:54.020306,0 days 01:01:58.603616000,384,0.2603261975501665,32.0,0.003030736841760421,0.9039711389552065,0.7615243977608792,0.7314747984026638,0.002870867159924399,0.599044142149692,0.5828116638799469,82,1.1068501257277914e-06,COMPLETE
25,25,-0.18323694922836675,2020-08-18 06:30:54.021047,2020-08-18 07:50:39.699348,0 days 01:19:45.678301000,256,0.19459627150011768,48.0,0.13732972441732397,0.9955308722935343,0.41544148918196727,0.6056352417892148,0.00011990038888708432,0.7236870009859572,0.8890894869274595,72,2.35988821103129e-06,COMPLETE
26,26,-0.20597458870439106,2020-08-18 07:50:39.700039,2020-08-18 09:03:22.798070,0 days 01:12:43.098031000,384,0.3413667988978456,16.0,0.24728692032534838,0.7024238432172917,0.22631229179304205,0.873250917490718,0.005479588506927471,0.5470665641737893,0.7111148476708042,100,4.184268929806822e-05,COMPLETE
27,27,-0.20454474396888134,2020-08-18 09:03:22.798786,2020-08-18 10:14:08.553133,0 days 01:10:45.754347000,384,0.4299050293407838,32.0,0.4193069491966083,0.5589231554455475,0.8789045702321578,0.998065803847644,0.0012895895161832878,0.7881148271088828,0.812451752066342,83,6.2947295780834365e-06,COMPLETE
28,28,-0.20539314867617203,2020-08-18 10:14:08.553823,2020-08-18 11:26:26.082847,0 days 01:12:17.529024000,256,0.46809221646139854,64.0,0.0761389646263724,0.9155873990439449,0.7175431228059577,0.364681082330893,0.000532538171578809,0.6566682514493304,0.4299801241653236,93,1.0201424499538393e-06,COMPLETE
29,29,-0.20816513408267057,2020-08-18 11:26:26.083546,2020-08-18 12:30:19.944639,0 days 01:03:53.861093000,384,0.27174054079254945,80.0,0.0015784336633353213,0.8093839340989479,0.5474809429827867,0.7793203349281601,0.0007543485238486591,0.5539969832715834,0.6052850857727131,65,3.360531571733036e-05,COMPLETE
