h_entity,t_entity,relation
2255,1276,0
4823,872,0
2461,1043,0
1590,1272,0
4469,1130,0
2394,118,0
3019,316,0
4525,1288,0
2937,27,0
5207,742,0
4802,826,0
1846,1178,0
4836,118,0
4920,361,0
2342,1189,0
1777,226,0
4426,1207,0
3582,648,0
4491,816,0
4386,602,0
4117,860,0
4556,302,0
2906,106,0
3645,253,0
2756,1049,0
2896,1391,0
5288,562,0
4942,1165,0
1986,253,0
3707,1165,0
5075,474,0
4499,1369,0
2674,572,0
4435,1159,0
4553,1547,0
4699,768,0
3700,846,0
3439,758,0
4935,724,0
5183,1426,0
3871,1235,0
4530,585,0
2314,243,0
4959,998,0
4904,334,0
3093,139,0
1760,1175,0
5170,1409,0
4217,1165,0
3101,591,0
4217,1165,0
4946,1005,0
4742,1222,0
4217,1165,0
3384,137,0
2131,705,0
2183,416,0
1820,253,0
3839,732,0
3276,491,0
4389,1465,0
4533,1221,0
2176,620,0
2277,1165,0
3597,1420,0
3976,567,0
3195,526,0
3501,761,0
3539,901,0
2851,851,0
5045,253,0
5380,1346,0
1993,502,0
2563,32,0
3941,1199,0
2687,515,0
4988,1100,0
3105,520,0
2374,490,0
3415,334,0
3789,472,0
3269,1264,0
2616,199,0
2844,1300,0
3077,1420,0
3970,1032,0
3229,926,0
4310,839,0
4841,1453,0
1683,839,0
4404,714,0
4337,1237,0
4489,992,0
3209,207,0
3368,629,0
3223,66,0
5025,388,0
4726,1252,0
2000,979,0
2076,217,0
4161,1256,0
1582,987,0
4957,1171,0
2085,1159,0
1816,484,0
5368,1390,0
1903,1388,0
3882,1231,0
1703,249,0
4911,1408,0
3839,1115,0
5127,1264,0
4687,1039,0
4736,1104,0
3403,887,0
2794,1090,0
4769,1470,0
4513,698,0
1865,675,0
5144,1462,0
3180,897,0
1639,380,0
1936,1567,0
5128,492,0
5211,1260,0
5258,1130,0
5378,1514,0
4035,941,0
3576,1034,0
4621,1020,0
2460,1194,0
2835,1175,0
2609,1211,0
3878,644,0
4880,1489,0
3691,253,0
3046,800,0
2125,760,0
1606,1020,0
2140,839,0
2122,1544,0
2570,1131,0
2400,9,0
1854,30,0
2080,1035,0
3250,1165,0
4923,839,0
2120,123,0
5155,561,0
2363,1020,0
4340,438,0
2544,1222,0
4748,568,0
4489,841,0
3404,927,0
4217,1165,0
2630,1028,0
1656,1175,0
2477,1444,0
3908,1436,0
1995,1226,0
4061,294,0
2754,137,0
4217,1165,0
4739,1130,0
3545,1130,0
2762,1512,0
2139,866,0
2336,1133,0
3852,1462,0
2689,590,0
2062,1104,0
4942,1165,0
5172,590,0
2405,1019,0
2346,1199,0
2131,1020,0
2844,338,0
1914,462,0
2073,5,0
4267,698,0
4180,237,0
2946,1190,0
4211,209,0
3421,1444,0
5122,1305,0
2920,1031,0
4348,865,0
2619,1175,0
2789,646,0
2856,780,0
4225,142,0
4428,294,0
1631,568,0
4253,1313,0
4502,938,0
5211,686,0
2049,462,0
3274,1094,0
3008,855,0
4910,874,0
2752,951,0
4541,759,0
5132,816,0
1924,954,0
3051,512,0
2264,372,0
4825,896,0
4217,1165,0
1700,1474,0
5020,448,0
1764,298,0
4261,279,0
4940,1267,0
2918,1317,0
4341,336,0
2445,188,0
4755,648,0
4274,1206,0
3741,457,0
4831,585,0
3122,1371,0
5221,391,0
1756,713,0
3151,1580,0
3809,520,0
4026,685,0
2486,613,0
4963,478,0
3294,1165,0
3890,1013,0
1766,1262,0
2906,265,0
3265,1222,0
4281,1020,0
4526,463,0
2925,732,0
3175,459,0
5267,253,0
4667,646,0
4062,1549,0
3010,1112,0
5312,896,0
3676,915,0
1681,560,0
2425,552,0
3658,1260,0
4967,316,0
2806,1380,0
1631,345,0
4310,128,0
4148,1165,0
4711,1495,0
4924,128,0
4931,1062,0
4524,989,0
5339,328,0
3804,828,0
3096,922,0
5172,1155,0
4016,1298,0
2481,197,0
4958,373,0
4070,629,0
4854,1258,0
4671,209,0
1697,752,0
2401,674,0
3080,680,0
4802,294,0
1597,189,0
3494,284,0
4356,471,0
3161,1109,0
3250,1165,0
2262,128,0
