h_entity,t_entity,relation
1753,340,0
3884,1531,0
2930,699,0
3290,299,0
4271,55,0
1750,817,0
3926,576,0
3977,340,0
2578,1494,0
4206,1482,0
5097,155,0
4518,1240,0
4979,1265,0
4926,520,0
4076,879,0
2937,542,0
2429,1087,0
2493,1087,0
1633,491,0
2097,1122,0
3338,36,0
2801,933,0
3553,1227,0
2451,1500,0
5031,634,0
2184,738,0
2705,340,0
2927,55,0
1657,1122,0
3579,522,0
2332,738,0
4260,1060,0
3609,806,0
3008,1040,0
4063,563,0
3710,1210,0
1828,814,0
3315,568,0
5333,629,0
3132,55,0
4668,1578,0
3990,656,0
3958,1453,0
4595,1107,0
4035,1009,0
2312,699,0
2014,1276,0
3755,981,0
2834,860,0
3207,243,0
3784,1219,0
4296,1371,0
1898,723,0
3501,1276,0
3233,778,0
4714,302,0
1640,1365,0
2804,641,0
2734,1087,0
1675,55,0
1716,636,0
4933,919,0
3838,820,0
2922,738,0
4420,863,0
4547,131,0
2568,1037,0
2939,1276,0
3927,738,0
5030,1290,0
4408,1037,0
5134,718,0
2593,163,0
5154,340,0
2749,1551,0
2415,656,0
5315,1442,0
1907,654,0
3004,132,0
1637,1383,0
2587,928,0
4795,1183,0
3111,1478,0
3597,694,0
2269,1574,0
3106,1207,0
3237,1219,0
5096,758,0
3904,922,0
2493,1087,0
5392,239,0
3656,496,0
2129,1037,0
3584,879,0
2782,1478,0
4321,87,0
4388,738,0
2144,637,0
2696,1084,0
4275,1440,0
5188,182,0
1845,1037,0
4066,1478,0
3779,336,0
2836,17,0
3307,1390,0
3398,23,0
4321,363,0
2344,1283,0
3035,1140,0
3422,1087,0
3096,48,0
2170,1311,0
4051,1073,0
3505,299,0
3945,1420,0
2699,319,0
4698,918,0
4434,593,0
3451,657,0
2760,19,0
5032,71,0
4400,1074,0
4404,47,0
3281,1177,0
5286,972,0
5331,1333,0
1912,1569,0
2734,1087,0
3351,299,0
5301,940,0
3787,174,0
4603,318,0
3803,299,0
5347,1253,0
5377,462,0
3550,1286,0
4551,467,0
3042,1087,0
2689,1560,0
2128,1037,0
2007,242,0
3037,1037,0
2734,1087,0
3284,59,0
4356,848,0
3255,149,0
4884,618,0
4322,125,0
4090,112,0
4550,1037,0
4603,876,0
2261,1087,0
1925,467,0
1604,638,0
3413,376,0
4862,1248,0
4445,234,0
5051,1276,0
3421,1226,0
3741,188,0
4970,375,0
4706,358,0
2726,366,0
4698,340,0
3933,1084,0
3231,1469,0
4273,1219,0
1603,1059,0
3657,258,0
5042,198,0
1938,570,0
3976,1276,0
3171,543,0
2814,1037,0
3801,402,0
2397,501,0
2179,665,0
3139,299,0
5136,699,0
2370,547,0
3886,2,0
3328,1052,0
2258,1190,0
1989,1276,0
4219,1128,0
5192,899,0
2285,1447,0
4431,1037,0
1756,32,0
3002,955,0
2547,691,0
5042,1285,0
4981,1557,0
3615,939,0
4487,738,0
2175,306,0
2839,975,0
1821,1453,0
5291,641,0
4451,1253,0
1725,16,0
2649,522,0
4969,88,0
5220,1037,0
3430,879,0
2261,1087,0
5250,1174,0
3935,738,0
4944,41,0
2864,893,0
1976,418,0
1629,1531,0
3540,634,0
4104,735,0
2337,1277,0
3967,1278,0
5309,203,0
3407,922,0
3585,422,0
4573,603,0
2098,730,0
2592,1253,0
4339,933,0
2385,1563,0
4316,1359,0
2768,912,0
3644,1344,0
4775,1122,0
2673,1478,0
1838,594,0
2313,522,0
2979,873,0
3110,543,0
4342,1290,0
5316,882,0
3133,28,0
3722,1500,0
4171,1042,0
3737,1037,0
1810,738,0
5086,1500,0
2273,299,0
3501,1253,0
3058,59,0
2943,179,0
5342,1031,0
2661,295,0
1743,841,0
4340,817,0
3194,1511,0
2451,214,0
3139,1219,0
1842,1501,0
1751,1325,0
3775,344,0
2287,1283,0
3828,1423,0
2257,641,0
1878,799,0
2114,1087,0
2951,299,0
2493,1087,0
4172,1159,0
4505,1383,0
3843,239,0
3560,641,0
2271,1025,0
2312,481,0
4567,1240,0
2109,1253,0
5239,1243,0
3347,1273,0
3085,1090,0
2324,687,0
3332,55,0
4260,1263,0
2700,332,0
4258,1229,0
4065,1183,0
2478,1415,0
3327,544,0
2661,257,0
1992,1133,0
4219,47,0
2316,1086,0
2315,1181,0
5048,1473,0
3243,1548,0
5183,102,0
5017,1363,0
4801,1037,0
2692,1276,0
4754,1084,0
3495,1248,0
2317,1104,0
2586,676,0
3197,547,0
2357,766,0
2538,1563,0
4213,275,0
2172,786,0
4220,1264,0
3300,661,0
2884,522,0
2638,1276,0
2392,390,0
1759,1253,0
3590,1104,0
1897,721,0
4042,1104,0
3067,1180,0
3828,699,0
3974,583,0
3099,931,0
3868,1481,0
4300,937,0
1620,708,0
4365,1328,0
4098,19,0
1858,486,0
5139,129,0
2337,686,0
2326,839,0
4458,143,0
2586,242,0
3704,346,0
5277,1550,0
3630,586,0
4386,879,0
2176,1228,0
3529,73,0
3317,1500,0
2579,937,0
2128,55,0
2261,1087,0
1779,754,0
3033,699,0
4830,1037,0
4137,1134,0
5183,319,0
2261,1087,0
4442,340,0
4020,19,0
3989,127,0
2234,895,0
2919,617,0
3829,1487,0
2231,658,0
4142,1497,0
5323,1414,0
5350,974,0
4840,1133,0
5252,343,0
5034,414,0
3967,1476,0
2871,610,0
4938,1253,0
5083,55,0
3987,933,0
2514,522,0
3407,505,0
4415,873,0
4515,421,0
2276,547,0
3797,339,0
3288,219,0
2312,1525,0
2493,1087,0
2276,839,0
4916,1299,0
4937,810,0
2734,1087,0
3201,1033,0
3826,303,0
4862,615,0
3452,1219,0
2606,74,0
2920,216,0
2015,695,0
4424,1288,0
2674,1365,0
3375,817,0
3590,455,0
5344,1017,0
3456,264,0
3403,879,0
4313,1177,0
2337,577,0
4526,1004,0
3067,13,0
2288,96,0
3899,656,0
3894,860,0
4776,684,0
1661,387,0
3462,1122,0
2080,937,0
2766,1084,0
1978,1283,0
3392,620,0
3255,169,0
3006,1084,0
3095,210,0
2586,1501,0
2535,171,0
3106,144,0
4544,1146,0
2972,1563,0
2014,738,0
