reviewerID,asin
172,340
2303,1531
1349,699
1709,299
2690,55
169,817
2345,576
2396,340
997,1494
2625,1482
3516,155
2937,1240
3398,1265
3345,520
2495,879
1356,542
848,1087
912,1087
52,491
516,1122
1757,36
1220,933
1972,1227
870,1500
3450,634
603,738
1124,340
1346,55
76,1122
1998,522
751,738
2679,1060
2028,806
1427,1040
2482,563
2129,1210
247,814
1734,568
3752,629
1551,55
3087,1578
2409,656
2377,1453
3014,1107
2454,1009
731,699
433,1276
2174,981
1253,860
1626,243
2203,1219
2715,1371
317,723
1920,1276
1652,778
3133,302
59,1365
1223,641
1153,1087
94,55
135,636
3352,919
2257,820
1341,738
2839,863
2966,131
987,1037
1358,1276
2346,738
3449,1290
2827,1037
3553,718
1012,163
3573,340
1168,1551
834,656
3734,1442
326,654
1423,132
56,1383
1006,928
3214,1183
1530,1478
2016,694
688,1574
1525,1207
1656,1219
3515,758
2323,922
912,1087
3811,239
2075,496
548,1037
2003,879
1201,1478
2740,87
2807,738
563,637
1115,1084
2694,1440
3607,182
264,1037
2485,1478
2198,336
1255,17
1726,1390
1817,23
2740,363
763,1283
1454,1140
1841,1087
1515,48
589,1311
2470,1073
1924,299
2364,1420
1118,319
3117,918
2853,593
1870,657
1179,19
3451,71
2819,1074
2823,47
1700,1177
3705,972
3750,1333
331,1569
1153,1087
1770,299
3720,940
2206,174
3022,318
2222,299
3766,1253
3796,462
1969,1286
2970,467
1461,1087
1108,1560
547,1037
426,242
1456,1037
1153,1087
1703,59
2775,848
1674,149
3303,618
2741,125
2509,112
2969,1037
3022,876
680,1087
344,467
23,638
1832,376
3281,1248
2864,234
3470,1276
1840,1226
2160,188
3389,375
3125,358
1145,366
3117,340
2352,1084
1650,1469
2692,1219
22,1059
2076,258
3461,198
357,570
2395,1276
1590,543
1233,1037
2220,402
816,501
598,665
1558,299
3555,699
789,547
2305,2
1747,1052
677,1190
408,1276
2638,1128
3611,899
704,1447
2850,1037
175,32
1421,955
966,691
3461,1285
3400,1557
2034,939
2906,738
594,306
1258,975
240,1453
3710,641
2870,1253
144,16
1068,522
3388,88
3639,1037
1849,879
680,1087
3669,1174
2354,738
3363,41
1283,893
395,418
48,1531
1959,634
2523,735
756,1277
2386,1278
3728,203
1826,922
2004,422
2992,603
517,730
1011,1253
2758,933
804,1563
2735,1359
1187,912
2063,1344
3194,1122
1092,1478
257,594
732,522
1398,873
1529,543
2761,1290
3735,882
1552,28
2141,1500
2590,1042
2156,1037
229,738
3505,1500
692,299
1920,1253
1477,59
1362,179
3761,1031
1080,295
162,841
2759,817
1613,1511
870,214
1558,1219
261,1501
170,1325
2194,344
706,1283
2247,1423
676,641
297,799
533,1087
1370,299
912,1087
2591,1159
2924,1383
2262,239
1979,641
690,1025
731,481
2986,1240
528,1253
3658,1243
1766,1273
1504,1090
743,687
1751,55
2679,1263
1119,332
2677,1229
2484,1183
897,1415
1746,544
1080,257
411,1133
2638,47
735,1086
734,1181
3467,1473
1662,1548
3602,102
3436,1363
3220,1037
1111,1276
3173,1084
1914,1248
736,1104
1005,676
1616,547
776,766
957,1563
2632,275
591,786
2639,1264
1719,661
1303,522
1057,1276
811,390
178,1253
2009,1104
316,721
2461,1104
1486,1180
2247,699
2393,583
1518,931
2287,1481
2719,937
39,708
2784,1328
2517,19
277,486
3558,129
756,686
745,839
2877,143
1005,242
2123,346
3696,1550
2049,586
2805,879
595,1228
1948,73
1736,1500
998,937
547,55
680,1087
198,754
1452,699
3249,1037
2556,1134
3602,319
680,1087
2861,340
2439,19
2408,127
653,895
1338,617
2248,1487
650,658
2561,1497
3742,1414
3769,974
3259,1133
3671,343
3453,414
2386,1476
1290,610
3357,1253
3502,55
2406,933
933,522
1826,505
2834,873
2934,421
695,547
2216,339
1707,219
731,1525
912,1087
695,839
3335,1299
3356,810
1153,1087
1620,1033
2245,303
3281,615
1871,1219
1025,74
1339,216
434,695
2843,1288
1093,1365
1794,817
2009,455
3763,1017
1875,264
1822,879
2732,1177
756,577
2945,1004
1486,13
707,96
2318,656
2313,860
3195,684
80,387
1881,1122
499,937
1185,1084
397,1283
1811,620
1674,169
1425,1084
1514,210
1005,1501
954,171
1525,144
2963,1146
1391,1563
433,738
3274,972
2285,1383
2703,1575
1986,633
1587,1087
36,190
375,55
660,19
187,459
3330,1479
3449,791
996,1219
2405,374
2276,1210
3413,590
