h_entity,t_entity,relation
1732,1322,0
2462,1233,0
4867,541,0
2080,655,0
3305,371,0
2602,1408,0
4576,49,0
4634,352,0
5260,847,0
3085,778,0
1700,730,0
2141,920,0
4765,417,0
3572,1122,0
3393,933,0
4829,1355,0
3912,49,0
2331,799,0
4858,657,0
4322,1155,0
2369,386,0
1586,655,0
4934,24,0
2454,536,0
2336,293,0
3049,81,0
4975,823,0
4057,1477,0
3051,81,0
2136,1171,0
3778,388,0
5227,1206,0
1919,487,0
3028,101,0
4104,97,0
4844,1376,0
4125,352,0
4518,852,0
2286,62,0
2150,862,0
5161,1451,0
5019,516,0
4416,897,0
4385,298,0
2752,1102,0
2944,898,0
3350,1319,0
3206,61,0
4876,1267,0
4024,1018,0
4853,721,0
2730,999,0
3164,775,0
3498,505,0
3470,152,0
3083,700,0
4949,1068,0
2851,20,0
2476,1096,0
2038,214,0
5374,1516,0
2541,318,0
2811,1574,0
4315,1158,0
1969,376,0
3451,213,0
2519,516,0
2100,918,0
2795,552,0
3166,436,0
3638,119,0
4467,61,0
5236,1447,0
2589,49,0
4694,884,0
3148,138,0
1661,541,0
2806,1277,0
2117,1173,0
3383,1515,0
4259,1301,0
2519,1168,0
4439,1579,0
4261,1563,0
5381,9,0
4009,298,0
2599,400,0
3599,1173,0
4208,1128,0
4342,352,0
2567,1202,0
4913,999,0
2866,1455,0
4842,1366,0
3906,713,0
3177,1302,0
4957,1375,0
2699,1156,0
3694,889,0
3690,1409,0
1647,318,0
2120,1398,0
1934,639,0
4590,911,0
3585,86,0
2863,1175,0
3610,1379,0
4951,173,0
4537,1045,0
3388,1367,0
3405,593,0
4919,1332,0
3212,436,0
3514,1167,0
4869,1559,0
4151,1065,0
4144,797,0
2102,1394,0
5040,1106,0
1937,1289,0
2206,431,0
2038,107,0
4071,1409,0
3370,1147,0
4597,1030,0
4359,823,0
4470,1285,0
5203,868,0
2724,150,0
4065,1488,0
3399,1217,0
2969,691,0
2773,840,0
4298,1516,0
5249,298,0
5117,674,0
1985,1068,0
5242,1271,0
4631,624,0
2715,304,0
3858,1158,0
4313,999,0
3225,1081,0
3455,1303,0
4550,1068,0
3293,1265,0
3638,403,0
2999,436,0
2114,436,0
1718,810,0
3445,1516,0
1757,376,0
5250,1203,0
1762,1068,0
2033,1166,0
2953,298,0
3192,388,0
4076,310,0
3793,1007,0
2192,144,0
3410,799,0
2833,376,0
3734,1102,0
2920,1134,0
2452,335,0
4847,1454,0
2200,1492,0
4408,940,0
5316,689,0
2404,624,0
2764,49,0
4173,844,0
2219,376,0
4501,81,0
4881,1460,0
3998,726,0
2130,1004,0
2910,304,0
1920,376,0
3578,567,0
2156,620,0
5028,1208,0
2314,820,0
5254,1117,0
2689,794,0
5071,1516,0
2925,1102,0
2913,868,0
3815,81,0
5373,730,0
2472,76,0
2945,632,0
2127,1099,0
1843,1515,0
1698,713,0
2710,109,0
3059,525,0
3461,403,0
4854,235,0
1652,713,0
1971,976,0
3831,1467,0
1752,352,0
5160,1090,0
4390,403,0
2347,525,0
2216,336,0
4338,567,0
3559,436,0
1752,999,0
4842,61,0
2674,1486,0
5161,1451,0
3088,1518,0
3648,311,0
2601,1419,0
3854,1451,0
3638,342,0
4543,660,0
3676,823,0
3154,1144,0
1895,1006,0
2616,470,0
4752,586,0
4016,1501,0
3986,730,0
3397,61,0
2597,601,0
1701,388,0
3609,61,0
3967,1068,0
3710,1018,0
2604,1578,0
3977,331,0
4071,1138,0
4563,49,0
4117,76,0
3649,1153,0
3744,1200,0
3205,999,0
1880,742,0
3375,748,0
4896,558,0
2185,1111,0
1962,180,0
1944,1267,0
2867,103,0
3950,1375,0
4550,1516,0
4751,462,0
5373,1423,0
4369,261,0
4733,376,0
3577,571,0
2178,1516,0
3702,1082,0
1934,1396,0
4607,681,0
2636,130,0
4585,753,0
3295,689,0
1964,95,0
3898,1326,0
3229,508,0
2487,384,0
2570,61,0
5042,266,0
3290,601,0
4782,1528,0
2137,756,0
3435,1373,0
4357,233,0
2117,1480,0
5372,1102,0
1999,525,0
4934,194,0
1945,361,0
3240,475,0
3279,49,0
1603,133,0
4412,994,0
3895,1394,0
4779,186,0
3904,619,0
3393,578,0
2570,61,0
4457,502,0
4544,853,0
3580,1322,0
2234,1516,0
1685,376,0
3855,525,0
5329,884,0
2410,329,0
5162,1337,0
5250,267,0
4967,361,0
5106,940,0
4902,1385,0
3388,95,0
1675,800,0
4488,227,0
1726,352,0
1645,1569,0
2809,1391,0
4866,542,0
3678,1345,0
3022,1068,0
4534,677,0
3433,150,0
3515,131,0
2836,594,0
4948,735,0
1956,524,0
5390,168,0
2969,138,0
2754,778,0
4457,729,0
3733,525,0
3741,1228,0
2191,1423,0
4901,383,0
5377,130,0
2268,972,0
4208,15,0
2859,1289,0
2113,655,0
2680,1099,0
2537,1254,0
2246,1038,0
5271,436,0
4963,1267,0
2088,1414,0
3646,910,0
4816,81,0
4258,528,0
2288,908,0
4237,1436,0
2500,267,0
3188,376,0
5185,260,0
4499,1517,0
4279,342,0
5334,1182,0
2502,61,0
4172,167,0
3162,395,0
4088,519,0
2187,436,0
1645,966,0
3697,1038,0
2513,1394,0
5316,537,0
3792,957,0
3656,1251,0
2583,1068,0
4950,1018,0
2979,1018,0
2570,61,0
4126,525,0
4223,361,0
4546,1385,0
5168,81,0
2642,1578,0
4277,1284,0
3473,1451,0
3379,601,0
2125,128,0
3525,361,0
2482,1543,0
1910,986,0
2705,1498,0
3635,1168,0
4253,283,0
1634,687,0
2618,189,0
2069,1068,0
1692,352,0
3397,61,0
2300,85,0
4670,691,0
4067,754,0
4410,1373,0
3728,832,0
1985,1516,0
2065,1548,0
2189,1042,0
4057,1260,0
3816,1516,0
4642,924,0
3309,1440,0
3559,1018,0
3343,81,0
4229,332,0
3201,1421,0
4205,629,0
1715,1068,0
4092,999,0
4595,1447,0
4842,61,0
3989,538,0
2076,1516,0
4620,471,0
2566,827,0
4205,204,0
2155,298,0
4490,13,0
3381,361,0
4988,1521,0
4223,436,0
2976,1406,0
3280,852,0
4090,157,0
4761,977,0
2017,947,0
4706,451,0
3613,1462,0
3432,847,0
3109,436,0
2361,1552,0
3651,1068,0
2024,1367,0
3499,1529,0
2737,626,0
3915,1146,0
4934,1520,0
4786,1068,0
1972,716,0
5386,376,0
3967,1516,0
4089,1227,0
4233,855,0
3665,729,0
4812,138,0
3465,1370,0
1851,1234,0
1949,1288,0
5283,578,0
5307,1210,0
1647,659,0
2023,1167,0
5061,1525,0
5172,999,0
4784,436,0
4558,436,0
1640,61,0
2915,1395,0
4820,1576,0
4171,222,0
4986,1394,0
4132,782,0
3470,1482,0
2551,1491,0
3324,878,0
2491,1018,0
