reviewerID,asin
151,1322
881,1233
3286,541
499,655
1724,371
1021,1408
2995,49
3053,352
3679,847
1504,778
119,730
560,920
3184,417
1991,1122
1812,933
3248,1355
2331,49
750,799
3277,657
2741,1155
788,386
5,655
3353,24
873,536
755,293
1468,81
3394,823
2476,1477
1470,81
555,1171
2197,388
3646,1206
338,487
1447,101
2523,97
3263,1376
2544,352
2937,852
705,62
569,862
3580,1451
3438,516
2835,897
2804,298
1171,1102
1363,898
1769,1319
1625,61
3295,1267
2443,1018
3272,721
1149,999
1583,775
1917,505
1889,152
1502,700
3368,1068
1270,20
895,1096
457,214
3793,1516
960,318
1230,1574
2734,1158
388,376
1870,213
938,516
519,918
1214,552
1585,436
2057,119
2886,61
3655,1447
1008,49
3113,884
1567,138
80,541
1225,1277
536,1173
1802,1515
2678,1301
938,1168
2858,1579
2680,1563
3800,9
2428,298
1018,400
2018,1173
2627,1128
2761,352
986,1202
3332,999
1285,1455
3261,1366
2325,713
1596,1302
3376,1375
1118,1156
2113,889
2109,1409
66,318
539,1398
353,639
3009,911
2004,86
1282,1175
2029,1379
3370,173
2956,1045
1807,1367
1824,593
3338,1332
1631,436
1933,1167
3288,1559
2570,1065
2563,797
521,1394
3459,1106
356,1289
625,431
457,107
2490,1409
1789,1147
3016,1030
2778,823
2889,1285
3622,868
1143,150
2484,1488
1818,1217
1388,691
1192,840
2717,1516
3668,298
3536,674
404,1068
3661,1271
3050,624
1134,304
2277,1158
2732,999
1644,1081
1874,1303
2969,1068
1712,1265
2057,403
1418,436
533,436
137,810
1864,1516
176,376
3669,1203
181,1068
452,1166
1372,298
1611,388
2495,310
2212,1007
611,144
1829,799
1252,376
2153,1102
1339,1134
871,335
3266,1454
619,1492
2827,940
3735,689
823,624
1183,49
2592,844
638,376
2920,81
3300,1460
2417,726
549,1004
1329,304
339,376
1997,567
575,620
3447,1208
733,820
3673,1117
1108,794
3490,1516
1344,1102
1332,868
2234,81
3792,730
891,76
1364,632
546,1099
262,1515
117,713
1129,109
1478,525
1880,403
3273,235
71,713
390,976
2250,1467
171,352
3579,1090
2809,403
766,525
635,336
2757,567
1978,436
171,999
3261,61
1093,1486
3580,1451
1507,1518
2067,311
1020,1419
2273,1451
2057,342
2962,660
2095,823
1573,1144
314,1006
1035,470
3171,586
2435,1501
2405,730
1816,61
1016,601
120,388
2028,61
2386,1068
2129,1018
1023,1578
2396,331
2490,1138
2982,49
2536,76
2068,1153
2163,1200
1624,999
299,742
1794,748
3315,558
604,1111
381,180
363,1267
1286,103
2369,1375
2969,1516
3170,462
3792,1423
2788,261
3152,376
1996,571
597,1516
2121,1082
353,1396
3026,681
1055,130
3004,753
1714,689
383,95
2317,1326
1648,508
906,384
989,61
3461,266
1709,601
3201,1528
556,756
1854,1373
2776,233
536,1480
3791,1102
418,525
3353,194
364,361
1659,475
1698,49
22,133
2831,994
2314,1394
3198,186
2323,619
1812,578
989,61
2876,502
2963,853
1999,1322
653,1516
104,376
2274,525
3748,884
829,329
3581,1337
3669,267
3386,361
3525,940
3321,1385
1807,95
94,800
2907,227
145,352
64,1569
1228,1391
3285,542
2097,1345
1441,1068
2953,677
1852,150
1934,131
1255,594
3367,735
375,524
3809,168
1388,138
1173,778
2876,729
2152,525
2160,1228
610,1423
3320,383
3796,130
687,972
2627,15
1278,1289
532,655
1099,1099
956,1254
665,1038
3690,436
3382,1267
507,1414
2065,910
3235,81
2677,528
707,908
2656,1436
919,267
1607,376
3604,260
2918,1517
2698,342
3753,1182
921,61
2591,167
1581,395
2507,519
606,436
64,966
2116,1038
932,1394
3735,537
2211,957
2075,1251
1002,1068
3369,1018
1398,1018
989,61
2545,525
2642,361
2965,1385
3587,81
1061,1578
2696,1284
1892,1451
1798,601
544,128
1944,361
901,1543
329,986
1124,1498
2054,1168
2672,283
53,687
1037,189
488,1068
111,352
1816,61
719,85
3089,691
2486,754
2829,1373
2147,832
404,1516
484,1548
608,1042
2476,1260
2235,1516
3061,924
1728,1440
1978,1018
1762,81
2648,332
1620,1421
2624,629
134,1068
2511,999
3014,1447
3261,61
2408,538
495,1516
3039,471
985,827
2624,204
574,298
2909,13
1800,361
3407,1521
2642,436
1395,1406
1699,852
2509,157
3180,977
436,947
3125,451
2032,1462
1851,847
1528,436
780,1552
2070,1068
443,1367
1918,1529
1156,626
2334,1146
3353,1520
3205,1068
391,716
3805,376
2386,1516
2508,1227
2652,855
2084,729
3231,138
1884,1370
270,1234
368,1288
3702,578
3726,1210
66,659
442,1167
3480,1525
3591,999
3203,436
2977,436
59,61
1334,1395
3239,1576
2590,222
3405,1394
2551,782
1889,1482
970,1491
1743,878
910,1018
1337,1273
439,1102
1579,93
657,298
1707,1282
2817,1270
669,1045
3453,713
2704,371
1823,1205
1254,1277
1880,616
3769,81
950,112
817,999
2028,61
704,827
2659,319
1773,940
3757,386
187,525
646,245
2967,1275
173,1578
1864,1068
412,1234
2630,352
690,325
3261,61
845,594
2737,630
2618,49
956,965
3676,1423
814,1355
2784,1486
2476,371
1648,279
2935,1429
1888,76
1288,878
320,436
2100,1417
1013,357
3048,788
3313,1194
2114,474
1728,27
534,81
1092,49
2770,850
2835,227
2591,1329
2035,339
3055,999
827,723
1644,1504
2114,604
1468,352
2838,95
3261,61
1500,298
2172,1535
1546,54
1689,1516
2476,222
3370,297
939,1451
868,174
1595,106
1855,1146
3768,970
2844,1092
105,915
3134,1404
1891,1018
2023,1516
898,368
631,947
1999,499
555,616
1083,834
1055,757
991,1516
2687,224
989,61
3370,1420
3568,817
555,1261
1599,999
3676,318
3004,138
670,236
1179,1173
1099,250
416,294
3493,304
2580,1119
461,1195
1509,816
2770,1507
2098,1285
921,61
1276,778
3612,791
2457,434
2035,713
3323,965
2644,1407
431,1516
3357,537
1957,49
1726,1516
2205,427
325,996
2651,940
3208,95
1831,341
305,371
2675,1369
921,61
569,46
2967,1531
304,1102
51,1018
847,295
3608,127
3243,1102
862,1079
1755,947
1995,1167
2850,839
3058,81
1123,1375
193,999
1150,715
1570,376
228,61
832,1559
749,1516
1659,1068
1680,298
2034,81
2987,895
2404,1532
1832,1323
1679,49
1359,1309
1552,1327
661,1018
3718,436
1340,284
2228,562
1914,49
3274,361
668,1476
1868,1225
1505,723
1108,743
1859,436
963,1309
2811,186
2726,1547
2182,1316
2834,949
3815,874
1999,496
2272,1492
3211,723
1978,1102
453,436
773,137
2735,1085
3108,889
2231,716
1029,1430
2795,1068
265,1234
757,185
1629,811
1601,253
534,1018
2015,83
984,1377
1329,898
1211,369
2583,1576
507,1143
722,1454
1995,990
1108,1030
1511,525
93,498
3580,539
292,655
2426,293
2462,1528
284,361
2538,1310
1232,654
1561,723
2526,1382
3159,723
2002,1173
3512,81
1960,142
390,1231
1308,1384
2503,415
938,1111
830,1327
414,361
3176,525
280,560
1685,1525
719,177
501,947
489,3
383,391
2510,1018
669,1267
908,889
3357,1160
3107,1578
118,138
284,298
2028,61
3269,8
1107,108
2024,1110
904,970
615,1394
3693,1261
2245,1175
3528,34
3570,525
3560,497
2096,121
2545,49
2640,624
1263,1493
2231,813
451,1026
3305,473
3117,561
2841,1122
1278,477
1865,535
3020,1225
3339,415
943,1338
1449,1191
2721,1018
1865,1451
2054,213
2961,74
509,382
632,1173
3150,1516
3816,479
2054,1285
1253,504
963,375
895,522
2985,1264
1836,233
944,74
2035,677
1352,38
226,432
1846,603
2076,1451
1625,61
1722,876
2832,598
151,1447
2314,1206
2429,567
2812,700
59,61
3030,81
3487,1416
3651,757
1466,388
2722,1047
1557,1175
2042,1469
2548,489
1333,1246
2057,884
2709,157
445,916
3664,626
3360,352
1192,756
650,999
3736,278
635,1273
920,661
3672,1037
1355,150
1135,82
1388,1363
555,1394
2008,1516
2013,144
2701,388
3148,138
1193,436
1935,91
2898,1400
1583,418
2242,145
3522,519
1664,526
31,225
2077,723
3014,659
2596,1288
2232,286
1718,41
1832,1291
2078,352
3637,525
774,79
3420,1224
2886,61
1118,973
1593,49
2691,84
1290,352
1014,1068
59,61
3233,1434
3058,1102
3216,942
3741,999
2057,304
2617,525
1252,947
2142,1102
1163,1353
1242,376
2121,996
3240,376
2280,285
1072,433
2904,582
1619,1111
1424,1215
2215,1267
3320,900
526,1516
1873,597
3641,1226
1690,1225
2736,746
897,1353
3754,352
3494,1516
2946,1016
3022,388
2430,1206
928,1018
3683,232
3450,630
1767,81
54,1516
1935,209
276,567
1484,1068
2781,862
946,999
1709,1505
965,833
3612,1157
2406,147
1995,124
3232,913
3631,14
211,682
1406,660
1870,735
2246,95
1419,1226
457,6
2886,61
597,723
784,1134
1502,1430
2088,78
1049,648
228,61
1918,343
908,479
3253,558
1178,1313
2251,1420
2445,662
921,61
3184,483
455,161
589,1352
2749,1546
837,940
2271,388
2477,723
3463,376
1925,131
1321,893
1783,285
3116,999
2268,607
857,208
366,49
3315,898
2344,1175
246,999
1497,1068
577,660
1277,982
1151,677
1571,352
1786,388
774,353
3409,820
1154,121
93,1545
1601,919
2149,1207
978,769
1962,940
1221,1102
2778,61
2050,1032
2237,482
3175,1297
76,1068
1604,298
2634,1212
2377,298
2084,622
2608,1234
3352,1531
12,859
1803,1179
3200,390
466,49
1995,515
1192,969
2632,81
1746,54
1393,409
2306,713
546,1197
3086,388
817,298
1922,166
2385,298
224,535
1218,1557
625,677
259,277
2990,1084
3284,1102
38,326
727,1228
858,1330
555,691
3334,427
1049,986
3223,1469
375,128
1069,81
2284,171
93,1224
1441,1516
997,133
16,516
1244,1102
3117,1448
3702,534
1249,1001
2109,1213
3673,138
3498,851
76,723
1971,128
2424,861
1284,405
2003,1173
402,685
3330,1018
1502,88
1357,130
2043,832
1003,1045
1427,800
3013,113
1083,53
1260,1253
2758,999
685,1414
3597,1326
2886,61
868,1259
79,436
3426,1265
3090,81
558,396
1190,128
1190,1353
1944,1102
431,65
2109,1409
438,241
810,1516
1295,128
942,1208
2835,435
3397,1471
1739,1395
1556,1578
650,81
1411,1517
2624,1515
3468,593
2646,1336
3397,1086
2113,1327
2778,61
3495,1578
1005,1102
1584,1173
1178,1019
2653,1435
3794,1516
142,853
3151,723
1915,144
2902,1539
2944,999
2028,61
1572,950
2322,580
3570,49
2452,1447
3498,1355
3499,253
720,787
2364,221
3661,908
3392,968
996,1289
3493,1524
3583,441
3031,128
184,288
2485,146
204,72
96,120
108,320
65,849
3528,34
3184,166
1654,708
1695,1516
1877,82
2185,70
1644,677
3445,376
1908,352
918,83
2832,1210
528,1175
253,298
814,1545
3456,1205
469,260
1049,1267
2350,830
2188,43
413,1516
3075,298
709,1018
2443,1102
3722,998
1541,2
2061,1283
3028,852
2918,1286
2604,1505
1459,999
43,1426
2455,298
938,746
1164,1173
1920,1173
745,218
1898,1102
997,336
762,72
3572,1018
2738,1158
2500,1173
2566,115
2621,1040
635,1461
407,1408
582,1068
1121,1078
1382,1510
3617,376
1995,338
1877,1336
389,801
427,341
2781,78
956,67
285,124
439,352
3052,418
3634,282
2834,28
2474,361
2175,1122
3103,1270
704,1411
718,562
2443,1018
1747,222
342,545
2204,730
2364,418
1679,525
1995,1215
3457,1516
3048,86
2393,126
3292,1516
743,505
1151,74
806,315
21,1484
3516,101
293,361
3469,164
245,739
2387,655
1816,61
2108,1102
1276,376
1707,186
2841,324
1881,338
2343,1213
2478,45
443,1110
3520,1082
2998,1053
2265,101
