,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,state
0,0,-0.39169514777111897,2020-07-21 09:02:29.529187,2020-07-21 09:29:50.293672,0 days 00:27:20.764485000,0.9502641723820631,0.08365180452159665,COMPLETE
1,1,-0.3866303967945538,2020-07-21 09:29:50.295601,2020-07-21 09:54:36.148947,0 days 00:24:45.853346000,0.1825713503573042,0.28974369496180674,COMPLETE
2,2,-0.3916184931115736,2020-07-21 09:54:36.150571,2020-07-21 10:20:22.247632,0 days 00:25:46.097061000,0.8015923973659058,0.30268563833794604,COMPLETE
3,3,-0.3715103569866819,2020-07-21 10:20:22.249082,2020-07-21 10:48:49.903171,0 days 00:28:27.654089000,0.3549703756757673,0.11691554137399046,COMPLETE
4,4,-0.3570560922468171,2020-07-21 10:48:49.922130,2020-07-21 11:22:26.712376,0 days 00:33:36.790246000,0.12739843170791065,0.26824972347539,COMPLETE
5,5,-0.27380577406657675,2020-07-21 11:22:26.733915,2020-07-21 11:56:06.340091,0 days 00:33:39.606176000,0.033060605310470836,0.1885396613753435,COMPLETE
6,6,-0.39400705610720366,2020-07-21 11:56:06.342014,2020-07-21 12:20:22.913589,0 days 00:24:16.571575000,0.8928098901322881,0.41879598052480693,COMPLETE
7,7,-0.27183187345425974,2020-07-21 12:20:22.914752,2020-07-21 12:31:49.916590,0 days 00:11:27.001838000,0.04871043836299371,0.42451756226115056,COMPLETE
8,8,-0.3830944530721068,2020-07-21 12:31:49.917325,2020-07-21 12:43:09.207007,0 days 00:11:19.289682000,0.9744647887696323,0.4042460671090181,COMPLETE
9,9,-0.3872138109008159,2020-07-21 12:43:09.207713,2020-07-21 12:53:26.048733,0 days 00:10:16.841020000,0.1560213979576751,0.4066695547318685,COMPLETE
10,10,-0.39106068142862915,2020-07-21 12:53:26.049487,2020-07-21 13:03:59.744894,0 days 00:10:33.695407000,0.6660320801760673,0.4878665718925197,COMPLETE
11,11,-0.3128351382884646,2020-07-21 13:03:59.745755,2020-07-21 13:15:34.525094,0 days 00:11:34.779339000,0.9997344321986372,0.030805556952084867,COMPLETE
12,12,-0.38416933648280277,2020-07-21 13:15:34.525991,2020-07-21 13:26:26.110911,0 days 00:10:51.584920000,0.8274346742742307,0.05913651470358702,COMPLETE
13,13,-0.3884602685699622,2020-07-21 13:26:26.111656,2020-07-21 13:36:39.896197,0 days 00:10:13.784541000,0.6208245489097701,0.17010769033775794,COMPLETE
14,14,-0.39434594189375155,2020-07-21 13:36:39.896932,2020-07-21 13:47:51.243473,0 days 00:11:11.346541000,0.8923714328154726,0.4952003714862813,COMPLETE
15,15,-0.39361981493887865,2020-07-21 13:47:51.244157,2020-07-21 13:59:33.462500,0 days 00:11:42.218343000,0.821018793643285,0.4973880157065734,COMPLETE
16,16,-0.38890099865656597,2020-07-21 13:59:33.463460,2020-07-21 14:10:37.448824,0 days 00:11:03.985364000,0.42207544028108657,0.3534835294498694,COMPLETE
17,17,-0.39122135143520786,2020-07-21 14:10:37.449465,2020-07-21 14:22:41.162923,0 days 00:12:03.713458000,0.6667936294732151,0.4989680735802771,COMPLETE
18,18,-0.3935631050588424,2020-07-21 14:22:41.164132,2020-07-21 14:35:44.923578,0 days 00:13:03.759446000,0.8736694853402206,0.45142698911201223,COMPLETE
19,19,-0.38933263397130435,2020-07-21 14:35:44.924763,2020-07-21 14:49:11.552079,0 days 00:13:26.627316000,0.5493343235053869,0.36586624061465745,COMPLETE
