,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,state
0,0,-0.003774831697816534,2020-07-09 22:00:00.018041,2020-07-09 22:04:50.454796,0 days 00:04:50.436755000,0.8030171743692717,0.2203799955647766,COMPLETE
1,1,-0.003774831697816534,2020-07-09 22:04:50.455440,2020-07-09 22:09:35.263223,0 days 00:04:44.807783000,0.583980706255005,0.32266068911602586,COMPLETE
2,2,-0.003774831697816534,2020-07-09 22:09:35.263708,2020-07-09 22:14:17.560810,0 days 00:04:42.297102000,0.38033275222698937,0.11383613903324258,COMPLETE
3,3,-0.003774831697816534,2020-07-09 22:14:17.561298,2020-07-09 22:18:55.025471,0 days 00:04:37.464173000,0.09547459490678856,0.37562293539052993,COMPLETE
4,4,-0.003774831697816534,2020-07-09 22:18:55.026012,2020-07-09 22:23:30.497784,0 days 00:04:35.471772000,0.15946238835348325,0.4452268132874605,COMPLETE
5,5,-0.003774831697816534,2020-07-09 22:23:30.498288,2020-07-09 22:28:12.041347,0 days 00:04:41.543059000,0.530646355980415,0.29932260911688224,COMPLETE
6,6,-0.003774831697816534,2020-07-09 22:28:12.041872,2020-07-09 22:32:50.230887,0 days 00:04:38.189015000,0.3322256174739363,0.20273687433788673,COMPLETE
7,7,-0.003774831697816534,2020-07-09 22:32:50.231383,2020-07-09 22:37:25.131249,0 days 00:04:34.899866000,0.08734151447193739,0.03413426701487132,COMPLETE
8,8,-0.003774831697816534,2020-07-09 22:37:25.131741,2020-07-09 22:42:02.780148,0 days 00:04:37.648407000,0.13966006695721478,0.3643120912035827,COMPLETE
9,9,-0.003774831697816534,2020-07-09 22:42:02.780649,2020-07-09 22:46:49.102894,0 days 00:04:46.322245000,0.7906004280671166,0.4141820048995456,COMPLETE
10,10,-0.003774831697816534,2020-07-09 22:46:49.103389,2020-07-09 22:51:43.843876,0 days 00:04:54.740487000,0.992149736223061,0.18777656786078678,COMPLETE
11,11,-0.003774831697816534,2020-07-09 22:51:43.844369,2020-07-09 22:56:28.722200,0 days 00:04:44.877831000,0.6953421039214356,0.27943965202703247,COMPLETE
12,12,-0.003774831697816534,2020-07-09 22:56:28.722694,2020-07-09 23:01:13.288026,0 days 00:04:44.565332000,0.9168083733552663,0.4973440127385118,COMPLETE
13,13,-0.003774831697816534,2020-07-09 23:01:13.288529,2020-07-09 23:06:00.176598,0 days 00:04:46.888069000,0.655281051579319,0.13037185694810338,COMPLETE
14,14,-0.003774831697816534,2020-07-09 23:06:00.177131,2020-07-09 23:10:48.033957,0 days 00:04:47.856826000,0.8607885908008013,0.30439235934004527,COMPLETE
15,15,-0.003774831697816534,2020-07-09 23:10:48.034457,2020-07-09 23:15:31.316457,0 days 00:04:43.282000000,0.5279342876992911,0.21793259143825922,COMPLETE
16,16,-0.003774831697816534,2020-07-09 23:15:31.316950,2020-07-09 23:20:18.727126,0 days 00:04:47.410176000,0.679074459451429,0.12749325628387106,COMPLETE
17,17,-0.003774831697816534,2020-07-09 23:20:18.727642,2020-07-09 23:25:08.635154,0 days 00:04:49.907512000,0.8404283173396542,0.2467942217541923,COMPLETE
18,18,-0.003774831697816534,2020-07-09 23:25:08.635677,2020-07-09 23:29:49.774449,0 days 00:04:41.138772000,0.42320983699213177,0.009697946156465881,COMPLETE
19,19,-0.003774831697816534,2020-07-09 23:29:49.774953,2020-07-09 23:34:38.869453,0 days 00:04:49.094500000,0.7037148630383571,0.08478900530964276,COMPLETE
