,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,state
0,0,-0.24761953996054709,2020-09-18 05:12:36.126420,2020-09-18 07:21:51.740164,0 days 02:09:15.613744000,0.38952892514261483,0.03797825076770783,COMPLETE
1,1,-0.25720402025131206,2020-09-18 07:21:51.740559,2020-09-18 09:28:07.489906,0 days 02:06:15.749347000,0.334467425249668,0.2643908458045921,COMPLETE
2,2,-0.25410904064810425,2020-09-18 09:28:07.490282,2020-09-18 11:40:53.282909,0 days 02:12:45.792627000,0.6396608763983315,0.08593372466437055,COMPLETE
3,3,-0.24656859878491194,2020-09-18 11:40:53.283320,2020-09-18 13:43:13.603691,0 days 02:02:20.320371000,0.12567708942933276,0.3497520337152911,COMPLETE
4,4,-0.24658991006686518,2020-09-18 13:43:13.604097,2020-09-18 15:45:58.629845,0 days 02:02:45.025748000,0.09225275822894563,0.3534022975078422,COMPLETE
5,5,-0.270621575811857,2020-09-18 15:45:58.630200,2020-09-18 18:06:19.347300,0 days 02:20:20.717100000,0.8776441109245127,0.2779800995501594,COMPLETE
6,6,-0.2704599334289649,2020-09-18 18:06:19.347704,2020-09-18 20:28:31.161428,0 days 02:22:11.813724000,0.9710884954040364,0.478816934188279,COMPLETE
7,7,-0.25542390166079976,2020-09-18 20:28:31.161807,2020-09-18 22:38:32.731716,0 days 02:10:01.569909000,0.5021670180810943,0.1647319129059544,COMPLETE
8,8,-0.2533514125824772,2020-09-18 22:38:32.732074,2020-09-19 00:51:03.120370,0 days 02:12:30.388296000,0.642949180113717,0.07107242258734187,COMPLETE
9,9,-0.2703727218752533,2020-09-19 00:51:03.120746,2020-09-19 03:15:05.146875,0 days 02:24:02.026129000,0.9712858629199983,0.2733710183155072,COMPLETE
