,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,state
0,0,-0.22380113062185192,2020-08-21 05:21:03.431985,2020-08-21 05:30:02.310746,0 days 00:08:58.878761000,0.22044720992153644,0.3472907884170756,COMPLETE
1,1,-0.21862151648586864,2020-08-21 05:30:02.311141,2020-08-21 05:38:54.931494,0 days 00:08:52.620353000,0.800828942995595,0.037923417654970426,COMPLETE
2,2,-0.22230989403348506,2020-08-21 05:38:54.931888,2020-08-21 05:47:13.720013,0 days 00:08:18.788125000,0.1013062322816689,0.46977256033290266,COMPLETE
3,3,-0.2225897195236538,2020-08-21 05:47:13.720351,2020-08-21 05:55:47.649022,0 days 00:08:33.928671000,0.10757292292357246,0.49631923921309934,COMPLETE
4,4,-0.22140791398597057,2020-08-21 05:55:47.649369,2020-08-21 06:04:39.978328,0 days 00:08:52.328959000,0.06847436847231592,0.4066738434970093,COMPLETE
5,5,-0.22643778619524854,2020-08-21 06:04:39.978679,2020-08-21 06:13:26.701212,0 days 00:08:46.722533000,0.4312845209445162,0.4884511881263729,COMPLETE
6,6,-0.22583755546247164,2020-08-21 06:13:26.701544,2020-08-21 06:22:03.165360,0 days 00:08:36.463816000,0.4230035786004528,0.3758327414140522,COMPLETE
7,7,-0.22327157940506773,2020-08-21 06:22:03.165708,2020-08-21 06:30:44.258304,0 days 00:08:41.092596000,0.4158780531021795,0.16689646375073608,COMPLETE
8,8,-0.2264559022306749,2020-08-21 06:30:44.258640,2020-08-21 06:40:58.194315,0 days 00:10:13.935675000,0.9153427293847455,0.08353630006749235,COMPLETE
9,9,-0.18652797765836765,2020-08-21 06:40:58.194701,2020-08-21 06:50:22.316535,0 days 00:09:24.121834000,0.30354442051089914,0.02547399105390813,COMPLETE
10,10,-0.22909145831318495,2020-08-21 06:50:22.316916,2020-08-21 07:01:01.346318,0 days 00:10:39.029402000,0.9854711175172751,0.1560356755355915,COMPLETE
11,11,-0.22914759429378945,2020-08-21 07:01:01.346685,2020-08-21 07:12:17.442966,0 days 00:11:16.096281000,0.9835568414304305,0.1512067367493432,COMPLETE
12,12,-0.2264709298473686,2020-08-21 07:12:17.443353,2020-08-21 07:21:28.409348,0 days 00:09:10.965995000,0.6967331661676373,0.22633770308385834,COMPLETE
13,13,-0.22898369253677622,2020-08-21 07:21:28.409708,2020-08-21 07:32:21.423883,0 days 00:10:53.014175000,0.982669689352074,0.13790763853615887,COMPLETE
14,14,-0.2267265585667823,2020-08-21 07:32:21.424249,2020-08-21 07:42:21.413660,0 days 00:09:59.989411000,0.7042036668569596,0.2570546326448915,COMPLETE
15,15,-0.22861253447113739,2020-08-21 07:42:21.414027,2020-08-21 07:52:06.267806,0 days 00:09:44.853779000,0.877276674230583,0.23466319434441674,COMPLETE
16,16,-0.22423677289850114,2020-08-21 07:52:06.268172,2020-08-21 08:01:50.908819,0 days 00:09:44.640647000,0.610877750528331,0.13829863012518678,COMPLETE
17,17,-0.22777626041297683,2020-08-21 08:01:50.909295,2020-08-21 08:12:49.022745,0 days 00:10:58.113450000,0.9518023428467662,0.0888317189139688,COMPLETE
18,18,-0.22817928127491882,2020-08-21 08:12:49.023133,2020-08-21 08:22:12.965644,0 days 00:09:23.942511000,0.8115512641257379,0.29573901656921825,COMPLETE
19,19,-0.2254236580513582,2020-08-21 08:22:12.966062,2020-08-21 08:32:01.184268,0 days 00:09:48.218206000,0.5972518306704832,0.20146597307645617,COMPLETE
