,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,state
0,0,-0.0874016133477418,2020-09-23 20:57:59.581641,2020-09-23 21:06:27.870329,0 days 00:08:28.288688000,0.5546093844482652,0.2010671704780735,COMPLETE
1,1,-0.08356305804564307,2020-09-23 21:06:27.870698,2020-09-23 21:15:24.194635,0 days 00:08:56.323937000,0.8938760722937762,0.032005776521580376,COMPLETE
2,2,-0.06595887272061415,2020-09-23 21:15:24.194968,2020-09-23 21:23:39.618121,0 days 00:08:15.423153000,0.022027367603947745,0.2638065932985059,COMPLETE
3,3,-0.08766877142869545,2020-09-23 21:23:39.618456,2020-09-23 21:31:51.709747,0 days 00:08:12.091291000,0.4739032266506402,0.4499816261580921,COMPLETE
4,4,-0.08226942219280321,2020-09-23 21:31:51.710086,2020-09-23 21:40:02.005447,0 days 00:08:10.295361000,0.14989382274808505,0.2608465628672833,COMPLETE
5,5,-0.08720474712211428,2020-09-23 21:40:02.005869,2020-09-23 21:48:32.266449,0 days 00:08:30.260580000,0.18887474473898658,0.3223152598555177,COMPLETE
6,6,-0.08723286860915258,2020-09-23 21:48:32.266819,2020-09-23 21:57:01.775407,0 days 00:08:29.508588000,0.2768495566964372,0.24812729312188675,COMPLETE
7,7,-0.08737348395252378,2020-09-23 21:57:01.775719,2020-09-23 22:05:11.755859,0 days 00:08:09.980140000,0.5933689828448158,0.1597172545360926,COMPLETE
8,8,-0.08877964529441545,2020-09-23 22:05:11.756169,2020-09-23 22:14:21.093563,0 days 00:09:09.337394000,0.8471517132554599,0.35124950365896995,COMPLETE
9,9,-0.08782344356149593,2020-09-23 22:14:21.093920,2020-09-23 22:23:31.125996,0 days 00:09:10.032076000,0.5257826594537816,0.48478209155057495,COMPLETE
