h_entity,t_entity,relation
3983,3963,0
4198,3716,0
681,3394,0
2480,279,0
4020,1219,0
2939,4439,0
4243,5295,0
5199,836,0
3923,1622,0
1203,906,0
36,3014,0
1507,1274,0
542,2860,0
4990,2490,0
3083,4029,0
3618,1864,0
5334,4610,0
4698,126,0
5227,5163,0
4456,1135,0
3563,51,0
3395,5385,0
5308,1609,0
4113,4559,0
1637,1506,0
2838,89,0
3278,500,0
2353,4322,0
2868,672,0
377,321,0
4482,3650,0
1324,1993,0
2701,1382,0
2680,2545,0
864,1732,0
794,1838,0
3592,2329,0
54,483,0
4691,5238,0
1623,2225,0
3816,1944,0
3444,227,0
2838,4694,0
2672,4781,0
4353,2160,0
1234,798,0
1360,1944,0
4519,4076,0
3884,3855,0
2201,900,0
729,1228,0
1040,3606,0
1287,3620,0
95,2775,0
3356,1388,0
2153,4814,0
490,4311,0
3836,588,0
213,1181,0
2087,2858,0
2979,1052,0
340,4286,0
804,4923,0
804,3906,0
4253,4232,0
4211,1612,0
3820,2861,0
3809,326,0
3203,2722,0
4328,4175,0
4186,2420,0
859,2348,0
3828,531,0
5069,748,0
4403,415,0
3467,4027,0
1718,3768,0
3511,1547,0
3761,1404,0
1978,5310,0
5028,3308,0
4884,4659,0
2473,2515,0
904,3351,0
4650,4870,0
1550,573,0
4596,575,0
4890,2019,0
4607,2318,0
4208,4963,0
5088,5304,0
1822,2546,0
221,1986,0
4675,1558,0
4703,1581,0
729,22,0
3678,5048,0
443,5208,0
1907,4129,0
2276,1896,0
2993,1178,0
5157,4617,0
3585,3838,0
1279,125,0
618,3989,0
2860,1543,0
5165,2181,0
5179,52,0
5046,4386,0
3297,390,0
4712,5196,0
2342,2805,0
4457,5222,0
3532,5149,0
217,1485,0
365,2934,0
2422,1195,0
82,2464,0
4592,2943,0
3891,2972,0
24,4353,0
126,1524,0
3159,3789,0
4952,1871,0
4186,2339,0
1811,4100,0
3424,5136,0
818,852,0
3195,24,0
1392,4553,0
1712,449,0
1103,491,0
1723,818,0
4086,1245,0
2605,1300,0
442,3956,0
2963,2069,0
3462,63,0
97,2698,0
66,4889,0
2934,1322,0
2173,5199,0
453,39,0
4429,3394,0
4281,1232,0
3963,4944,0
2921,2885,0
5287,1335,0
3565,1668,0
33,4962,0
3183,253,0
3069,4710,0
3124,2978,0
4315,3230,0
2580,4248,0
1904,5023,0
595,3852,0
1230,1335,0
4083,553,0
5394,3368,0
428,124,0
2855,924,0
1595,4270,0
4133,3573,0
3168,1333,0
1524,2215,0
2014,3069,0
4607,2013,0
3381,684,0
3918,146,0
