h_entity,t_entity,relation
2361,1201,0
696,4583,0
1366,4537,0
1175,802,0
3460,4492,0
3896,206,0
827,4999,0
1315,5222,0
1368,243,0
1283,602,0
4772,4023,0
4626,2603,0
1729,3539,0
2235,2632,0
5157,4566,0
1230,4705,0
4104,2514,0
1152,1674,0
2441,1509,0
3990,1138,0
2629,4021,0
2923,4008,0
868,3055,0
4544,35,0
1419,4220,0
749,4613,0
3379,4431,0
1124,1533,0
178,4958,0
610,3090,0
1976,1057,0
713,5214,0
301,3361,0
3309,5365,0
1218,2272,0
3411,1904,0
2027,2072,0
1500,318,0
2975,2966,0
1758,5069,0
2205,2939,0
3107,4256,0
3390,2622,0
3993,1213,0
3097,2613,0
4043,4260,0
2478,3822,0
3782,3157,0
4976,4811,0
935,4809,0
3596,3836,0
3624,1596,0
1775,356,0
863,117,0
3246,3671,0
5075,904,0
1772,2707,0
4279,1684,0
2670,2275,0
1807,3004,0
4253,4142,0
5072,1069,0
1150,1095,0
3038,3512,0
267,4903,0
2579,2082,0
4352,1622,0
2917,493,0
1656,630,0
3359,1043,0
3476,4705,0
3508,875,0
1516,4692,0
1297,5060,0
4494,4249,0
1958,421,0
3495,3342,0
5287,1699,0
3765,2585,0
637,3758,0
831,2189,0
2097,622,0
705,3680,0
2690,2009,0
1207,1126,0
2031,4513,0
3426,2581,0
2409,1873,0
5093,2095,0
2257,2575,0
3570,4641,0
2316,3304,0
5386,1968,0
4076,2122,0
3756,1688,0
1590,2704,0
5026,3522,0
3020,1265,0
2584,127,0
1618,4715,0
205,1504,0
1674,3375,0
571,5040,0
2002,3484,0
2202,558,0
3542,225,0
3062,426,0
2403,410,0
2232,783,0
3947,1758,0
160,1947,0
4308,4356,0
5167,579,0
4786,3761,0
2034,23,0
1824,4597,0
1987,4076,0
2754,1400,0
3167,5397,0
335,763,0
2792,1183,0
717,1251,0
2315,5152,0
4626,2275,0
2458,3590,0
3366,3883,0
3614,3376,0
4150,2529,0
2819,4477,0
2360,2157,0
4005,5280,0
2122,302,0
3833,827,0
1582,1348,0
3340,110,0
2457,4691,0
3762,3985,0
212,2128,0
1693,1903,0
3477,15,0
791,4661,0
2230,3263,0
1644,3567,0
4722,2794,0
909,626,0
1542,2471,0
2376,3256,0
5097,2680,0
4104,961,0
3892,1842,0
3504,636,0
2041,1333,0
642,4421,0
381,1417,0
368,409,0
2767,1418,0
3642,578,0
3552,4658,0
1753,5160,0
2959,1670,0
3933,5095,0
1259,2418,0
5300,2896,0
3848,1214,0
1076,4435,0
4102,2599,0
1002,3652,0
4421,862,0
4390,2518,0
1424,1590,0
2959,637,0
1801,1544,0
1968,3216,0
4983,3626,0
2497,4243,0
1689,116,0
3767,3792,0
1596,1705,0
626,188,0
3488,786,0
3388,861,0
3695,81,0
2385,3915,0
4286,3984,0
4938,3025,0
4941,4283,0
4949,3887,0
4866,1467,0
2682,1637,0
3786,4125,0
791,5042,0
1310,4755,0
2224,2678,0
3444,4978,0
5376,5218,0
5088,5113,0
4706,2686,0
891,4193,0
2262,2076,0
2461,3305,0
3574,1873,0
4775,916,0
2595,4506,0
3639,4010,0
1434,2781,0
3918,140,0
1151,4542,0
700,4204,0
4745,4468,0
24,3298,0
10,4899,0
5378,799,0
4967,1675,0
3390,4369,0
3552,3649,0
4820,4149,0
3215,1947,0
2955,4180,0
137,727,0
4526,276,0
1679,1071,0
1297,4020,0
1205,5331,0
4824,4895,0
4191,889,0
4513,3585,0
2344,2110,0
1911,345,0
3899,436,0
5062,1658,0
341,2679,0
1837,3617,0
3704,5372,0
5162,1067,0
3932,3035,0
1141,405,0
5260,3514,0
4053,5073,0
672,2438,0
4666,752,0
159,1986,0
1332,4674,0
293,3320,0
3737,4297,0
1628,2908,0
5109,1005,0
3336,2568,0
43,4577,0
328,3510,0
1765,2666,0
1622,495,0
975,3797,0
497,4080,0
1123,732,0
492,4399,0
1700,3611,0
650,4250,0
4184,1445,0
3569,3723,0
943,3746,0
2090,695,0
368,1401,0
1997,3585,0
2003,3756,0
1288,2163,0
1324,3767,0
5184,3325,0
3795,2085,0
2673,5366,0
3280,5008,0
3241,301,0
928,4756,0
4032,1172,0
4364,3834,0
3728,2425,0
1318,4069,0
4710,2897,0
4940,450,0
4390,4550,0
5362,4770,0
597,4161,0
2323,4326,0
173,5057,0
1155,5292,0
1170,3643,0
1280,1393,0
2399,4053,0
2229,901,0
893,3032,0
4918,3531,0
636,4035,0
734,4794,0
3959,3904,0
5244,1557,0
2521,2788,0
4099,892,0
2842,3873,0
1981,545,0
145,3301,0
5106,2555,0
310,3029,0
3175,5130,0
506,2591,0
3363,4497,0
2677,659,0
5165,2619,0
3951,2351,0
2212,1411,0
4147,2586,0
2412,3235,0
233,4972,0
5248,819,0
9,2985,0
4725,4790,0
480,2758,0
1027,1499,0
4305,2324,0
4665,4419,0
211,3677,0
2773,3620,0
2806,454,0
3354,4216,0
103,455,0
1386,5361,0
114,2989,0
223,1401,0
2524,4662,0
4942,2421,0
4787,1860,0
906,1999,0
116,2412,0
3340,1529,0
3290,2831,0
2959,2915,0
3066,3256,0
1104,4208,0
198,3098,0
252,3588,0
899,1839,0
3048,1293,0
2208,2118,0
1755,4066,0
1355,999,0
3193,2161,0
48,3678,0
3512,2285,0
1652,1334,0
2122,4772,0
2259,4472,0
5152,3639,0
3636,1749,0
1731,2021,0
5233,398,0
3114,1564,0
671,4185,0
3538,1807,0
2206,446,0
708,2129,0
2132,3957,0
2675,133,0
2217,4960,0
441,3742,0
1470,164,0
2960,593,0
333,18,0
2499,1279,0
2669,1227,0
3283,1965,0
3905,593,0
1051,2189,0
470,5077,0
2848,1609,0
5129,1305,0
2399,1044,0
2865,4141,0
3486,618,0
2123,2121,0
2853,1694,0
428,1714,0
4998,3816,0
434,1697,0
2515,1372,0
4548,2370,0
144,1756,0
4969,560,0
4093,3836,0
3795,4666,0
2078,5369,0
3020,2172,0
2933,280,0
645,878,0
140,1987,0
709,1281,0
63,797,0
4619,4634,0
3719,2852,0
