reviewerID,asin
263,725
3116,685
91,546
1234,1043
2793,442
1420,799
452,621
436,720
1529,1225
1833,872
2597,571
1518,242
1162,734
2012,296
1347,364
1862,125
1723,1166
1529,1124
2734,660
906,795
3776,242
1850,206
1850,542
3770,326
2934,340
2689,334
1661,661
2730,242
1122,678
1971,755
834,1535
730,1345
2944,364
742,372
981,1337
2645,763
3576,841
3491,475
628,1305
2755,153
2495,1287
126,1393
2045,951
2161,1065
2739,872
137,755
685,334
1296,1536
3365,1043
174,1474
2034,639
2915,1361
3094,101
21,1393
1773,848
2751,734
153,1118
1984,652
3141,1567
3194,716
342,334
299,1410
581,473
1456,1043
1386,639
2330,348
2027,1290
66,679
8,364
2753,1292
984,229
3352,901
1423,1283
1645,881
3670,323
2674,833
2687,984
3646,140
431,661
1017,1165
3226,331
3377,685
964,1528
724,1344
216,693
2441,1043
2192,51
676,1545
1360,230
2922,1412
484,831
156,242
160,748
2161,79
2137,881
610,1218
3711,144
1505,561
1236,1043
3364,295
2145,1457
1729,1364
46,1173
2677,1428
1675,313
1569,675
1187,791
472,224
2209,876
2795,877
177,1391
3577,800
3781,1393
486,621
3279,561
3671,1393
1996,1301
3537,380
3654,621
1538,222
446,879
2119,243
1277,640
947,417
2500,288
3028,260
363,1043
2603,1069
1447,235
1686,1201
3352,311
3343,646
1177,1013
2019,1429
1739,806
1343,242
1574,999
3589,182
990,464
2573,834
2473,1043
1924,1118
2890,1569
672,554
1894,639
3625,685
648,561
3365,1043
3283,741
2555,1551
2454,560
3247,125
2300,1151
2659,1189
2854,1031
2741,1329
728,26
3350,38
527,1545
3302,639
1320,1491
985,561
3624,200
2734,1007
1567,171
2277,755
1129,1358
240,1548
2620,569
1126,1118
197,1540
1678,1576
2598,477
762,1390
2708,573
142,1118
548,988
2281,1294
867,1132
1679,725
776,872
2139,571
1034,639
1153,1377
1366,1118
2077,1130
848,948
915,155
1825,646
1906,639
1047,477
2722,477
951,1456
2629,1483
1814,1576
79,964
184,1519
476,791
3365,1043
1296,1007
3236,364
2984,1043
2105,1573
2300,1438
100,1580
635,219
1500,779
455,352
3275,242
273,1569
593,481
2628,1007
1423,1283
2033,542
192,294
1456,1043
3727,753
3406,843
1811,1386
588,639
3497,631
2061,1447
2027,699
2063,135
1957,153
1234,1043
1249,537
910,1573
747,685
2600,202
360,546
3051,803
266,627
1638,156
925,1301
2628,904
382,805
1948,1392
1226,1552
2803,1101
2104,710
1933,9
1963,991
2186,971
3288,22
1147,364
1103,352
1648,1393
1259,1377
151,1367
1940,281
2243,463
2448,391
827,881
2520,1032
1726,677
1514,100
3721,754
2627,1121
366,823
2090,639
2228,988
307,1032
402,1114
801,1077
2001,778
2755,955
2510,515
607,1171
2672,133
1589,542
2270,1355
965,1573
2441,1043
3146,1569
467,1337
3161,775
3165,131
2274,889
1195,738
848,800
91,578
206,237
489,370
853,801
1547,934
1445,1555
2448,699
3159,570
1135,1393
2761,391
1236,1043
2733,1036
2359,51
2677,225
1281,442
6,1526
2288,242
2625,67
3708,881
2561,432
2732,572
3358,1337
3791,455
3262,22
1129,1069
1811,1032
1922,364
1187,441
1184,586
3099,137
2291,947
1680,1158
526,3
370,242
1474,477
513,1425
1236,1043
3045,1384
1532,602
2862,1573
2749,352
3283,589
1321,316
2299,1478
1157,1032
2661,1402
701,1393
485,874
810,1011
2376,58
2650,502
3141,699
2065,1118
3411,950
3431,756
836,1198
2076,87
855,1335
1815,627
2281,378
2258,1337
2273,639
220,125
3241,1569
1784,561
2725,1377
424,1053
899,881
784,166
1673,1346
3744,1337
762,652
1115,364
501,1493
3131,859
3283,869
717,631
3246,561
1589,550
3361,977
108,1412
91,197
392,1127
1426,1381
785,639
2931,685
281,1462
1710,1377
2025,1072
2514,241
2172,685
1269,989
1626,1510
2529,116
3074,563
3417,634
1608,448
2913,181
1311,1194
1796,791
767,561
46,164
403,463
1850,328
3030,685
3570,1517
2862,36
2156,302
1149,800
205,883
2473,1043
764,920
3191,432
2862,22
3557,334
3020,872
3045,153
2912,242
486,370
1752,168
759,388
990,1245
1563,242
2087,303
1075,849
1569,239
2658,1366
3251,963
1786,1393
1234,1043
3182,909
3059,186
1234,1043
815,1016
286,277
1901,1043
1252,211
20,857
3622,720
528,494
2372,1393
287,196
1135,1569
2710,1512
1644,598
2510,443
2478,1325
657,334
3676,1337
1158,1377
2019,1319
1669,587
3324,131
2101,1337
3703,1373
2034,639
2865,673
1891,791
3716,201
3283,772
3269,1363
3300,460
178,1569
3700,1463
647,1393
5,182
2959,728
1183,1532
3640,1393
3557,777
3264,975
3757,1043
3591,988
934,464
2379,984
1834,523
3259,251
587,1480
895,288
3002,804
2489,883
618,531
1143,246
2346,1060
94,288
1226,740
1692,561
455,872
2315,1069
41,125
1278,991
486,621
1202,1569
361,1508
136,364
1163,500
1015,1032
68,1337
1298,1393
3424,1519
2112,1211
1726,1085
425,427
1566,1431
842,770
2778,943
1535,818
3794,1082
143,791
2484,44
782,829
1628,113
226,1243
1506,1337
3145,1007
3019,881
1474,1348
3669,1580
2517,755
3695,823
1628,920
1234,1043
2959,1315
2210,793
2804,1573
3297,1054
2600,353
3361,578
3614,1573
108,662
112,768
3656,444
3283,568
1348,1106
3023,15
3293,103
2208,371
2395,586
1354,530
1987,570
1534,153
2600,1578
3527,255
3361,588
3160,125
3431,1323
3569,715
528,1434
1210,1175
2786,1118
1293,1118
1858,559
1557,364
3481,486
2873,49
2352,1310
1079,857
787,370
3387,350
198,1025
2282,153
716,173
3454,1540
657,1004
2517,755
1436,561
1159,471
1136,1001
2169,1197
2441,1043
801,956
1550,1568
1896,561
3179,561
3463,673
1236,1043
1558,364
3416,1429
2277,755
1154,1416
2682,561
407,870
3348,353
592,685
99,1168
2143,242
3276,872
1137,677
3747,1569
3729,1191
2584,700
984,1519
231,857
1590,782
2764,1435
1938,1197
3348,1114
3700,353
460,1573
1134,223
3136,1023
3295,334
1566,715
859,1494
3059,1548
2137,26
701,1118
3649,134
1652,254
3193,1549
1460,3
3049,234
2924,529
723,680
1972,881
2515,1252
3031,712
3393,425
881,627
3757,1043
501,993
197,530
132,1118
3018,852
66,1420
874,1337
692,779
3581,1118
2613,707
1320,51
1613,196
3365,1043
1558,352
3133,705
2236,196
3442,1032
2042,242
3335,242
2210,742
2850,1214
3306,371
1854,1436
2207,1337
857,1337
3424,1072
443,368
363,1043
311,1573
1765,1007
2791,1265
961,695
3662,561
866,1569
855,179
2546,138
1728,425
2461,1569
1652,1026
954,161
3317,420
38,1367
1915,1535
285,1201
27,281
2473,1043
134,791
1914,632
1380,730
3160,564
33,1032
3276,242
3743,556
3499,1492
277,509
1240,363
3204,1007
445,1180
1845,561
1143,1482
3654,621
1569,700
3749,352
970,1337
2984,1043
3118,22
2548,913
2805,422
2764,1032
1968,1118
715,1164
2473,1043
2804,125
1043,389
409,894
3660,567
3333,1066
505,872
930,800
3353,888
751,1498
181,606
1863,464
211,254
2485,1393
219,997
241,1147
524,242
3572,1523
1588,1211
1236,1043
240,512
2499,1337
2526,315
3508,1132
3803,1059
2851,1048
2207,1055
3469,919
368,1055
3520,1118
3543,636
1625,1054
940,34
3386,196
271,288
1175,86
547,1054
2149,690
3241,1118
1832,530
1442,715
3469,1148
3089,1339
3609,573
54,1525
2492,621
3786,320
1264,364
3506,432
860,360
308,592
1877,242
2921,153
1689,242
1438,787
2768,402
1046,474
373,561
3463,353
744,967
2801,1189
1580,1168
3046,14
2993,435
2675,352
193,267
3365,1043
2210,669
457,903
3534,725
1095,242
3609,1567
370,1118
1755,1004
3079,915
634,639
2505,364
261,420
1580,1381
2840,1567
598,657
680,386
1235,621
730,919
1483,470
1400,432
2867,1028
2840,707
3561,187
1716,1337
3100,388
3363,547
3004,1569
3401,1524
2337,646
533,685
3280,707
2014,684
2414,1560
1210,1551
1400,680
73,1295
1187,613
3078,807
848,1530
2566,1337
872,72
762,886
2268,661
3467,800
1175,655
2656,334
3341,1431
592,352
631,989
132,213
1187,1486
2118,80
1236,1043
1824,442
565,125
1723,1465
1648,1569
704,740
87,194
1865,220
838,1055
1594,310
494,1444
2362,1377
952,430
1409,596
159,1036
756,881
3259,1541
1510,251
3478,26
240,1558
1467,41
359,639
2627,1121
325,1393
191,55
1816,762
1853,9
801,851
3799,1121
3332,223
2609,1415
2572,927
2710,520
50,73
1146,213
3005,1487
3158,498
244,152
1558,685
3509,1118
1053,473
2130,288
2667,344
3296,694
3643,37
3775,561
3684,800
1195,444
987,242
3224,1569
3722,1240
3334,1337
1734,1055
3124,127
3294,661
848,1014
3778,446
277,122
780,249
3111,685
1512,277
2997,1393
1008,1468
3707,1337
648,349
881,823
1307,1131
1187,532
3063,71
2841,242
395,596
3352,559
2015,621
288,783
3295,857
3352,641
765,1572
2601,1567
1901,1043
3759,242
3283,243
2061,1298
389,176
795,497
2662,1412
1513,1158
1727,621
1873,376
2173,561
1673,1501
626,1389
3049,710
2901,1004
2862,1217
3485,865
1925,325
1528,242
2934,1456
3735,1375
2559,639
1299,872
986,1055
1495,331
2807,288
3269,46
1,872
1646,215
404,666
3021,685
55,1053
2441,1043
1476,111
2390,881
1723,391
1537,997
342,778
2692,352
359,1411
3340,370
197,833
1456,1043
1456,1043
1044,234
2319,1377
364,1019
562,717
828,1256
2245,677
1926,1487
3467,460
642,965
1415,855
2567,926
569,875
400,1350
1487,608
1676,621
727,1073
2278,953
3140,533
2486,1085
510,833
726,296
91,334
1958,1083
53,228
1440,77
20,1387
1607,1213
531,395
2705,1337
323,561
603,452
3280,1179
581,885
2162,984
3058,79
3551,1562
2107,383
3405,621
2474,1218
977,705
2478,297
363,1043
2505,242
32,1393
941,391
872,472
2770,234
2441,1043
3226,80
362,910
1460,468
1931,1488
803,288
2473,1043
2823,581
1464,910
3609,1486
155,1198
2804,387
1901,1043
2695,875
2686,1573
3580,948
338,734
2846,1311
2557,1497
2330,1525
3730,183
3537,1483
563,646
562,368
3319,1045
1057,1055
3367,661
11,1377
2005,554
3609,388
267,244
3475,851
3264,554
174,79
619,1301
1247,558
3263,1029
3033,1141
835,758
2222,627
2791,1256
2,952
2542,661
556,1513
2769,561
3459,1118
1603,153
1446,1166
3136,354
3045,99
948,1519
1572,793
1705,872
1859,125
3423,902
400,1415
2096,852
2957,1016
1516,101
2591,561
3687,809
23,621
1882,768
982,1571
3192,690
1637,1410
3697,364
2473,1043
221,288
3431,1209
2181,1377
2927,549
80,1380
2240,211
19,1516
1532,842
428,459
1346,561
1731,1393
1739,1330
1499,768
1810,1094
3212,791
1311,1119
2254,741
2622,457
1088,115
3704,196
1938,170
388,1362
493,1331
2076,492
2466,124
709,635
134,1506
628,731
33,1252
3588,360
3191,973
1559,1393
3579,561
3699,991
3405,370
1203,859
1145,464
1090,1359
3757,1043
2330,65
2441,1043
1575,101
1610,639
1677,408
324,221
534,1149
2208,465
1910,90
2167,561
2791,693
3341,984
2533,227
233,1007
3446,1118
1234,1043
2473,1043
2146,1477
328,1319
1491,211
3528,1337
833,986
1664,682
1304,1468
1621,1151
1363,364
428,834
1305,24
2473,1043
3272,1573
1200,1076
1619,506
516,101
3441,983
3607,846
2448,978
2612,791
1,685
1059,639
3151,1569
971,1337
3464,296
1140,1377
3728,1032
1083,625
688,318
504,920
504,1378
1236,1043
2629,218
1357,631
3494,1081
2576,928
323,561
1782,715
269,374
33,332
1620,1483
503,1468
822,805
938,1118
840,872
3589,406
1727,621
979,661
484,1007
3014,435
782,829
484,874
376,242
3017,91
669,317
2424,786
2208,815
88,881
178,352
1307,404
708,370
1274,1268
635,784
1306,778
1610,971
74,411
310,1199
1712,872
174,1061
1540,791
1388,1173
2794,1280
2349,661
3050,275
1513,368
2097,756
2081,70
1445,1104
2223,1286
1952,1122
1464,1573
1187,102
212,1469
802,561
2777,755
2618,432
759,334
1652,448
3245,1506
1880,1490
1794,978
2753,639
511,1129
534,524
2001,340
1321,553
1608,377
3572,809
1593,1167
3715,119
3505,1243
2685,760
3130,647
3368,1006
2207,1337
621,1364
3662,639
2965,463
1112,1416
2919,857
1438,315
3306,340
692,433
2748,967
808,263
2056,1393
3362,897
3283,264
2938,639
3696,511
1271,242
3343,460
1093,698
942,426
2800,734
231,923
1838,377
1867,1237
693,444
3801,125
2991,627
117,364
1621,576
1693,1118
2345,1240
1442,373
3415,542
996,685
3582,872
3014,530
1284,182
458,242
34,881
889,113
2467,364
2756,1262
1507,561
3280,224
775,1393
1654,1410
1186,1497
1117,300
1515,992
748,196
3671,1393
1155,639
503,1377
693,444
3422,642
1840,685
2764,972
851,223
1942,1525
2019,1467
2642,364
2874,1001
1803,1244
3458,1569
2233,18
2341,639
622,1192
1077,1054
2167,561
895,288
3062,646
3351,587
3651,101
2513,1288
2437,41
557,1569
3541,1203
2242,188
602,917
3050,698
1104,667
3555,364
430,629
605,432
480,715
562,116
969,1055
3623,41
1367,536
2105,474
3706,1118
531,1377
456,685
2235,386
3508,471
2432,879
1312,916
1889,1055
1049,1242
3557,791
1491,583
2984,1043
492,872
1347,872
1077,1457
1018,872
2831,872
344,639
760,1337
2096,1256
2628,1311
3530,410
3045,421
1651,1393
3496,1173
1562,1129
706,1171
1170,1468
2473,1043
10,196
2936,1055
1562,1317
3156,1381
2179,807
2096,587
3359,641
1027,1059
166,1519
1674,1286
2013,1032
1937,756
361,113
3533,639
1455,1337
163,550
3365,1043
100,1528
1874,904
856,592
176,242
2770,1285
3031,1259
3684,1007
1692,951
3425,639
2587,483
1334,364
2945,755
3416,1270
2443,572
1528,1118
3545,791
1285,881
1920,970
2942,786
2301,26
3064,775
1654,1222
3681,881
3757,1043
869,1385
3003,178
3395,1436
1083,1266
3703,527
164,1569
3395,125
307,353
2600,578
711,917
3284,242
2872,984
2020,578
2812,66
304,1569
1308,561
445,989
2073,829
2540,364
1744,1152
575,429
1234,1043
2852,17
2610,1076
3572,37
3150,31
1661,661
1452,1435
2704,711
1673,1199
3530,814
3554,509
3557,1073
2244,352
2261,213
3356,1444
1802,338
1901,1043
3188,1017
2876,1511
170,17
3418,66
1655,485
2059,1393
1108,941
2990,242
3454,1125
2590,1118
3357,657
3217,1118
2939,702
1176,561
3206,153
2381,946
847,852
2919,1126
3390,1044
979,646
1421,561
2430,491
2578,235
2246,1178
1965,1170
3680,1377
137,755
378,561
2296,50
1052,627
2510,468
69,1059
2678,253
2824,715
2341,639
1142,242
3160,223
3162,239
2462,1499
393,15
3536,612
2208,1556
3194,416
1878,26
2114,815
2233,313
2662,1407
1653,998
464,1144
2441,1043
11,1377
3285,293
235,956
3280,1556
3244,898
1699,993
1373,1307
1293,872
337,435
3783,1012
3350,1379
3804,174
371,876
3027,939
1553,1118
2872,1179
1864,206
2878,870
3450,1569
561,1457
3228,641
2626,370
2630,843
511,1049
1264,352
1329,621
346,127
3214,685
3247,922
814,1393
2618,1168
3122,685
3482,1416
3414,103
712,917
3559,1032
2539,1032
408,1569
543,251
120,1337
1501,438
1279,317
3633,116
3306,1385
1774,1434
1351,79
828,437
3596,1447
2438,1197
1809,288
2577,231
748,196
409,947
3703,1171
2328,621
2448,595
561,464
1808,1011
645,1105
2386,1210
1646,448
2076,941
1782,959
887,288
2082,928
1890,867
2873,1092
3234,762
1376,685
265,920
1026,101
508,1118
1871,171
913,881
286,1278
3367,420
1099,1409
3589,1573
363,1043
1236,1043
3123,1193
2801,909
2421,639
3769,497
1759,1118
1236,1043
3700,673
3415,1229
3019,881
363,1043
3788,725
1881,561
2068,734
130,1483
1835,1002
4,1099
1771,1337
3225,621
437,328
2581,872
3519,799
565,403
1452,698
3052,1562
136,1569
2417,435
1239,1377
3671,1569
2299,1349
1234,1043
2473,1043
1951,639
143,459
2925,532
2587,748
2036,372
2096,998
1360,650
2020,128
2195,789
2945,755
965,921
1182,242
2685,1468
46,1343
3683,228
91,676
3720,629
2165,328
948,232
1172,295
334,1393
91,562
1685,104
2781,1396
3503,411
2431,675
2517,755
1205,565
1400,693
370,646
2056,1118
3460,893
810,1011
3519,365
2853,1225
2876,608
131,1055
2227,352
91,312
2045,339
2935,965
2933,1350
697,872
1771,581
469,1554
1971,755
1346,639
3283,1001
2218,552
249,1413
237,561
2296,699
2607,1576
1089,26
3428,1322
1615,782
2519,561
2739,1118
3265,1378
2799,1007
1969,970
1834,840
3570,1185
1658,685
3788,1078
1699,1535
2768,987
1129,125
1930,787
1841,1385
1375,1350
2815,579
3567,46
3186,1349
1657,806
2016,489
3283,293
3148,496
2065,364
2020,1465
2664,639
1901,1043
52,410
3209,364
1050,1102
1215,1202
3204,1306
2727,515
1520,561
3608,621
3477,1118
853,471
2984,1043
980,621
5,1098
3203,1377
1038,998
2441,1043
2002,735
3283,1324
3454,800
3031,642
606,1118
3795,992
578,349
3000,685
1603,1483
2826,420
1216,26
1187,1007
229,9
909,242
832,51
1227,169
442,874
2675,364
3519,659
3353,1573
3622,101
605,681
269,24
1866,806
656,288
1776,1377
2814,632
3600,721
2569,926
3484,1291
767,639
2265,988
768,196
2751,458
2780,919
2658,51
2571,26
1810,1147
1149,1266
177,795
1147,352
3578,991
502,1207
2865,160
1280,26
1101,275
3731,386
2161,234
3128,1330
155,420
389,710
1478,621
1290,495
58,797
3549,1517
1642,559
2813,274
2984,1043
1585,370
1603,677
2867,799
908,583
2841,114
1225,364
1839,1573
999,100
3530,1526
3614,1179
545,694
2755,1465
2640,561
3144,65
389,1048
2647,755
3264,555
602,992
2304,794
822,800
1456,1043
501,227
3381,874
3391,1255
63,685
122,1393
539,1216
145,886
822,800
154,163
113,1025
1844,561
2339,755
594,688
3112,639
3128,815
251,1337
3584,625
2,952
1236,1043
3339,101
320,1137
869,125
2295,547
636,6
1767,254
1920,152
3647,358
1703,125
1643,1
2536,1001
2001,1414
1769,99
2715,1229
731,358
544,334
481,449
2685,137
3148,296
3192,1031
2083,926
26,1121
2992,126
3457,1337
2240,1424
1187,1102
372,561
211,1487
1236,1043
134,230
2245,357
3719,197
3085,621
2303,650
3733,1337
2015,370
3481,1579
1992,757
2978,685
2293,1569
3669,198
298,352
3105,15
3392,536
290,1468
2588,156
1722,890
2043,133
46,677
476,348
3262,1578
2904,836
2444,1569
762,432
2888,1180
2806,1500
1507,639
1473,965
303,26
3509,1569
3449,1141
1835,101
1913,915
1461,386
2600,984
136,242
3777,101
2831,364
1306,814
1629,1010
2340,1447
2324,52
1398,547
2984,1043
3153,1232
693,101
779,1569
2538,569
57,1522
1456,1043
2730,872
2003,37
2972,442
3220,1337
1435,508
3460,1040
3259,116
953,775
3624,350
3695,782
3118,1069
584,1054
805,125
208,1118
967,229
1138,89
363,1043
2517,755
2326,1055
2836,1572
3658,364
997,411
3806,415
2250,639
426,801
2635,1364
1310,1218
3254,1029
1540,1087
2212,589
1367,631
1222,1453
1171,740
1563,1393
930,1573
2161,11
2987,13
87,578
2118,779
2841,1035
2354,623
2283,1276
598,1435
3669,1270
1323,639
2063,1469
1042,542
3390,886
455,242
3115,1530
2841,853
1192,1337
1890,370
1200,731
1187,756
560,937
99,445
2864,281
3668,1563
3091,723
3055,1504
696,352
1652,281
3557,1465
506,712
2454,560
3352,756
942,1077
1236,1043
1765,476
2587,1567
3127,881
2958,757
2407,1068
2544,582
2005,1265
875,187
2778,1082
151,1429
197,1242
1177,1503
1184,1455
3266,653
2968,1203
2017,561
596,1221
1758,1337
1024,586
3299,1476
2845,596
2960,577
2441,1043
1487,144
590,7
2754,1484
1353,352
3585,26
2319,561
3050,738
201,1387
3786,756
1673,316
3541,1294
1984,786
1702,872
1252,1173
2831,352
2613,142
2413,1382
2913,506
850,242
128,1422
2849,1337
1234,1043
3221,1335
1343,364
3454,801
20,612
1586,1337
1699,1241
2903,639
420,1258
3491,206
1664,1103
2199,211
1947,667
3523,1267
347,504
2856,99
2868,738
2958,332
2355,1118
2915,237
1180,754
2864,1400
453,491
860,485
