h_entity,t_entity,relation
11373,23817,0
21537,7682,0
19330,23404,0
9012,21871,0
29919,6601,0
10220,22606,0
9176,27561,0
6184,26568,0
21033,2482,0
16072,15044,0
5051,9780,0
14685,7681,0
7439,26252,0
2321,26690,0
5565,28688,0
2027,18640,0
14952,13338,0
20900,12650,0
15560,4773,0
16339,8262,0
29413,19626,0
3976,1508,0
29092,9688,0
6639,18935,0
5965,1958,0
5075,8163,0
4953,6346,0
9639,9946,0
7575,1287,0
11794,268,0
5788,248,0
25967,11356,0
27205,21756,0
27752,14528,0
1270,10173,0
27052,25269,0
12288,12541,0
28638,12009,0
27600,3710,0
18720,5306,0
10528,16985,0
8854,3586,0
22409,26940,0
25047,6605,0
26844,5193,0
3129,28149,0
14919,5354,0
5120,24840,0
27367,24807,0
23809,25236,0
19737,21765,0
89,9513,0
13617,7081,0
29542,6821,0
23748,11744,0
27842,1845,0
5451,16383,0
16468,21531,0
25155,26991,0
11396,20433,0
19460,28900,0
15578,22579,0
4336,5866,0
12269,12565,0
26514,29548,0
10770,5064,0
3215,19744,0
12244,17059,0
9732,22959,0
18234,14391,0
23423,12408,0
11130,6672,0
13068,18801,0
1551,6606,0
9155,19032,0
18919,5958,0
15918,2300,0
21378,27070,0
3536,12581,0
19530,16466,0
24108,9938,0
5891,18125,0
13622,17080,0
19311,28918,0
5302,6097,0
21023,26806,0
29585,440,0
9169,13829,0
13371,16192,0
28754,7294,0
4542,24865,0
11241,4741,0
3483,1859,0
21532,29271,0
18807,25237,0
11232,19757,0
21957,26114,0
4076,24945,0
7850,9112,0
21331,22597,0
23336,16323,0
16938,12972,0
10764,3356,0
6802,23275,0
6920,4690,0
11777,10380,0
14482,26702,0
23021,2762,0
251,3263,0
20289,7327,0
22924,2482,0
8292,5588,0
22162,23718,0
17290,6850,0
23962,20053,0
17910,15500,0
7656,16483,0
12833,8505,0
22056,13545,0
28253,11321,0
16683,15251,0
26475,27563,0
30355,10452,0
359,22137,0
1523,17820,0
15948,5575,0
27604,20640,0
4865,7011,0
2377,25577,0
16741,22305,0
23935,18946,0
11261,24925,0
23793,15934,0
17394,29943,0
25403,23787,0
4183,7048,0
24517,5159,0
17647,23096,0
18363,15910,0
25063,421,0
25884,23169,0
24170,30583,0
3525,979,0
19993,15945,0
8531,1587,0
7279,9408,0
9701,4316,0
5597,1115,0
8901,19772,0
20033,5894,0
28158,5207,0
12526,11779,0
3490,17910,0
8774,11000,0
7731,25409,0
10166,21570,0
13264,21591,0
10779,13251,0
8940,25594,0
6000,23195,0
21407,14062,0
14442,2306,0
18518,3178,0
5875,27724,0
15415,9311,0
29106,13804,0
2270,9494,0
24728,22881,0
27377,13171,0
26693,16823,0
8928,25649,0
4062,5007,0
4885,2646,0
18391,23784,0
14568,8633,0
14499,4496,0
19739,15282,0
14634,20452,0
19054,15594,0
16637,29493,0
767,16133,0
3636,29540,0
26234,26867,0
25715,19291,0
16946,30467,0
8830,16851,0
12564,5681,0
13619,3933,0
26900,2987,0
15968,29979,0
17312,11920,0
13093,20368,0
5377,26086,0
22979,6525,0
26025,24254,0
26077,13597,0
1499,2813,0
26722,16140,0
28014,15559,0
21396,26516,0
10181,29145,0
9041,25604,0
3556,30324,0
12780,11842,0
29490,17670,0
29511,11094,0
13045,27775,0
26501,24733,0
10894,29647,0
22223,14126,0
22165,11247,0
16305,15567,0
18107,21713,0
18322,25059,0
5374,11960,0
555,23918,0
5692,16586,0
13891,27875,0
2882,28993,0
28750,15285,0
668,19851,0
10661,24026,0
12695,16171,0
9203,24000,0
12235,24404,0
20850,27620,0
7506,15859,0
13211,30291,0
5151,17070,0
29368,11663,0
25294,15540,0
10054,17983,0
5078,613,0
2491,26825,0
813,9584,0
2442,17990,0
583,15549,0
28652,22149,0
29279,21056,0
17006,15549,0
3865,21002,0
2265,22850,0
2821,17754,0
10368,27533,0
9128,28161,0
16466,28969,0
25535,5728,0
28920,22155,0
20097,14345,0
16583,615,0
25425,17804,0
18207,21327,0
4011,30339,0
17459,9046,0
8899,1384,0
5392,19714,0
23780,16275,0
6116,9494,0
1637,20504,0
20403,29906,0
20547,28852,0
21909,28192,0
1090,7903,0
742,25339,0
