h_entity,t_entity,relation
4488,43,0
14402,1065,0
10745,2657,0
21545,2840,0
26032,3839,0
19082,2201,0
28959,2255,0
13952,2657,0
21384,43,0
13154,3647,0
20161,43,0
16677,2549,0
26781,1041,0
17410,4086,0
5447,2843,0
13336,3298,0
12544,43,0
4952,1051,0
18154,580,0
23417,3551,0
5347,43,0
20758,20,0
21653,2657,0
27902,1963,0
16730,43,0
14982,3364,0
5658,3839,0
24052,43,0
17327,2657,0
23157,2605,0
4198,2928,0
28320,1742,0
28100,43,0
14300,2915,0
14435,3844,0
25912,3463,0
15905,2657,0
4447,2657,0
24861,2508,0
13095,20,0
15137,107,0
11011,1372,0
6789,3686,0
28418,4055,0
21320,300,0
25836,3237,0
7876,43,0
14012,2657,0
15252,1921,0
19663,43,0
26426,43,0
10683,43,0
13789,43,0
23722,2657,0
11835,1184,0
18926,2657,0
22284,1771,0
5540,43,0
21350,1695,0
7691,2927,0
17158,2657,0
11470,2427,0
10613,2657,0
5389,3218,0
22268,2843,0
14184,283,0
13824,2657,0
12921,98,0
13368,2383,0
24469,98,0
9525,73,0
24114,4055,0
4528,522,0
26050,1319,0
8421,2657,0
17515,14,0
12355,43,0
10178,512,0
14126,3426,0
10259,326,0
25737,3062,0
27176,3441,0
12530,43,0
5371,842,0
28919,3839,0
27594,2657,0
4366,2657,0
24532,3839,0
8245,245,0
26337,2657,0
7210,43,0
9596,2120,0
23691,957,0
18209,1489,0
16599,1323,0
11258,43,0
17801,3309,0
21699,20,0
8402,2657,0
19717,2657,0
6670,493,0
6735,2657,0
27731,39,0
14607,1430,0
4461,43,0
23578,2840,0
14673,2548,0
5292,43,0
12040,20,0
18444,884,0
6930,43,0
8535,700,0
27325,1118,0
13474,43,0
15534,403,0
21104,4008,0
17293,3046,0
21215,488,0
21516,884,0
20428,20,0
10739,31,0
20764,43,0
9565,3463,0
16549,772,0
11947,3016,0
11817,2129,0
18712,2813,0
4160,2613,0
13201,1742,0
8522,2630,0
9150,43,0
19484,43,0
28952,278,0
8794,1061,0
13310,807,0
23512,1307,0
23905,269,0
19619,3441,0
21205,3839,0
26321,2449,0
14724,2657,0
21989,3215,0
14955,2831,0
22611,2690,0
22324,2657,0
26502,2506,0
14948,43,0
28466,3984,0
4815,388,0
9464,43,0
24440,64,0
14242,919,0
14209,1681,0
5692,3273,0
20198,438,0
12690,3917,0
27622,3196,0
12246,575,0
6372,2657,0
6859,773,0
19727,2627,0
7611,2345,0
13532,2627,0
13897,43,0
19359,389,0
25023,2657,0
17821,2432,0
21060,43,0
21140,2687,0
27951,43,0
25080,3839,0
16997,3781,0
17301,1184,0
6210,43,0
24674,2045,0
8429,2840,0
23415,43,0
7355,580,0
19797,1266,0
16500,50,0
13909,3160,0
23533,43,0
5382,1479,0
23769,1963,0
27225,2657,0
27313,2971,0
6356,2657,0
10881,2657,0
6723,4086,0
25101,2657,0
16775,3309,0
26406,2657,0
16116,1930,0
14983,588,0
24180,2840,0
18851,1184,0
7173,98,0
16859,3686,0
24940,2657,0
25731,1065,0
23553,2657,0
16083,3686,0
8011,2000,0
17419,1266,0
6047,289,0
8322,3686,0
12548,2843,0
15125,43,0
11675,3441,0
4323,2657,0
7529,1800,0
27605,43,0
19065,3463,0
12437,1467,0
6515,677,0
10363,43,0
10109,3631,0
25662,2657,0
12620,4055,0
7704,472,0
12273,457,0
22152,43,0
27018,3839,0
11152,43,0
7235,2657,0
6148,576,0
4781,357,0
10465,2657,0
28096,1118,0
19864,721,0
28347,1747,0
4960,20,0
5136,2204,0
24332,2690,0
5478,2657,0
20061,3463,0
11823,2209,0
4818,43,0
24116,1028,0
5380,1929,0
11305,2507,0
23872,43,0
7026,1179,0
28317,2657,0
14207,3441,0
4963,1197,0
11923,2295,0
13700,43,0
25276,2051,0
4612,2657,0
13490,2682,0
17723,2739,0
