reviewerID,asin
386,43
10300,1065
6643,2657
17443,2840
21930,3839
14980,2201
24857,2255
9850,2657
17282,43
9052,3647
16059,43
12575,2549
22679,1041
13308,4086
1345,2843
9234,3298
8442,43
850,1051
14052,580
19315,3551
1245,43
16656,20
17551,2657
23800,1963
12628,43
10880,3364
1556,3839
19950,43
13225,2657
19055,2605
96,2928
24218,1742
23998,43
10198,2915
10333,3844
21810,3463
11803,2657
345,2657
20759,2508
8993,20
11035,107
6909,1372
2687,3686
24316,4055
17218,300
21734,3237
3774,43
9910,2657
11150,1921
15561,43
22324,43
6581,43
9687,43
19620,2657
7733,1184
14824,2657
18182,1771
1438,43
17248,1695
3589,2927
13056,2657
7368,2427
6511,2657
1287,3218
18166,2843
10082,283
9722,2657
8819,98
9266,2383
20367,98
5423,73
20012,4055
426,522
21948,1319
4319,2657
13413,14
8253,43
6076,512
10024,3426
6157,326
21635,3062
23074,3441
8428,43
1269,842
24817,3839
23492,2657
264,2657
20430,3839
4143,245
22235,2657
3108,43
5494,2120
19589,957
14107,1489
12497,1323
7156,43
13699,3309
17597,20
4300,2657
15615,2657
2568,493
2633,2657
23629,39
10505,1430
359,43
19476,2840
10571,2548
1190,43
7938,20
14342,884
2828,43
4433,700
23223,1118
9372,43
11432,403
17002,4008
13191,3046
17113,488
17414,884
16326,20
6637,31
16662,43
5463,3463
12447,772
7845,3016
7715,2129
14610,2813
58,2613
9099,1742
4420,2630
5048,43
15382,43
24850,278
4692,1061
9208,807
19410,1307
19803,269
15517,3441
17103,3839
22219,2449
10622,2657
17887,3215
10853,2831
18509,2690
18222,2657
22400,2506
10846,43
24364,3984
713,388
5362,43
20338,64
10140,919
10107,1681
1590,3273
16096,438
8588,3917
23520,3196
8144,575
2270,2657
2757,773
15625,2627
3509,2345
9430,2627
9795,43
15257,389
20921,2657
13719,2432
16958,43
17038,2687
23849,43
20978,3839
12895,3781
13199,1184
2108,43
20572,2045
4327,2840
19313,43
3253,580
15695,1266
12398,50
9807,3160
19431,43
1280,1479
19667,1963
23123,2657
23211,2971
2254,2657
6779,2657
2621,4086
20999,2657
12673,3309
22304,2657
12014,1930
10881,588
20078,2840
14749,1184
3071,98
12757,3686
20838,2657
21629,1065
19451,2657
11981,3686
3909,2000
13317,1266
1945,289
4220,3686
8446,2843
11023,43
7573,3441
221,2657
3427,1800
23503,43
14963,3463
8335,1467
2413,677
6261,43
6007,3631
21560,2657
8518,4055
3602,472
8171,457
18050,43
22916,3839
7050,43
3133,2657
2046,576
679,357
6363,2657
23994,1118
15762,721
24245,1747
858,20
1034,2204
20230,2690
1376,2657
15959,3463
7721,2209
716,43
