reviewerID,asin
11149,389
3759,3349
3155,2451
13797,744
24438,3118
3266,3062
10021,3166
1779,3947
15144,2655
15994,3816
19376,4013
10799,3451
12377,480
19375,3973
19180,3403
11273,3457
10867,3678
6964,1933
16256,1059
23975,568
658,3999
12459,1224
8007,3786
21976,2968
12716,1830
9285,716
24889,723
21019,954
12122,2899
18160,986
694,2860
11797,3629
16887,785
21927,3922
24448,1735
16377,3027
285,3232
14840,283
11576,1437
7195,2071
22428,1373
17776,419
18815,152
5651,346
6865,559
10835,248
13971,3724
12042,632
13584,2857
1025,2148
7681,1328
1064,3167
14092,3587
9244,3879
24247,3705
3363,1742
19988,393
22648,2203
18299,1082
4134,241
20348,1440
1948,1577
22878,1046
1547,2739
11665,49
10970,169
1552,3951
8010,2237
7508,3107
12211,1705
14216,564
7853,3112
3256,3320
1629,1549
6283,3721
22622,2452
18927,1824
22915,3939
9149,1097
21264,2771
5904,725
5562,120
23992,3164
19867,3593
24138,1730
22261,3473
19978,1872
22202,3175
7611,1811
7834,1431
1046,3671
8369,2808
23139,3632
24437,613
22037,2488
13980,1133
2116,254
10721,857
15645,2200
5135,1767
8297,2790
15430,3676
1147,3637
814,1787
7465,2143
5736,84
23291,3446
8514,1669
13079,2472
22076,893
15343,2503
9999,1834
22205,2994
24087,1830
12886,3572
13376,3298
24232,511
19405,3421
18811,3548
16784,520
18129,3568
23429,1570
21797,105
10147,2778
11478,256
6926,2576
18399,304
8373,3528
4571,3369
21098,1217
1694,646
24086,2520
19606,1409
2370,2237
12249,1590
20936,588
11287,203
8262,2985
21443,69
15298,2971
17027,58
5190,3140
14793,340
17504,2671
19703,3502
2,506
13018,4009
14385,592
10627,1455
16568,1821
18507,3499
18657,2730
1540,3142
16711,3353
1081,330
24199,1462
7197,269
16175,3954
24912,3099
619,2387
3693,1720
12955,3464
5257,1099
12037,875
22262,1367
18868,1465
23235,3525
22893,3216
24692,3579
14651,1973
16671,1935
20232,458
24931,168
20382,112
2640,1249
15988,3125
3777,633
14127,2044
12618,4080
15158,4001
4116,2879
123,3270
18791,198
10512,1883
12042,190
22689,2973
9063,3814
5949,1686
20586,471
22754,3251
21180,66
13993,1836
17578,2164
13008,1520
19418,3231
14096,2108
6046,2916
13237,3493
5354,2369
15404,127
15376,333
9314,2653
6169,3707
12735,2118
21012,1864
17738,523
23406,822
16915,230
22058,3688
1188,3872
20012,471
20332,2834
14567,2708
2362,972
21339,1889
24960,3999
15737,217
23388,1171
6617,3413
21307,3000
11569,1860
23256,3345
16526,2835
4935,1106
24661,3428
21172,3
21836,2748
1893,4009
2385,1439
1544,956
24176,4067
21692,2919
20882,1144
19180,2508
7518,3708
12015,3512
15216,4015
13649,1935
22501,3658
900,3370
4279,2007
20753,3055
7976,2903
16843,1014
13380,495
8560,3579
2664,1327
22398,3146
15688,1632
5785,1451
4215,1112
13930,3803
23902,420
1882,962
21173,3113
18111,1307
19810,2469
3671,301
4537,1676
8882,2645
12158,1833
12340,1927
5565,226
7192,432
13857,2374
22540,332
2232,1570
9625,792
11626,1629
14075,1154
6902,2906
2232,3574
24209,1961
14949,3693
7821,44
21657,972
14657,2662
1384,1317
17850,1129
3938,4067
4904,1353
12521,153
15907,3916
15278,1654
19448,3295
5169,2522
6919,3787
10061,1612
4495,3932
19684,2053
10691,1933
8489,488
24874,2402
11778,3028
18292,1379
16739,4085
16962,13
5626,3667
21244,1023
19796,1749
11397,3380
18768,404
14077,2227
23567,1941
9423,250
4958,2846
23763,3973
4664,104
15920,3919
3056,3010
18287,970
14855,3
12159,630
15447,2701
21523,1612
23203,4058
21423,2469
3739,2416
891,1957
18188,405
8940,1555
6445,248
22578,403
2119,217
19130,722
9429,62
12178,2954
24224,1360
11743,2848
17449,2736
4865,2275
158,1194
23822,2282
6772,3643
22218,1144
2743,1290
13211,1542
2657,3397
604,1125
13107,456
3635,3765
4371,3248
7992,3116
11370,1141
11639,3815
4477,1344
3264,670
17436,3337
7071,592
7638,893
5742,2182
23526,2811
11665,2262
4039,1749
16137,3439
10588,1440
13335,2068
4796,3198
15194,2096
1389,2512
17096,3334
6158,82
3888,1845
14906,1979
19354,3296
12082,3771
20897,2302
7835,1341
4693,2185
4471,2574
21036,1479
11610,3759
7131,1358
8274,1859
7651,3884
20554,2491
8978,1990
11714,673
3545,2956
10821,489
12341,2141
3311,2296
16866,1815
2689,1919
5565,2090
22624,3302
20966,3919
5784,1410
17964,2845
20160,3628
1699,847
24610,2750
10312,3437
1020,1310
491,2307
21099,3680
24292,2715
21087,1802
15595,1077
18429,3823
8629,3212
10516,3390
4737,3609
21830,1713
9641,1808
23192,1281
14983,2652
9625,1868
13595,3778
3199,1185
12803,1102
7205,4087
10682,3026
21655,3534
19295,1558
14186,2650
22040,1616
5672,2492
3520,289
19649,96
15257,4076
15708,1435
10686,2267
7307,2574
1570,850
473,3164
24077,1074
2546,1019
16389,1830
19520,1304
15673,2083
21641,79
21512,3125
24612,3035
10333,739
19691,2862
17705,3222
10912,1953
20205,3862
7450,2575
14887,454
16216,3675
7839,3832
13947,1087
2985,2093
23731,1408
12966,2760
18681,2038
13072,2037
20729,782
11370,2197
18970,3437
4998,124
23317,3174
15777,2247
19066,586
13598,3753
4863,1172
6852,3495
10851,1032
6125,4043
4334,221
14547,3780
3969,2257
13421,1900
15747,470
17167,3360
9627,3559
23361,412
7458,1952
3279,1639
10686,4059
12410,3480
8505,1627
14327,2373
22618,3602
21253,983
6641,3889
2772,2721
3816,3239
16653,2727
12732,2517
5908,2782
10783,2187
21762,1517
16005,1642
4977,3035
8399,3702
24392,2282
20307,892
9546,1652
24481,3039
6811,2553
5699,1773
21220,433
18232,4
19319,2172
16567,1889
23441,2036
14562,2562
20695,2882
8751,2214
11228,1443
21751,1755
12125,2447
22695,2651
13984,3442
17996,3237
3879,1953
17862,3839
12430,2252
20592,872
6097,1545
24733,3100
5435,1497
20076,3890
6024,3605
13982,123
24111,1706
23970,18
7801,1236
5244,2383
11437,1550
7938,3039
4945,2950
10807,2265
16605,3434
24325,1648
22946,2491
14527,415
10689,1263
18852,1615
8780,2462
8578,3022
8357,4088
6320,1802
22637,2018
22476,190
867,2760
18081,1383
2150,1207
506,381
548,3520
8664,2127
9538,3354
17476,4015
4639,2243
7296,2594
23199,0
17982,729
13178,356
23455,1390
23472,3581
3095,2257
16309,3960
12844,3963
4914,3961
2736,416
1104,3888
14697,1111
18405,2086
13303,3218
24853,1809
1631,119
20501,3503
15618,787
5407,501
2239,103
11217,4028
7515,1807
15779,2434
8421,3361
4679,3833
5987,2216
10729,1819
22075,3347
2557,3575
14598,151
20737,3385
11523,922
5329,2365
893,3805
15380,2140
6454,1180
24531,824
23078,3635
22143,3815
14135,2641
8170,816
12907,3223
23862,3507
15389,3808
1488,1753
1179,767
18084,2875
8673,193
15343,882
4991,3180
17184,3626
378,2255
9608,358
6911,1327
17269,3595
14615,1581
22414,2612
22068,776
5289,1263
21615,2581
5625,1501
24665,3654
20209,2754
17709,2313
13086,905
23277,2808
1671,3004
12732,3628
8824,3765
1662,3639
8579,2953
10077,937
10843,1796
16010,192
6319,1546
2604,1287
688,1499
2776,3533
6961,1415
19109,2329
17413,705
20877,3050
23098,1471
12689,3809
24567,3511
18846,2164
12957,1523
12317,2985
1075,2582
7794,878
8612,3044
10413,2269
18462,926
342,3654
11687,251
9632,471
13324,2653
19963,1147
11998,1508
19218,31
