h_entity,t_entity,relation
3105,4186,0
2042,5143,0
2615,2489,0
4991,1132,0
3868,1938,0
4696,114,0
482,5202,0
1602,4619,0
2629,90,0
5328,2716,0
4581,2897,0
1274,2142,0
1697,3734,0
4758,851,0
3118,5304,0
1074,3899,0
390,569,0
3145,2026,0
2678,3402,0
3567,588,0
3478,2182,0
5403,843,0
4908,256,0
5025,537,0
932,3639,0
911,450,0
114,2185,0
4654,2234,0
4615,1952,0
3281,1232,0
3239,4537,0
1542,200,0
2536,3360,0
943,3768,0
2942,4414,0
2504,3455,0
22,5087,0
1740,5225,0
4085,2550,0
4370,3369,0
196,3512,0
4397,409,0
2836,4083,0
3194,2187,0
396,1638,0
4848,4171,0
4214,3214,0
5183,3749,0
5062,519,0
2005,4609,0
3094,1871,0
4442,5047,0
280,5151,0
104,2946,0
216,343,0
2590,34,0
2191,2913,0
913,2690,0
3190,1498,0
4412,2207,0
1633,1253,0
240,4946,0
3167,5380,0
3319,5148,0
1426,1982,0
4153,3235,0
18,2882,0
4087,3086,0
4371,1377,0
4890,74,0
196,1816,0
854,3488,0
3691,688,0
2293,3868,0
4815,5365,0
4888,1021,0
619,1251,0
2563,1180,0
1870,4877,0
3005,3467,0
4687,4101,0
3643,4509,0
4933,1061,0
4794,510,0
489,4128,0
4772,1202,0
989,3066,0
2691,4531,0
3185,1067,0
4527,1557,0
1318,4235,0
765,2249,0
2802,3071,0
2052,4873,0
1326,4991,0
3271,3918,0
1195,1470,0
4265,299,0
2013,4012,0
1639,1667,0
1248,1976,0
586,4027,0
3929,2430,0
3790,4264,0
874,3298,0
953,665,0
4419,3651,0
3831,2829,0
3791,3342,0
2715,3633,0
2498,1205,0
3553,4386,0
4173,3120,0
3936,5245,0
1761,2213,0
691,822,0
1349,3695,0
2176,3027,0
3013,719,0
3769,4292,0
4343,3359,0
2187,2018,0
2263,2709,0
5292,5241,0
3740,541,0
2303,3919,0
5017,3334,0
31,1098,0
5048,1571,0
4471,3529,0
111,755,0
4500,4490,0
4427,2227,0
2365,4487,0
4674,3110,0
3056,5228,0
298,2252,0
2987,3452,0
947,0,0
4596,1801,0
2946,4552,0
5225,4805,0
3175,5321,0
616,2572,0
3035,1641,0
993,1483,0
3645,4545,0
4509,4185,0
2097,3850,0
2228,5406,0
5080,4420,0
2080,2729,0
2491,407,0
2582,1468,0
3263,2861,0
5148,2809,0
431,3771,0
241,526,0
3105,201,0
2461,3987,0
543,1126,0
4488,5347,0
5283,1564,0
4690,2999,0
407,2599,0
430,1360,0
1853,1748,0
1566,2503,0
4241,3466,0
2742,3058,0
3627,2277,0
3084,130,0
2031,4450,0
3711,1687,0
1484,2737,0
1765,4594,0
2573,910,0
3073,2272,0
1513,1384,0
4028,1044,0
2762,3770,0
247,4500,0
204,5165,0
5349,4992,0
4631,2204,0
5388,804,0
383,1218,0
290,3683,0
593,438,0
3394,1828,0
1411,5241,0
5335,4310,0
657,3248,0
1519,3373,0
2981,1454,0
2319,5043,0
2711,5029,0
4701,4349,0
999,185,0
3816,4633,0
2607,3966,0
3348,2305,0
4418,2315,0
135,1907,0
467,4907,0
1146,484,0
4325,5019,0
4956,4781,0
2375,765,0
383,1698,0
4732,4064,0
2586,5296,0
3419,690,0
3834,3368,0
2197,2890,0
4447,1830,0
2910,1429,0
3323,3195,0
5040,5393,0
2381,3114,0
3747,4404,0
1636,446,0
5032,1341,0
3907,2664,0
3007,2926,0
4250,2428,0
2222,1394,0
3390,265,0
2775,252,0
3670,1238,0
1129,3368,0
2508,458,0
4682,2673,0
423,2774,0
4600,2452,0
4638,5379,0
4746,3132,0
1334,3193,0
5171,2832,0
5080,3453,0
3378,3642,0
5045,4541,0
1592,2301,0
5132,3606,0
4759,3300,0
1243,1470,0
291,3552,0
1643,2212,0
4235,915,0
5132,134,0
2074,3846,0
293,876,0
3588,3634,0
1874,5384,0
2085,743,0
1926,4110,0
4420,3013,0
627,113,0
3655,4694,0
1620,1797,0
1243,1843,0
4220,960,0
5057,4389,0
333,5291,0
2729,1251,0
2748,1395,0
5012,2131,0
3515,4227,0
5184,4509,0
5398,3371,0
1406,13,0
2341,409,0
5095,4321,0
3558,1846,0
3708,821,0
2862,5074,0
2833,1533,0
3305,5369,0
1444,4252,0
3690,3570,0
1854,1616,0
2255,3215,0
426,2344,0
2226,3955,0
2965,1887,0
4321,195,0
4147,3347,0
3407,529,0
2407,4991,0
3612,2499,0
3365,3123,0
4690,1678,0
1028,2150,0
3814,2126,0
2083,3741,0
1180,200,0
170,5145,0
2044,1443,0
5210,4541,0
3418,984,0
5141,1226,0
2187,4463,0
4983,3848,0
3561,3131,0
334,1795,0
4765,364,0
5398,2166,0
87,496,0
3844,5028,0
4045,2740,0
2886,4724,0
2788,1813,0
62,3229,0
2544,5328,0
2109,3680,0
4256,428,0
2081,5307,0
24,91,0
1245,4611,0
5335,3726,0
5393,3428,0
727,1559,0
2380,4358,0
1359,4701,0
907,2613,0
4651,5184,0
2905,4980,0
2058,262,0
3595,4806,0
5111,1881,0
281,2174,0
4936,940,0
2718,4860,0
4974,4850,0
2221,4322,0
3610,3562,0
4777,1499,0
3042,827,0
4663,3336,0
2217,537,0
899,5389,0
2551,3698,0
4114,4129,0
269,1949,0
4334,5150,0
2450,1759,0
4490,3727,0
1321,2460,0
1368,5122,0
441,414,0
704,4816,0
5336,1901,0
1492,4473,0
425,4760,0
3359,3321,0
2769,1107,0
1844,498,0
2278,727,0
4896,2358,0
3132,3270,0
1260,3141,0
2262,3434,0
3770,1191,0
4660,807,0
3864,1376,0
2911,440,0
1779,1717,0
1681,1900,0
5312,5125,0
4240,3258,0
2554,1371,0
2200,1974,0
1598,1638,0
4218,2313,0
4521,1210,0
2027,296,0
1637,439,0
3639,451,0
2865,4240,0
3257,1972,0
3741,5327,0
930,1385,0
5090,5235,0
846,5120,0
2039,5224,0
5371,1698,0
1303,3319,0
1769,4691,0
2670,4872,0
2312,3537,0
3516,5221,0
1691,206,0
1849,1294,0
1650,519,0
227,836,0
2006,3368,0
2348,1962,0
2804,3825,0
370,4646,0
2296,5069,0
1482,863,0
5302,1988,0
3024,2693,0
2664,5122,0
4101,630,0
5009,4190,0
5360,4227,0
3496,4516,0
1388,636,0
1964,5054,0
1076,3184,0
1060,4875,0
536,5276,0
2981,3694,0
3294,1477,0
3189,1449,0
3451,4409,0
667,1075,0
3615,5133,0
1459,2984,0
4734,3262,0
946,1973,0
1160,4408,0
3628,1045,0
4915,4555,0
2832,403,0
2432,4841,0
1027,2771,0
984,5028,0
377,1890,0
5176,3924,0
2612,2468,0
706,909,0
4746,4543,0
2951,1730,0
3493,1690,0
2127,2870,0
1203,4374,0
5070,3474,0
4185,2322,0
4310,4805,0
5045,1132,0
2217,688,0
3656,3770,0
782,2027,0
868,696,0
4824,4669,0
3098,2876,0
2570,5375,0
2207,1625,0
5130,5286,0
2595,2234,0
950,3132,0
3460,391,0
3853,5181,0
2650,2160,0
3618,4967,0
3121,1573,0
3746,4834,0
2733,4843,0
245,911,0
3994,3791,0
1307,1742,0
1529,2248,0
77,428,0
3310,2763,0
1883,340,0
1144,3000,0
3803,1681,0
4298,451,0
3838,4280,0
757,3515,0
2917,5349,0
3443,2487,0
5257,1093,0
4808,3365,0
3773,2520,0
2957,603,0
5290,1747,0
251,1382,0
1525,183,0
384,2329,0
4568,1223,0
4216,3065,0
3274,2770,0
3386,2536,0
3676,2014,0
5332,1533,0
3385,2415,0
2763,1282,0
4633,3828,0
5192,5396,0
3161,1152,0
514,2756,0
3609,1604,0
4450,2487,0
1402,3684,0
3358,4538,0
3194,4499,0
4567,3971,0
3967,1988,0
266,2183,0
3895,2455,0
576,2192,0
3684,2971,0
109,3904,0
1562,2124,0
4033,2773,0
2445,3659,0
2253,2573,0
1986,2671,0
1755,2910,0
1937,417,0
1761,1672,0
4167,3291,0
3375,1252,0
1308,681,0
4479,3770,0
4903,74,0
4023,3510,0
2476,3552,0
2594,4366,0
843,2586,0
4378,5071,0
658,4416,0
4088,3574,0
5297,3273,0
4117,1668,0
1921,797,0
3531,696,0
5327,1489,0
5081,3799,0
4337,4433,0
4072,2356,0
2110,944,0
350,1837,0
3972,3964,0
4778,2961,0
475,906,0
1591,913,0
2781,4524,0
2865,833,0
4181,5349,0
1379,3311,0
2336,4248,0
688,904,0
1219,4998,0
4594,1880,0
4041,1417,0
3494,4994,0
4833,3643,0
1368,1834,0
4448,2893,0
5147,3568,0
3237,5100,0
1800,1307,0
1989,1328,0
1717,3157,0
447,5312,0
2325,2016,0
336,2269,0
948,1550,0
2243,2931,0
2269,1074,0
4881,3118,0
2598,1093,0
309,2101,0
4744,1170,0
3202,1614,0
4958,5230,0
1830,2092,0
297,1924,0
3019,2106,0
3286,2683,0
2891,1842,0
2563,841,0
3876,3572,0
417,897,0
1524,2023,0
4482,3782,0
5379,4519,0
4123,3951,0
4059,3039,0
3521,2992,0
4079,561,0
1300,4613,0
4280,2490,0
5155,196,0
409,375,0
2018,5127,0
4844,2125,0
2975,1675,0
3918,4039,0
4234,4547,0
4086,1910,0
3162,4811,0
5145,2379,0
3107,4147,0
825,1056,0
3712,1598,0
1175,4159,0
4275,1758,0
4288,2587,0
1207,1110,0
598,4328,0
2300,5138,0
4860,941,0
640,1825,0
123,5329,0
4498,925,0
105,3392,0
1798,4009,0
2829,3343,0
2498,3703,0
2238,1064,0
422,5093,0
3909,3438,0
3881,3918,0
1851,1542,0
3167,4961,0
1842,2667,0
3002,1860,0
1490,776,0
3088,1893,0
2166,1270,0
814,759,0
1230,4070,0
624,5078,0
1317,1088,0
4655,5278,0
3161,700,0
2871,1552,0
1381,2140,0
4438,233,0
1282,2785,0
2105,507,0
869,5082,0
221,3167,0
1150,3181,0
1395,3290,0
4709,649,0
3812,1123,0
4094,2578,0
404,4674,0
1293,4783,0
2869,1481,0
772,3983,0
539,1779,0
4033,4254,0
718,4279,0
1481,3828,0
754,4530,0
2964,165,0
3771,1223,0
4672,4787,0
2394,4049,0
4236,5125,0
5405,4470,0
4510,2843,0
3738,3174,0
3467,2091,0
4030,906,0
4713,4514,0
4276,1726,0
1925,3325,0
4038,4156,0
2912,3113,0
166,1552,0
4200,1530,0
3815,2335,0
1108,2299,0
3597,3829,0
2867,1911,0
4749,1736,0
1611,201,0
2584,1842,0
4468,2838,0
1416,1083,0
2814,717,0
4483,5068,0
257,2009,0
478,4731,0
4366,4298,0
2241,945,0
890,2623,0
4645,608,0
1320,318,0
2798,3536,0
799,1834,0
3176,411,0
308,65,0
324,4473,0
125,2458,0
3304,5293,0
718,1957,0
927,4267,0
5339,2959,0
1090,4236,0
4040,3619,0
1468,5067,0
1539,1638,0
76,4273,0
5149,2461,0
4335,1821,0
4296,377,0
163,2687,0
5329,1191,0
4517,3091,0
4950,2691,0
1491,1536,0
677,1338,0
1310,363,0
2075,1640,0
2280,3606,0
4588,454,0
2834,5406,0
1294,3488,0
833,3478,0
4095,5270,0
3562,3512,0
4255,3830,0
4637,2459,0
578,311,0
4690,1547,0
1298,359,0
4632,69,0
1715,4138,0
3677,893,0
1210,5264,0
505,871,0
124,1682,0
3277,2219,0
261,1532,0
5035,2874,0
3807,812,0
3130,1677,0
2832,2868,0
1217,2658,0
4152,3845,0
1525,816,0
3350,3964,0
5157,3838,0
633,467,0
3149,5191,0
3744,417,0
763,1752,0
3821,3440,0
3984,2662,0
2961,2560,0
1971,3041,0
4047,3772,0
1597,2046,0
328,1646,0
4172,707,0
1165,1390,0
2051,2414,0
859,2871,0
4941,3792,0
5245,565,0
839,1047,0
3978,1511,0
3945,1590,0
18,3987,0
4227,276,0
2212,466,0
1993,343,0
4890,2182,0
840,3582,0
1553,1732,0
2060,2960,0
5311,870,0
2101,2036,0
3574,1496,0
4697,1040,0
4770,3606,0
4813,4931,0
3324,4288,0
1937,4293,0
4765,540,0
4339,909,0
2849,5253,0
1703,4823,0
2840,1828,0
5039,4588,0
3699,3834,0
2995,4190,0
3921,2240,0
1031,4113,0
31,694,0
1473,305,0
2716,4065,0
0,244,0
3060,2746,0
2379,4353,0
3309,2461,0
587,363,0
2301,3453,0
4225,2563,0
109,1608,0
2975,2662,0
1048,2932,0
5339,4810,0
3361,2037,0
4818,3885,0
5123,4357,0
4923,413,0
1132,995,0
671,2393,0
4880,3861,0
4592,3324,0
479,3643,0
221,5325,0
3854,2724,0
1071,3918,0
749,1236,0
4850,3653,0
2564,774,0
568,202,0
4883,1893,0
1405,3399,0
3456,2284,0
4435,2502,0
1317,420,0
4164,2721,0
3491,4696,0
4784,1519,0
2971,1787,0
27,2439,0
2346,94,0
3793,1053,0
877,4776,0
1014,3369,0
1482,4763,0
1917,2029,0
145,1521,0
4359,1777,0
3868,1322,0
3076,1296,0
1296,4079,0
620,2699,0
1842,499,0
3935,5070,0
4870,4581,0
2090,4755,0
3085,3049,0
4464,5287,0
1432,5264,0
883,1496,0
4299,2807,0
2592,3549,0
342,2099,0
2393,3890,0
5204,1158,0
3998,5261,0
2890,4899,0
4331,4598,0
3541,4302,0
1163,346,0
4082,3417,0
3557,4612,0
3289,1977,0
3980,2923,0
681,4073,0
4052,834,0
767,4761,0
582,2884,0
413,3976,0
43,1187,0
2335,5027,0
1676,1362,0
3915,1404,0
4053,330,0
3462,855,0
2661,1196,0
1667,3650,0
128,511,0
35,1931,0
3763,4983,0
2963,3633,0
3483,4277,0
5105,3784,0
1498,223,0
1734,3851,0
3957,3909,0
188,1718,0
3181,4616,0
4898,3406,0
5381,2518,0
3143,107,0
4549,1455,0
1899,1961,0
4926,2400,0
724,95,0
5213,1451,0
1510,238,0
175,1770,0
2071,2714,0
4847,4931,0
591,2775,0
138,767,0
1453,3834,0
1485,2062,0
3594,5226,0
3902,1876,0
5273,5144,0
2620,5236,0
5255,1297,0
51,3696,0
9,1630,0
4279,4228,0
4010,3534,0
75,1678,0
246,1738,0
1944,2265,0
4697,1881,0
1731,3565,0
1831,2987,0
4442,4722,0
106,2014,0
2325,4410,0
4858,2759,0
1767,1549,0
4073,4572,0
4858,740,0
738,3238,0
4457,2614,0
1975,2616,0
4034,3772,0
1172,4184,0
3124,1247,0
3025,1084,0
4898,3323,0
1944,1958,0
2818,4106,0
530,2897,0
1418,2058,0
2773,5091,0
1826,5001,0
2635,4981,0
1256,5070,0
4395,446,0
2331,2655,0
2824,1157,0
2878,2601,0
3391,2768,0
2496,2291,0
1050,2119,0
1906,2837,0
3479,2736,0
2426,3215,0
3247,2960,0
1839,2077,0
2883,4177,0
4424,3592,0
4279,1886,0
2187,2632,0
4934,4356,0
2715,4665,0
1070,3743,0
4581,2178,0
5014,86,0
2247,3037,0
1139,1822,0
2219,1628,0
3332,1640,0
1735,2718,0
1025,2298,0
4601,5006,0
4576,3803,0
2638,2647,0
420,3254,0
3507,1683,0
4998,1928,0
429,1928,0
3198,4031,0
5000,271,0
3839,4167,0
3439,905,0
3956,1207,0
725,3867,0
2697,3914,0
517,1184,0
1434,2594,0
2230,3911,0
846,1260,0
2986,5357,0
3237,377,0
252,1730,0
4872,4822,0
1329,2411,0
977,803,0
1491,3232,0
1956,938,0
5391,3198,0
5221,1702,0
1164,2867,0
3055,2358,0
2945,2752,0
751,4921,0
852,5305,0
2786,2981,0
2004,4851,0
3770,3244,0
2219,3440,0
3754,5382,0
3391,2260,0
786,1369,0
2124,3126,0
3656,5322,0
2656,4813,0
1005,1696,0
4745,5313,0
4283,126,0
3284,255,0
1841,4326,0
1782,4528,0
3094,1139,0
4573,2865,0
4566,2334,0
2085,1779,0
3196,5216,0
3830,3297,0
1438,2010,0
3225,2205,0
1539,330,0
1465,3055,0
3108,4703,0
