h_entity,t_entity,relation
3974,92,0
2162,617,0
3479,739,0
2931,614,0
2842,780,0
3689,1135,0
2203,1526,0
2857,1088,0
3244,1069,0
2551,314,0
2457,739,0
3801,1069,0
3577,1361,0
3706,1278,0
1866,734,0
5250,31,0
2686,697,0
4827,8,0
3514,1526,0
3062,188,0
3075,1435,0
2159,648,0
2255,491,0
3470,834,0
3655,113,0
4396,648,0
4751,1223,0
2158,686,0
4706,160,0
4385,597,0
4269,734,0
2598,340,0
4415,1419,0
3472,689,0
3963,1567,0
1866,734,0
3373,38,0
2587,973,0
2405,934,0
4959,878,0
4339,460,0
4236,1372,0
5237,1554,0
4195,323,0
2016,1502,0
1817,1414,0
2020,1517,0
4297,1019,0
2775,597,0
3263,182,0
3974,149,0
4663,297,0
2284,968,0
3853,1353,0
5316,1572,0
3389,734,0
1943,186,0
3251,1419,0
2381,196,0
2921,1435,0
1834,989,0
1669,1557,0
2621,265,0
2337,717,0
5121,251,0
3514,1526,0
3661,1191,0
4101,303,0
3971,599,0
4520,753,0
1633,935,0
4871,739,0
4733,238,0
3761,962,0
4508,1099,0
2702,723,0
3949,734,0
2465,1572,0
2203,292,0
3160,251,0
1715,575,0
4535,1526,0
1813,934,0
2697,648,0
4215,1143,0
3967,496,0
2971,10,0
5338,1415,0
3345,174,0
4405,943,0
2788,663,0
4357,580,0
3436,599,0
3252,779,0
5018,557,0
2837,135,0
2367,307,0
3133,60,0
2188,767,0
2834,648,0
3473,482,0
3003,379,0
2774,225,0
4186,1079,0
2599,275,0
2992,612,0
1970,260,0
4181,712,0
5142,1268,0
3786,1024,0
3330,1382,0
2531,180,0
2525,1346,0
3708,1414,0
4035,159,0
5338,1541,0
2267,169,0
4481,515,0
2941,1495,0
4871,1419,0
2907,244,0
2779,1352,0
3490,739,0
1892,1065,0
1720,1019,0
3893,1501,0
4550,1030,0
4391,1323,0
3472,493,0
4567,1241,0
4222,1462,0
3825,1192,0
2940,1436,0
3303,358,0
5368,151,0
3501,1019,0
3053,857,0
3790,857,0
1643,1213,0
3514,1049,0
3358,960,0
3659,1471,0
5083,86,0
4140,248,0
1840,1443,0
4921,854,0
3424,934,0
4690,934,0
4295,739,0
3398,1005,0
3389,734,0
4695,121,0
3397,403,0
2819,973,0
2131,238,0
4297,42,0
3247,388,0
2857,877,0
1780,293,0
2936,626,0
2192,1345,0
2905,12,0
4106,917,0
3047,1333,0
1708,506,0
4227,454,0
1939,734,0
5168,576,0
3110,734,0
4656,1344,0
4751,1463,0
4857,722,0
2023,1161,0
2970,1170,0
1950,613,0
3595,786,0
2248,1317,0
2803,734,0
2311,341,0
3110,734,0
2023,572,0
3753,74,0
5308,960,0
5373,297,0
3534,326,0
3063,464,0
3001,1025,0
2367,722,0
3943,888,0
2861,1358,0
4817,1425,0
3287,580,0
4966,570,0
5363,711,0
1716,1471,0
2410,1419,0
5332,293,0
2647,209,0
3730,522,0
2962,1496,0
1826,432,0
3648,104,0
3429,1438,0
3519,631,0
4881,1483,0
2992,1500,0
4891,297,0
2062,1469,0
4855,1305,0
3859,912,0
4979,570,0
2199,1414,0
1727,504,0
3097,1095,0
4845,989,0
5372,940,0
4550,106,0
4176,149,0
2751,196,0
2079,250,0
4939,1224,0
3446,388,0
4880,163,0
2053,1019,0
3370,450,0
4703,348,0
2847,196,0
3682,1572,0
4918,619,0
3873,837,0
2940,1365,0
1721,648,0
3450,314,0
4816,917,0
5381,1402,0
3809,645,0
4716,597,0
2818,352,0
4861,1496,0
4349,756,0
3162,83,0
5367,391,0
1868,131,0
2658,1088,0
2157,648,0
5347,430,0
4478,769,0
3983,94,0
3277,1521,0
5294,1416,0
1918,1402,0
2667,322,0
4664,341,0
4034,322,0
2019,725,0
2515,1374,0
2351,1514,0
5051,276,0
1731,1168,0
4760,23,0
3737,490,0
2198,1161,0
5372,1254,0
4756,291,0
3452,1479,0
2868,67,0
1964,241,0
2303,1394,0
2401,589,0
3161,1345,0
3407,597,0
1706,734,0
2170,583,0
4308,452,0
2452,480,0
3152,155,0
3002,1069,0
4532,900,0
4417,648,0
3140,718,0
2673,1572,0
4963,493,0
4756,1490,0
3110,734,0
1968,597,0
5088,293,0
1847,817,0
3816,885,0
2116,307,0
1883,335,0
4087,1122,0
5077,871,0
2626,1019,0
2110,379,0
4787,934,0
2742,432,0
3109,265,0
2293,329,0
1866,734,0
4620,432,0
4936,1319,0
4638,629,0
4747,1414,0
4961,448,0
4034,378,0
4502,976,0
2433,546,0
1903,836,0
1972,600,0
5181,99,0
2299,379,0
5336,297,0
2922,1318,0
3040,717,0
4078,1396,0
3177,648,0
5034,960,0
3834,648,0
2529,832,0
1723,597,0
5218,194,0
4374,379,0
4559,1277,0
1819,1265,0
2557,1414,0
2122,42,0
4538,1161,0
3928,1572,0
5085,519,0
5145,634,0
5276,726,0
1741,31,0
1739,1523,0
2659,934,0
4957,464,0
2940,536,0
